[u'switch', 0.35875294, u'spotlight', 0.16525069, u'space_heater', 0.080469266, u'hard_disc', 0.058259591, u'modem', 0.04998843]
[u'screwdriver', 0.88167298, u"carpenter's_kit", 0.055373069, u'lipstick', 0.023959408, u'power_drill', 0.0083668549, u'syringe', 0.0062375967]
[u'switch', 0.26215559, u"carpenter's_kit", 0.21148288, u'power_drill', 0.10488249, u'screw', 0.089707918, u'screwdriver', 0.057501562]
[u"carpenter's_kit", 0.52121866, u'printer', 0.10027029, u'pencil_sharpener', 0.059110578, u'power_drill', 0.055168625, u'switch', 0.039745189]
[u'lighter', 0.66688174, u'safe', 0.084507778, u'ashcan', 0.05715863, u'combination_lock', 0.048391838, u'loudspeaker', 0.013530673]
[u'sewing_machine', 0.37538663, u'plane', 0.28958732, u'hook', 0.1416676, u'switch', 0.038122628, u'joystick', 0.027785368]
[u'switch', 0.50033206, u'whistle', 0.29061878, u'chain_saw', 0.065213077, u'screwdriver', 0.026287097, u'mousetrap', 0.020829204]
[u'safe', 0.67462122, u'switch', 0.11966719, u'combination_lock', 0.095601186, u'lighter', 0.017220255, u'ashcan', 0.016195703]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189, u'spotlight', 0.039584022, u'magnetic_compass', 0.023229159]
[u'analog_clock', 0.31042403, u'nail', 0.078940824, u'folding_chair', 0.055046491, u'hook', 0.05165552, u'bow', 0.040492773]
[u'refrigerator', 0.18236244, u'safe', 0.1185152, u'lighter', 0.087235659, u'binder', 0.084063902, u'washer', 0.066651702]
[u'hook', 0.57422429, u'nematode', 0.080417611, u'combination_lock', 0.034788445, u'can_opener', 0.027597273, u'cornet', 0.02347225]
[u'rock_beauty', 0.9008823, u'hook', 0.050014254, u'cassette', 0.023353228, u'cassette_player', 0.0039268825, u'switch', 0.0034325139]
[u'cassette', 0.38994357, u'hook', 0.31754655, u'can_opener', 0.099842735, u'plane', 0.040650338, u'rule', 0.029246379]
[u'pencil_sharpener', 0.18329525, u'switch', 0.16682826, u'cassette', 0.091871083, u'mortarboard', 0.076448701, u'loupe', 0.060938999]
[u'cassette', 0.40048712, u'pencil_sharpener', 0.33425879, u'cassette_player', 0.1685809, u'safe', 0.022361312, u'tape_player', 0.02203423]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189, u'spotlight', 0.039584022, u'magnetic_compass', 0.023229159]
[u'pencil_sharpener', 0.49596471, u'safe', 0.35093912, u'combination_lock', 0.11892872, u'spotlight', 0.0066035632, u'switch', 0.0063220989]
[u'safe', 0.53792918, u'combination_lock', 0.19223562, u'switch', 0.17762534, u'lighter', 0.0086087259, u"potter's_wheel", 0.0081872083]
[u'analog_clock', 0.31042403, u'nail', 0.078940824, u'folding_chair', 0.055046491, u'hook', 0.05165552, u'bow', 0.040492773]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189, u'spotlight', 0.039584022, u'magnetic_compass', 0.023229159]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189, u'spotlight', 0.039584022, u'magnetic_compass', 0.023229159]
[u'safe', 0.24057534, u'switch', 0.20347834, u'combination_lock', 0.094865389, u'pencil_sharpener', 0.083591804, u'binder', 0.059411343]
[u"carpenter's_kit", 0.4407317, u'screwdriver', 0.16501956, u'ballpoint', 0.11187015, u'power_drill', 0.080854617, u'switch', 0.047095876]
[u'nail', 0.26424307, u'crutch', 0.21013658, u'hook', 0.071205094, u'hatchet', 0.070036009, u'bow', 0.044495866]
[u'shovel', 0.40924224, u'hook', 0.35618436, u'swab', 0.036592152, u'crane', 0.032477394, u'power_drill', 0.017583363]
