[u'oscilloscope', 0.62777406, u"carpenter's_kit", 0.031164844, u'screwdriver', 0.020711437, u'screen', 0.017391225, u'matchstick', 0.01718]
[u'file', 0.27627113, u'stopwatch', 0.048290435, u'radio', 0.047474798, u'hand-held_computer', 0.040974714, u'digital_clock', 0.038850516]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'web_site', 0.30174986, u'nematode', 0.043137766, u'matchstick', 0.035956524, u'television', 0.025716679, u'dishwasher', 0.023645617]
[u'oscilloscope', 0.38004753, u'screen', 0.052446932, u'digital_clock', 0.027790383, u'web_site', 0.02707175, u'book_jacket', 0.026792817]
[u'web_site', 0.99732262, u'envelope', 0.00079522625, u'dishwasher', 0.00011808873, u'crane', 0.0001145715, u'scoreboard', 0.00010930342]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'television', 0.37905779, u'screen', 0.2462604, u'monitor', 0.14206183, u'window_screen', 0.064323194, u'desktop_computer', 0.032084748]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'television', 0.37323603, u'screen', 0.16095175, u'window_screen', 0.057309508, u'monitor', 0.051427595, u'geyser', 0.033266116]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'oscilloscope', 0.59480834, u'screen', 0.041373037, u'switch', 0.037089948, u'radio', 0.019880384, u'digital_clock', 0.01830331]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'television', 0.15675746, u'web_site', 0.12859046, u'screen', 0.098209903, u'monitor', 0.088685445, u'dishwasher', 0.053821441]
[u'oscilloscope', 0.059284333, u'whiskey_jug', 0.056583885, u'screwdriver', 0.054414008, u"carpenter's_kit", 0.046534982, u'perfume', 0.046160206]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'web_site', 0.24874073, u'theater_curtain', 0.06952472, u'nematode', 0.028677881, u'envelope', 0.021270839, u'lipstick', 0.017965671]
[u'oscilloscope', 0.40844524, u'digital_clock', 0.22096445, u'screen', 0.05800819, u'analog_clock', 0.056714978, u'digital_watch', 0.027893445]
[u'candle', 0.13913223, u'perfume', 0.13769186, u'beer_bottle', 0.11744848, u'whiskey_jug', 0.061387107, u'oscilloscope', 0.057080206]
