[u'digital_clock', 0.70472592, u'digital_watch', 0.28035241, u'screen', 0.0049075396, u'oscilloscope', 0.0032009555, u'picket_fence', 0.0015748286]
[u'plow', 0.16652828, u'ox', 0.1144016, u'bison', 0.099465996, u'cowboy_hat', 0.067244701, u'bearskin', 0.047939725]
[u'picket_fence', 0.32541743, u'digital_watch', 0.20453653, u'screen', 0.14183731, u'digital_clock', 0.047626678, u'oscilloscope', 0.046580765]
[u'crossword_puzzle', 0.44173846, u'digital_clock', 0.19487394, u'traffic_light', 0.097342372, u'digital_watch', 0.061337762, u'picket_fence', 0.050710302]
[u'digital_clock', 0.4885906, u'digital_watch', 0.44275013, u'screen', 0.025990818, u'oscilloscope', 0.0096778125, u'scoreboard', 0.00363503]
[u'puck', 0.57467222, u'sunscreen', 0.04215965, u'binder', 0.041531269, u'maraca', 0.039382655, u'face_powder', 0.020425608]
[u'digital_clock', 0.75257355, u'digital_watch', 0.24321942, u'screen', 0.00057562179, u'stopwatch', 0.00055091205, u'scoreboard', 0.00038385656]
[u'digital_watch', 0.51889676, u'digital_clock', 0.1124877, u'screen', 0.1083042, u'picket_fence', 0.096018843, u'oscilloscope', 0.050408896]
[u'traffic_light', 0.58690679, u'digital_clock', 0.12073219, u'picket_fence', 0.067580357, u'crossword_puzzle', 0.058177851, u'digital_watch', 0.044571336]
[u'picket_fence', 0.33294109, u'sea_snake', 0.11001903, u'worm_fence', 0.099611685, u'pole', 0.060104251, u'matchstick', 0.048719626]
[u'picket_fence', 0.53405738, u'crossword_puzzle', 0.15081733, u'digital_clock', 0.098817162, u'traffic_light', 0.035238944, u'digital_watch', 0.033490378]
[u'picket_fence', 0.53876567, u'folding_chair', 0.13983004, u'rocking_chair', 0.04321285, u'digital_clock', 0.033043329, u'traffic_light', 0.030107966]
[u'picket_fence', 0.65191334, u'traffic_light', 0.049829178, u'worm_fence', 0.049825374, u'park_bench', 0.027426755, u'crossword_puzzle', 0.024779579]
[u'picket_fence', 0.5687629, u'crossword_puzzle', 0.055332646, u'worm_fence', 0.054609723, u'rocking_chair', 0.041313417, u'folding_chair', 0.039422724]
[u'bison', 0.99847132, u'ox', 0.0011007652, u'hog', 0.00012394102, u'water_buffalo', 8.8514498e-05, u'oxcart', 6.2179985e-05]
[u'digital_clock', 0.53265035, u'digital_watch', 0.45266494, u'analog_clock', 0.0014311718, u'screen', 0.0014228242, u'traffic_light', 0.0013740128]
[u'digital_clock', 0.56593931, u'digital_watch', 0.39881587, u'screen', 0.014385076, u'scoreboard', 0.0022114299, u'oscilloscope', 0.0021110165]
[u'digital_clock', 0.49569705, u'traffic_light', 0.11301008, u'digital_watch', 0.10236792, u'crossword_puzzle', 0.10201482, u'folding_chair', 0.024239646]
[u'traffic_light', 0.33505476, u'picket_fence', 0.1810081, u'digital_clock', 0.14657098, u'folding_chair', 0.085397288, u'crossword_puzzle', 0.067434259]
[u'digital_clock', 0.53294384, u'digital_watch', 0.46185037, u'screen', 0.0010844431, u'oscilloscope', 0.00051335985, u'scoreboard', 0.00048387767]
[u'digital_clock', 0.77820987, u'digital_watch', 0.21941376, u'screen', 0.00057999301, u'stopwatch', 0.00034101689, u'analog_clock', 0.00027590853]
[u'traffic_light', 0.19343112, u'digital_clock', 0.14883076, u'picket_fence', 0.10423478, u'folding_chair', 0.079806857, u'crossword_puzzle', 0.074450694]
[u'picket_fence', 0.43284577, u'digital_watch', 0.1730821, u'digital_clock', 0.097793624, u'window_shade', 0.042694274, u'window_screen', 0.029205153]
[u'digital_watch', 0.58729911, u'digital_clock', 0.29259777, u'screen', 0.057686899, u'oscilloscope', 0.013144648, u'window_screen', 0.0068730549]
