[u'wig', 0.49952701, u'fur_coat', 0.071114227, u'jersey', 0.040283192, u'wool', 0.026979538, u'brassiere', 0.023583071]
[u'wig', 0.99175078, u'hair_spray', 0.0060165171, u'paintbrush', 0.00051766168, u'mask', 0.00036377995, u'hair_slide', 0.00013925237]
[u'wardrobe', 0.46602923, u'web_site', 0.091020778, u'shower_curtain', 0.050860282, u'refrigerator', 0.041367378, u'soap_dispenser', 0.033215523]
[u'wig', 0.25940245, u'hair_spray', 0.11122786, u'stole', 0.058733266, u'face_powder', 0.049342897, u'brassiere', 0.048826996]
[u'brassiere', 0.38652512, u'bikini', 0.097995773, u'maillot', 0.072853036, u'wig', 0.069971204, u'fur_coat', 0.033397138]
[u'jersey', 0.092583984, u'hair_slide', 0.070487365, u'sunglasses', 0.052550785, u'stole', 0.036667436, u'bow_tie', 0.02430925]
[u'brassiere', 0.12904166, u'face_powder', 0.050794348, u'jersey', 0.044789363, u'hair_spray', 0.042923853, u'lab_coat', 0.033183493]
[u'wig', 0.358266, u'bikini', 0.16126998, u'brassiere', 0.078922242, u'maillot', 0.07209792, u'perfume', 0.067822091]
[u'hand_blower', 0.092604883, u'fur_coat', 0.073830657, u'wig', 0.065337054, u'bikini', 0.06432014, u'hair_slide', 0.049442429]
[u'hair_slide', 0.14746109, u'wig', 0.14042932, u'face_powder', 0.065840587, u'Band_Aid', 0.035152186, u'lipstick', 0.0301855]
[u'bikini', 0.12556186, u'brassiere', 0.079597279, u'fur_coat', 0.045340665, u'Band_Aid', 0.032532088, u'wig', 0.03148564]
[u'wig', 0.97517484, u'breastplate', 0.002031903, u'wool', 0.0019637865, u'flute', 0.001644013, u'stole', 0.0010720475]
[u'fur_coat', 0.69142163, u'tub', 0.051574707, u'wig', 0.033572149, u'bathtub', 0.020932196, u'hair_slide', 0.015507268]
[u'jersey', 0.10547494, u'lab_coat', 0.10110281, u'brassiere', 0.054553986, u'wig', 0.043489978, u'stethoscope', 0.037569586]
[u'lab_coat', 0.10743979, u'brassiere', 0.072176836, u'wig', 0.060932528, u'Band_Aid', 0.060809597, u'face_powder', 0.04404493]
[u'wig', 0.18955846, u'jersey', 0.080961771, u'hair_spray', 0.06905809, u'sunscreen', 0.045366652, u'hand_blower', 0.04369539]
[u'jersey', 0.22330631, u'sunscreen', 0.11589597, u'bikini', 0.084407516, u'wig', 0.064503826, u'hair_spray', 0.036632657]
[u'hair_slide', 0.44681403, u'bonnet', 0.089858636, u'face_powder', 0.080545455, u'gown', 0.076881133, u'feather_boa', 0.042069934]
[u'wig', 0.79424661, u'lipstick', 0.081535555, u'hair_spray', 0.040605839, u'maillot', 0.014461429, u'brassiere', 0.0094784303]
[u'fur_coat', 0.093862057, u'wig', 0.09207873, u'wool', 0.054926489, u'stethoscope', 0.052403551, u'tub', 0.050145026]
[u'wig', 0.34494519, u'hair_spray', 0.24185844, u'perfume', 0.065691009, u'lipstick', 0.051414698, u'face_powder', 0.050216157]
[u'chain_mail', 0.15888791, u'brassiere', 0.1371927, u'wig', 0.1159841, u'bikini', 0.090580396, u'gown', 0.088590264]
[u'lab_coat', 0.089678541, u'jersey', 0.071349233, u'wool', 0.062465113, u'fur_coat', 0.053930055, u'brassiere', 0.048903227]
[u'wig', 0.35960588, u'hair_spray', 0.10762989, u'brassiere', 0.097956553, u'maillot', 0.068546094, u'bikini', 0.041727286]
[u'wig', 0.96509713, u'hair_spray', 0.0041778963, u'mask', 0.0024983867, u'miniskirt', 0.0011489303, u'fur_coat', 0.0010231864]
[u'bathtub', 0.14185634, u'tub', 0.14075308, u'hand_blower', 0.11838172, u'face_powder', 0.098185234, u'hair_spray', 0.047677066]
[u'hair_slide', 0.16278006, u'bikini', 0.15401201, u'brassiere', 0.1284598, u'maillot', 0.094752841, u'gown', 0.067875013]
[u'wig', 0.27474278, u'wool', 0.049146052, u'bikini', 0.046730105, u'maillot', 0.040857047, u'maillot', 0.040010195]
[u'wig', 0.34750393, u'face_powder', 0.087886058, u'hair_slide', 0.054523103, u'brassiere', 0.035158075, u'bow_tie', 0.028755916]
[u'wig', 0.17185351, u'jersey', 0.0736655, u'brassiere', 0.064470299, u'hair_spray', 0.046269033, u'lab_coat', 0.042478353]
[u'wig', 0.11797021, u'wool', 0.074005879, u'jersey', 0.04098824, u'lab_coat', 0.037626535, u'necklace', 0.032628458]
[u'brassiere', 0.13603568, u'fur_coat', 0.11109105, u'lipstick', 0.10049869, u'hand_blower', 0.081522807, u'hair_spray', 0.062228538]
[u'wig', 0.55360037, u'lipstick', 0.42737165, u'hair_spray', 0.0070727128, u'perfume', 0.0024128405, u'mask', 0.0013879199]
[u'wig', 0.76356566, u'lipstick', 0.089411005, u'mask', 0.034913987, u'necklace', 0.021242404, u'cloak', 0.017383322]
[u'military_uniform', 0.33594868, u'Windsor_tie', 0.16285345, u'lab_coat', 0.071178555, u'bow_tie', 0.069171071, u'suit', 0.041286014]
[u'brassiere', 0.19729371, u'fur_coat', 0.11533388, u'perfume', 0.074535131, u'face_powder', 0.068107173, u'hair_spray', 0.056594096]
[u'wig', 0.78325021, u'bikini', 0.030843543, u'brassiere', 0.022459516, u'hair_spray', 0.018986851, u'fur_coat', 0.016863532]
[u'wig', 0.5670107, u'lipstick', 0.27942309, u'perfume', 0.029055802, u'hair_spray', 0.021515684, u'brassiere', 0.020395698]
[u'brassiere', 0.24340719, u'hair_spray', 0.23856887, u'hair_slide', 0.14631107, u'bikini', 0.12752378, u'wig', 0.065432109]
[u'lipstick', 0.29234177, u'lab_coat', 0.049908005, u'bikini', 0.043529935, u'face_powder', 0.031654373, u'necklace', 0.02888969]
[u'jersey', 0.075415894, u'sunscreen', 0.049828537, u'tub', 0.04477904, u'Band_Aid', 0.036845684, u'hand_blower', 0.03220566]
[u'wig', 0.91225171, u'wool', 0.010611748, u'hair_slide', 0.0056703715, u'hair_spray', 0.004804614, u'bikini', 0.0033367455]
[u'wool', 0.13989159, u'fur_coat', 0.13241853, u'stole', 0.099014543, u'wig', 0.084866546, u'brassiere', 0.043766454]
[u'brassiere', 0.12197768, u'wig', 0.1211772, u'bikini', 0.10920909, u'sunscreen', 0.092994705, u'maillot', 0.059655942]
[u'wig', 0.13766418, u'hair_slide', 0.087783135, u'hand_blower', 0.083249278, u'brassiere', 0.074541092, u'stethoscope', 0.066631183]
[u'wig', 0.99386829, u'lipstick', 0.0045997147, u'hair_spray', 0.0002947046, u'feather_boa', 0.00027563568, u'fur_coat', 0.00016494596]
[u'wig', 0.63277471, u'hair_spray', 0.14750531, u'fur_coat', 0.050033856, u'brassiere', 0.010414802, u'lipstick', 0.0091426382]
[u'bath_towel', 0.41345587, u'sweatshirt', 0.055014376, u'shower_curtain', 0.034713466, u'notebook', 0.033406191, u'hair_spray', 0.031072911]
[u'maillot', 0.41514733, u'bikini', 0.13717328, u'gown', 0.10983391, u'maillot', 0.096308976, u'wig', 0.085100077]
[u'wig', 0.082899012, u'fur_coat', 0.079553306, u'hand_blower', 0.069643788, u'brassiere', 0.054183371, u'face_powder', 0.04197209]
[u'wig', 0.1806486, u'groom', 0.11878596, u'hair_spray', 0.078968689, u'shower_curtain', 0.07567963, u'mosquito_net', 0.072645023]
[u'wig', 0.08594387, u'jersey', 0.080660067, u'brassiere', 0.070117317, u'hair_spray', 0.064555623, u'hair_slide', 0.048926093]
[u'hair_spray', 0.10318445, u'stethoscope', 0.073150799, u'sarong', 0.06662444, u'miniskirt', 0.058592118, u'wig', 0.056748874]
[u'wool', 0.24768414, u'stole', 0.13673761, u'wig', 0.075528443, u'jersey', 0.057002943, u'lab_coat', 0.042717081]
[u'suit', 0.11695361, u'Windsor_tie', 0.07320644, u'notebook', 0.050207403, u'military_uniform', 0.044347022, u'web_site', 0.040923785]
[u'wool', 0.080688581, u'stole', 0.054210357, u'hair_slide', 0.050891154, u'lab_coat', 0.04993999, u'sunscreen', 0.044688392]
[u'wig', 0.65987116, u'brassiere', 0.070184626, u'bikini', 0.043402355, u'lipstick', 0.042498589, u'feather_boa', 0.030400133]
[u'military_uniform', 0.40642703, u'bow_tie', 0.14052293, u'lab_coat', 0.066818513, u'suit', 0.044518281, u'Windsor_tie', 0.041862037]
[u'tub', 0.113195, u'wig', 0.090510495, u'hair_spray', 0.056258127, u'sunscreen', 0.046486132, u'bathtub', 0.043100081]
