[u'pajama', 0.12203391, u'lab_coat', 0.097196162, u'suit', 0.093351707, u'jean', 0.090926267, u'notebook', 0.079179212]
[u'web_site', 0.72279227, u'butcher_shop', 0.061455917, u'Great_Dane', 0.014583659, u'picket_fence', 0.013269706, u'brassiere', 0.010748169]
[u'digital_clock', 0.24241096, u'digital_watch', 0.17303219, u'analog_clock', 0.035755277, u'folding_chair', 0.0202378, u'screen', 0.017775752]
[u'oscilloscope', 0.27207437, u'analog_clock', 0.075511731, u'street_sign', 0.054852586, u'folding_chair', 0.05431556, u'screen', 0.047285728]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.72279227, u'butcher_shop', 0.061455917, u'Great_Dane', 0.014583659, u'picket_fence', 0.013269706, u'brassiere', 0.010748169]
[u'web_site', 0.51469702, u'butcher_shop', 0.13884334, u'sunscreen', 0.049394187, u'Great_Dane', 0.01965476, u'brassiere', 0.017282613]
[u'web_site', 0.72279227, u'butcher_shop', 0.061455917, u'Great_Dane', 0.014583659, u'picket_fence', 0.013269706, u'brassiere', 0.010748169]
[u'oscilloscope', 0.28796241, u'analog_clock', 0.073580354, u'street_sign', 0.061881796, u'folding_chair', 0.050419588, u'screen', 0.047524538]
[u'digital_clock', 0.24241096, u'digital_watch', 0.17303219, u'analog_clock', 0.035755277, u'folding_chair', 0.0202378, u'screen', 0.017775752]
[u'web_site', 0.72279227, u'butcher_shop', 0.061455917, u'Great_Dane', 0.014583659, u'picket_fence', 0.013269706, u'brassiere', 0.010748169]
