[u'envelope', 0.12240611, u'web_site', 0.085704975, u'dishwasher', 0.07519716, u'wardrobe', 0.055920705, u'refrigerator', 0.042294815]
[u'wardrobe', 0.092780851, u'web_site', 0.078813612, u'shower_curtain', 0.069279984, u'wall_clock', 0.046908103, u'envelope', 0.039675593]
[u'web_site', 0.12104949, u'wardrobe', 0.079174682, u'shower_curtain', 0.070605934, u'soap_dispenser', 0.053252812, u'dishwasher', 0.041829199]
[u'lighter', 0.24020264, u'street_sign', 0.11782447, u'corkscrew', 0.07205797, u'analog_clock', 0.066546135, u'digital_clock', 0.052274965]
[u'wardrobe', 0.12094659, u'shower_curtain', 0.10896842, u'web_site', 0.098214261, u'soap_dispenser', 0.064363636, u'dishwasher', 0.039477982]
[u'soap_dispenser', 0.096849106, u'web_site', 0.095156386, u'wardrobe', 0.092729717, u'shower_curtain', 0.088418536, u'dishwasher', 0.034361899]
[u'volcano', 0.6163767, u'guillotine', 0.10327433, u'pole', 0.061228409, u'fire_screen', 0.049391769, u'barn', 0.012122757]
[u'web_site', 0.14863889, u'shower_curtain', 0.054445133, u'wardrobe', 0.040920157, u'soap_dispenser', 0.04065476, u'wall_clock', 0.033172794]
[u'web_site', 0.10952552, u'wardrobe', 0.065997154, u'television', 0.058190234, u'shower_curtain', 0.051062986, u'dishwasher', 0.040929958]
[u'web_site', 0.23552534, u'shower_curtain', 0.075365409, u'wardrobe', 0.063229695, u'soap_dispenser', 0.053727407, u'dishwasher', 0.036580727]
[u'web_site', 0.12060545, u'shower_curtain', 0.09928064, u'soap_dispenser', 0.080465309, u'wardrobe', 0.075846545, u'washbasin', 0.038348936]
[u'web_site', 0.096879639, u'shower_curtain', 0.080365501, u'wardrobe', 0.061951365, u'soap_dispenser', 0.050938688, u'wall_clock', 0.035981029]
[u'web_site', 0.13882877, u'shower_curtain', 0.083008289, u'wardrobe', 0.055574182, u'washbasin', 0.040256403, u'soap_dispenser', 0.037521195]
[u'church', 0.56868011, u'castle', 0.08830855, u'picket_fence', 0.0643472, u'bell_cote', 0.045043759, u'analog_clock', 0.042031575]
[u'web_site', 0.10423659, u'wardrobe', 0.10279504, u'shower_curtain', 0.077828631, u'soap_dispenser', 0.066718824, u'dishwasher', 0.044912435]
[u'web_site', 0.083148897, u'wardrobe', 0.055739369, u'shower_curtain', 0.053185865, u'television', 0.043703917, u'soap_dispenser', 0.040928803]
