[u'computer_keyboard', 0.42811698, u'web_site', 0.21375075, u'typewriter_keyboard', 0.12814929, u'space_bar', 0.075055122, u'hand-held_computer', 0.057716314]
[u'digital_clock', 0.25446433, u'scoreboard', 0.18560617, u'digital_watch', 0.14284669, u'stopwatch', 0.12596165, u'street_sign', 0.11501755]
[u'web_site', 0.66009957, u'computer_keyboard', 0.095552355, u'typewriter_keyboard', 0.060317762, u'monitor', 0.024874125, u'cellular_telephone', 0.023523144]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'typewriter_keyboard', 0.4094578, u'computer_keyboard', 0.23417538, u'space_bar', 0.10963706, u'hand-held_computer', 0.09125232, u'web_site', 0.071193278]
[u'web_site', 0.44274518, u'radio', 0.27598745, u'hand-held_computer', 0.062315039, u'computer_keyboard', 0.038584471, u'typewriter_keyboard', 0.020606937]
[u'computer_keyboard', 0.60159075, u'typewriter_keyboard', 0.11575784, u'web_site', 0.08767426, u'space_bar', 0.052049562, u'hand-held_computer', 0.035982266]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.41369233, u'hand-held_computer', 0.15640847, u'computer_keyboard', 0.14052626, u'iPod', 0.042106207, u'typewriter_keyboard', 0.030474754]
[u'computer_keyboard', 0.31774911, u'typewriter_keyboard', 0.19989984, u'web_site', 0.13090025, u'space_bar', 0.090579398, u'crossword_puzzle', 0.064071037]
[u'hand-held_computer', 0.19854751, u'web_site', 0.19215259, u'radio', 0.14695551, u'iPod', 0.088452622, u'computer_keyboard', 0.084430739]
[u'web_site', 0.7423386, u'digital_clock', 0.045772702, u'monitor', 0.033113632, u'screen', 0.028410565, u'analog_clock', 0.02471495]
[u'computer_keyboard', 0.5446679, u'typewriter_keyboard', 0.20754313, u'space_bar', 0.13094376, u'notebook', 0.052252296, u'hand-held_computer', 0.033052463]
[u'cellular_telephone', 0.4730764, u'hand-held_computer', 0.14819959, u'web_site', 0.086048678, u'iPod', 0.080758117, u'computer_keyboard', 0.044763945]
[u'computer_keyboard', 0.70559621, u'typewriter_keyboard', 0.22228545, u'space_bar', 0.060598791, u'notebook', 0.0035365894, u'web_site', 0.002375144]
[u'web_site', 0.34410945, u'computer_keyboard', 0.28298247, u'hand-held_computer', 0.034312911, u'gas_pump', 0.02850415, u'digital_clock', 0.022617137]
[u'web_site', 0.37777302, u'computer_keyboard', 0.19899002, u'typewriter_keyboard', 0.13097638, u'hand-held_computer', 0.12363174, u'digital_clock', 0.023573555]
[u'computer_keyboard', 0.59057546, u'space_bar', 0.13055223, u'typewriter_keyboard', 0.11984602, u'hand-held_computer', 0.063138582, u'notebook', 0.056783088]
[u'web_site', 0.68439132, u'computer_keyboard', 0.1444547, u'hand-held_computer', 0.077306874, u'typewriter_keyboard', 0.027028009, u'space_bar', 0.013896584]
[u'iPod', 0.19275822, u'typewriter_keyboard', 0.16195996, u'web_site', 0.14324109, u'computer_keyboard', 0.11312203, u'cellular_telephone', 0.082859695]
[u'computer_keyboard', 0.35838178, u'typewriter_keyboard', 0.20742002, u'web_site', 0.141038, u'space_bar', 0.118175, u'hand-held_computer', 0.11338408]
[u'web_site', 0.37766898, u'radio', 0.13486548, u'hand-held_computer', 0.10308395, u'computer_keyboard', 0.05195589, u'typewriter_keyboard', 0.025337594]
[u'computer_keyboard', 0.33471465, u'typewriter_keyboard', 0.22763906, u'hand-held_computer', 0.16582397, u'space_bar', 0.092476435, u'crossword_puzzle', 0.078152411]
[u'typewriter_keyboard', 0.38714904, u'computer_keyboard', 0.2977595, u'space_bar', 0.090308182, u'hand-held_computer', 0.077339545, u'crossword_puzzle', 0.067453347]
[u'computer_keyboard', 0.56956857, u'typewriter_keyboard', 0.28311038, u'space_bar', 0.10731269, u'web_site', 0.020789415, u'notebook', 0.0063390401]
[u'computer_keyboard', 0.58267379, u'typewriter_keyboard', 0.1351141, u'web_site', 0.1170183, u'space_bar', 0.061105251, u'notebook', 0.017088782]
[u'web_site', 0.75378525, u'hand-held_computer', 0.069847465, u'iPod', 0.015139855, u'radio', 0.014186198, u'computer_keyboard', 0.012496953]
[u'computer_keyboard', 0.31660607, u'typewriter_keyboard', 0.15448421, u'radio', 0.14185883, u'web_site', 0.047995094, u'space_bar', 0.043803092]
[u'web_site', 0.60049123, u'hand-held_computer', 0.11673973, u'radio', 0.055228043, u'digital_clock', 0.033594724, u'computer_keyboard', 0.028366832]
[u'typewriter_keyboard', 0.28385994, u'web_site', 0.27024749, u'computer_keyboard', 0.19392988, u'space_bar', 0.12048467, u'hand-held_computer', 0.067938425]
[u'web_site', 0.81719697, u'notebook', 0.039464053, u'hand-held_computer', 0.030546015, u'screen', 0.024033325, u'computer_keyboard', 0.020396255]
[u'computer_keyboard', 0.59119517, u'typewriter_keyboard', 0.2254948, u'space_bar', 0.071161434, u'web_site', 0.028503895, u'radio', 0.0099282367]
[u'web_site', 0.38820994, u'computer_keyboard', 0.17555559, u'typewriter_keyboard', 0.070342846, u'crossword_puzzle', 0.059917595, u'space_bar', 0.043433789]
[u'web_site', 0.41740951, u'computer_keyboard', 0.16319792, u'hand-held_computer', 0.14732079, u'typewriter_keyboard', 0.063542642, u'radio', 0.062205195]
[u'computer_keyboard', 0.32027668, u'typewriter_keyboard', 0.19355011, u'web_site', 0.15647417, u'hand-held_computer', 0.11136377, u'radio', 0.071793184]
[u'web_site', 0.71242619, u'computer_keyboard', 0.055860955, u'hand-held_computer', 0.042184521, u'digital_clock', 0.020785464, u'scoreboard', 0.018586235]
[u'web_site', 0.24941659, u'cellular_telephone', 0.075435102, u'digital_clock', 0.073551588, u'scoreboard', 0.066946685, u'iPod', 0.05746717]
[u'web_site', 0.67362171, u'hand-held_computer', 0.070509732, u'notebook', 0.057063609, u'computer_keyboard', 0.054798201, u'typewriter_keyboard', 0.03932029]
[u'radio', 0.26853007, u'web_site', 0.24357942, u'digital_clock', 0.05585064, u'computer_keyboard', 0.05318049, u'monitor', 0.05137033]
[u'computer_keyboard', 0.65255326, u'typewriter_keyboard', 0.14211737, u'space_bar', 0.045097295, u'web_site', 0.032371249, u'iPod', 0.021742173]
[u'computer_keyboard', 0.34894401, u'typewriter_keyboard', 0.23133424, u'space_bar', 0.12089963, u'hand-held_computer', 0.11210281, u'web_site', 0.095137686]
[u'web_site', 0.29602292, u'computer_keyboard', 0.1897409, u'typewriter_keyboard', 0.10250348, u'radio', 0.096092746, u'cellular_telephone', 0.030468874]
