[u'envelope', 0.63119841, u'web_site', 0.038720272, u'Band_Aid', 0.014834733, u'puck', 0.011267576, u'book_jacket', 0.0093850223]
[u'envelope', 0.45520356, u'web_site', 0.30834413, u'analog_clock', 0.021134589, u'matchstick', 0.012962442, u'cash_machine', 0.0063687321]
[u'envelope', 0.34895292, u'web_site', 0.16818431, u'rule', 0.019086016, u'analog_clock', 0.011320872, u'book_jacket', 0.010153932]
[u'envelope', 0.46084243, u'wall_clock', 0.026073353, u'web_site', 0.024628602, u'washbasin', 0.023618892, u'bathtub', 0.018558351]
[u'envelope', 0.20090151, u'web_site', 0.16761938, u'book_jacket', 0.029697377, u'puck', 0.026809741, u'analog_clock', 0.024456602]
[u'envelope', 0.74091387, u'web_site', 0.051567473, u'crossword_puzzle', 0.012799554, u'book_jacket', 0.010694505, u'Band_Aid', 0.0069892891]
[u'envelope', 0.36178207, u'crossword_puzzle', 0.16953474, u'analog_clock', 0.048165664, u'digital_clock', 0.043331593, u'wall_clock', 0.039365433]
[u'envelope', 0.55833006, u'web_site', 0.084767394, u'book_jacket', 0.019427957, u'Band_Aid', 0.018672114, u'packet', 0.016344251]
[u'envelope', 0.40057755, u'web_site', 0.12434398, u'crossword_puzzle', 0.017407024, u'book_jacket', 0.015866622, u'rule', 0.01321911]
[u'envelope', 0.43803561, u'web_site', 0.13269065, u'book_jacket', 0.039772611, u'crossword_puzzle', 0.013078456, u'Band_Aid', 0.01204479]
[u'envelope', 0.41878408, u'web_site', 0.21555831, u'analog_clock', 0.018705076, u'rule', 0.014104602, u'book_jacket', 0.011532246]
[u'envelope', 0.61714965, u'packet', 0.040690001, u'web_site', 0.022875253, u'Band_Aid', 0.016514402, u'book_jacket', 0.013503107]
[u'envelope', 0.12828007, u'web_site', 0.031905148, u'crossword_puzzle', 0.024393059, u'book_jacket', 0.022293484, u'wall_clock', 0.015389183]
[u'envelope', 0.45643207, u'web_site', 0.10565834, u'Band_Aid', 0.031939074, u'analog_clock', 0.018143609, u'book_jacket', 0.017250059]
[u'envelope', 0.28744557, u'web_site', 0.10233946, u'book_jacket', 0.023079341, u'crossword_puzzle', 0.013585751, u'puck', 0.012754675]
[u'envelope', 0.2901974, u'Band_Aid', 0.063049436, u'web_site', 0.039029852, u'nipple', 0.011801147, u'wall_clock', 0.00988199]
[u'envelope', 0.4120169, u'web_site', 0.079092115, u'book_jacket', 0.035509743, u'crossword_puzzle', 0.015528705, u'puck', 0.011848039]
[u'envelope', 0.54146802, u'web_site', 0.064809531, u'Band_Aid', 0.018514073, u'book_jacket', 0.014742009, u'rule', 0.011623782]
[u'envelope', 0.40904668, u'book_jacket', 0.075872764, u'web_site', 0.027602278, u'wall_clock', 0.018833309, u'lighter', 0.014976137]
[u'envelope', 0.35308686, u'web_site', 0.25374985, u'book_jacket', 0.017457236, u'lighter', 0.0099342195, u'analog_clock', 0.0095183281]
[u'envelope', 0.67132241, u'web_site', 0.10607362, u'rule', 0.014957416, u'book_jacket', 0.010264808, u'Band_Aid', 0.0072912402]
[u'envelope', 0.26966339, u'book_jacket', 0.038245764, u'web_site', 0.031478025, u'maze', 0.018314548, u'prayer_rug', 0.017797317]
[u'envelope', 0.49145052, u'web_site', 0.066019662, u'book_jacket', 0.021959184, u'rule', 0.012568073, u'nematode', 0.0090371799]
[u'envelope', 0.62376171, u'web_site', 0.044359114, u'rule', 0.014680931, u'book_jacket', 0.012811282, u'Band_Aid', 0.011098337]
[u'web_site', 0.33920759, u'envelope', 0.17698859, u'Band_Aid', 0.11568749, u'rule', 0.020846875, u'cash_machine', 0.018766027]
[u'web_site', 0.22348572, u'envelope', 0.16299973, u'crossword_puzzle', 0.047409195, u'analog_clock', 0.040276796, u'book_jacket', 0.027002577]
[u'envelope', 0.46666485, u'web_site', 0.17723159, u'Band_Aid', 0.019925799, u'analog_clock', 0.019628951, u'wall_clock', 0.011230412]
[u'envelope', 0.33760729, u'web_site', 0.13804458, u'Band_Aid', 0.023187216, u'book_jacket', 0.018521879, u'Windsor_tie', 0.018458953]
[u'envelope', 0.24272446, u'web_site', 0.058182608, u'wardrobe', 0.035646744, u'Windsor_tie', 0.029615019, u'wall_clock', 0.022360973]
