[u'brassiere', 0.45842946, u'plunger', 0.10885965, u'drumstick', 0.074334234, u'maillot', 0.053621572, u'bikini', 0.04558827]
[u'bikini', 0.46268538, u'sarong', 0.066415563, u'sunscreen', 0.039672144, u'miniskirt', 0.03908192, u'maillot', 0.035265759]
[u'diaper', 0.29572517, u'bathtub', 0.15040931, u'tub', 0.094396383, u'bikini', 0.083976939, u'bath_towel', 0.071538202]
[u'bikini', 0.69582468, u'maillot', 0.067911655, u'bathing_cap', 0.047646809, u'swimming_trunks', 0.040646609, u'maillot', 0.025568228]
[u'bikini', 0.55290061, u'maillot', 0.15750934, u'brassiere', 0.084203504, u'miniskirt', 0.049601667, u'swimming_trunks', 0.031111501]
[u'bathtub', 0.38620809, u'groom', 0.1382167, u'tub', 0.081186175, u'bikini', 0.050344493, u'hair_spray', 0.042778231]
[u'bikini', 0.66007429, u'sarong', 0.12564407, u'swimming_trunks', 0.048014123, u'maillot', 0.023204343, u'brassiere', 0.018529991]
[u'bikini', 0.62643224, u'maillot', 0.065300457, u'maillot', 0.028009329, u'common_iguana', 0.02025711, u'swimming_trunks', 0.020204188]
[u'maillot', 0.37051633, u'bikini', 0.30336648, u'maillot', 0.040242322, u'bathtub', 0.023021759, u'miniskirt', 0.020397579]
[u'bikini', 0.25038242, u'swimming_trunks', 0.14353277, u'maillot', 0.10888191, u'tub', 0.1016593, u'maillot', 0.064876631]
[u'maillot', 0.20927671, u'dumbbell', 0.10212628, u'maillot', 0.086741753, u'tub', 0.081241749, u'miniskirt', 0.076101311]
[u'swimming_trunks', 0.27197528, u'tub', 0.20790598, u'bathtub', 0.18986572, u'bikini', 0.15155254, u'diaper', 0.025681861]
[u'lipstick', 0.68383199, u'ice_lolly', 0.1113312, u'bathtub', 0.028005308, u'shower_cap', 0.021553144, u'Band_Aid', 0.019273777]
[u'bikini', 0.60098898, u'brassiere', 0.11946446, u'tub', 0.060689457, u'maillot', 0.054779071, u'diaper', 0.040152434]
[u'bikini', 0.085416041, u'brassiere', 0.073148824, u'swimming_trunks', 0.064288728, u'sunscreen', 0.059948348, u'bathtub', 0.045310307]
[u'bikini', 0.68525589, u'brassiere', 0.085638568, u'tub', 0.060298979, u'bathtub', 0.047829196, u'maillot', 0.045960624]
[u'maillot', 0.49120694, u'bikini', 0.20302984, u'maillot', 0.19401032, u'brassiere', 0.048693065, u'miniskirt', 0.022062896]
[u'bathtub', 0.24528469, u'tub', 0.20226756, u'bikini', 0.1585436, u'bath_towel', 0.15800969, u'brassiere', 0.090691581]
[u'bikini', 0.23390974, u'lipstick', 0.11682807, u'wig', 0.057971835, u'brassiere', 0.053366266, u'hair_spray', 0.038362239]
[u'bikini', 0.64364409, u'brassiere', 0.18311328, u'maillot', 0.054326046, u'swimming_trunks', 0.020154325, u'maillot', 0.01606757]
