[u'brassiere', 0.23488878, u'bikini', 0.17716137, u'miniskirt', 0.17079186, u'maillot', 0.11904572, u'pole', 0.10758342]
[u'notebook', 0.16941366, u'laptop', 0.055151332, u'swing', 0.032728136, u'bikini', 0.030642143, u'hand-held_computer', 0.026566774]
[u'bikini', 0.62403321, u'maillot', 0.20097113, u'maillot', 0.075794332, u'brassiere', 0.047812235, u'miniskirt', 0.0091951061]
[u'bikini', 0.45582289, u'maillot', 0.06833484, u'lipstick', 0.050244175, u'sarong', 0.029950406, u'brassiere', 0.028690502]
[u'bikini', 0.76188296, u'tub', 0.11935358, u'maillot', 0.033233404, u'brassiere', 0.02033568, u'bathtub', 0.016191879]
[u'brassiere', 0.17149235, u'bikini', 0.14726996, u'diaper', 0.10069178, u'piggy_bank', 0.086450301, u'hoopskirt', 0.084493682]
[u'swimming_trunks', 0.29966444, u'bikini', 0.13874254, u'banjo', 0.044628583, u'barbell', 0.036022834, u'chain_saw', 0.024915764]
[u'brassiere', 0.36691847, u'miniskirt', 0.17844513, u'maillot', 0.12624086, u'bikini', 0.084163949, u'oxygen_mask', 0.068311162]
[u'maillot', 0.41457555, u'miniskirt', 0.22242242, u'bikini', 0.17771153, u'maillot', 0.097205766, u'brassiere', 0.040550467]
[u'maillot', 0.55237931, u'maillot', 0.1903244, u'miniskirt', 0.085975528, u'bikini', 0.070256226, u'tub', 0.034692094]
[u'umbrella', 0.78988284, u'sombrero', 0.043094993, u'hoopskirt', 0.034219448, u'bonnet', 0.027182758, u'miniskirt', 0.012508057]
[u'miniskirt', 0.27720904, u'tub', 0.21122767, u'brassiere', 0.1765247, u'maillot', 0.100293, u'bikini', 0.081998415]
[u'gown', 0.44302174, u'hoopskirt', 0.13869604, u'pajama', 0.096782513, u'studio_couch', 0.074310616, u'miniskirt', 0.063671529]
[u'bikini', 0.39773244, u'maillot', 0.1955255, u'maillot', 0.046382442, u'miniskirt', 0.039634734, u'brassiere', 0.03846899]
[u'bikini', 0.3803978, u'maillot', 0.094644621, u'miniskirt', 0.083517529, u'maillot', 0.042892221, u'sunscreen', 0.031687196]
[u'miniskirt', 0.34073633, u'brassiere', 0.12130965, u'bikini', 0.11233614, u'maillot', 0.091361299, u'sarong', 0.076146103]
[u'sandal', 0.34251693, u'walking_stick', 0.20454414, u'bikini', 0.16761521, u'maillot', 0.15932314, u'brassiere', 0.033417579]
[u'swimming_trunks', 0.3088606, u'dumbbell', 0.21862222, u'punching_bag', 0.13628615, u'barbell', 0.076234601, u'tub', 0.043230001]
[u'bikini', 0.29487395, u'maillot', 0.26052803, u'maillot', 0.21412231, u'sunscreen', 0.068866834, u'swimming_trunks', 0.035765447]
[u'maillot', 0.37130201, u'miniskirt', 0.2260489, u'studio_couch', 0.10506908, u'maillot', 0.056941386, u'grand_piano', 0.032197881]
[u'diaper', 0.34837145, u'swimming_trunks', 0.15758587, u'brassiere', 0.15474761, u'miniskirt', 0.06991037, u'bath_towel', 0.059037022]
[u'dough', 0.17756073, u'bathing_cap', 0.15618789, u'sunscreen', 0.13009527, u'bikini', 0.060563825, u'sunglass', 0.04275893]
[u'brassiere', 0.35152611, u'hair_spray', 0.10158391, u'bikini', 0.087419689, u'lipstick', 0.075155795, u'maillot', 0.056013089]
[u'bikini', 0.28249002, u'swimming_trunks', 0.11775868, u'maillot', 0.063076779, u'sunscreen', 0.054232985, u'bathing_cap', 0.043874644]
[u'bikini', 0.72837466, u'sandal', 0.1126565, u'maillot', 0.081560053, u'maillot', 0.017708462, u'brassiere', 0.013472324]
[u'bathing_cap', 0.1680797, u'maillot', 0.14327988, u'maillot', 0.12498719, u'bikini', 0.065051146, u'swimming_trunks', 0.063279778]
[u'diaper', 0.24432069, u'bikini', 0.19265231, u'brassiere', 0.17700972, u'tub', 0.12407373, u'maillot', 0.094117068]
[u'bikini', 0.3064732, u'maillot', 0.27456078, u'miniskirt', 0.26549086, u'maillot', 0.061205734, u'brassiere', 0.026090248]
[u'sarong', 0.1156254, u'bikini', 0.11174152, u'maillot', 0.090146802, u'sunscreen', 0.049312595, u'ice_lolly', 0.046413556]
[u'bikini', 0.32375285, u'diaper', 0.18809386, u'brassiere', 0.10329148, u'tub', 0.057459094, u'bathtub', 0.049656186]
