[u'book_jacket', 0.23657767, u'maillot', 0.16396464, u'web_site', 0.12624384, u'comic_book', 0.098431386, u'bikini', 0.091723204]
[u'chain', 0.7183885, u'swing', 0.2379373, u'chain_mail', 0.037838962, u'wig', 0.0028036772, u'safety_pin', 0.000376465]
[u'wig', 0.29968309, u'shower_cap', 0.065346122, u'web_site', 0.051491216, u'bikini', 0.050031375, u'bathing_cap', 0.049662247]
[u'swing', 0.52036631, u'chain', 0.466279, u'chain_mail', 0.0067834388, u'maillot', 0.0010788714, u'throne', 0.0010452832]
[u'panpipe', 0.53116268, u'flute', 0.33107546, u'oboe', 0.068149939, u'harmonica', 0.026029306, u'bassoon', 0.017746348]
[u'chain', 0.767757, u'throne', 0.03437509, u'prayer_rug', 0.022474205, u'chain_mail', 0.022295207, u'buckle', 0.021778343]
[u'chain', 0.64942998, u'swing', 0.33753216, u'chain_mail', 0.011617499, u'wig', 0.00085737219, u'throne', 0.00011393654]
[u'barbershop', 0.17991741, u'comic_book', 0.15541106, u'cinema', 0.11249231, u'ski', 0.058269478, u'scoreboard', 0.054241333]
[u'chain', 0.65615398, u'swing', 0.33119342, u'chain_mail', 0.011781218, u'hook', 0.0002138281, u'abacus', 5.8548514e-05]
[u'chain', 0.46090189, u'chainlink_fence', 0.28747571, u'chain_mail', 0.085111879, u'swing', 0.07253518, u'padlock', 0.018824702]
[u'chain', 0.86961383, u'chain_mail', 0.056968614, u'safety_pin', 0.018806439, u'padlock', 0.011912539, u'mailbag', 0.011478443]
[u'chain', 0.60320252, u'swing', 0.28335181, u'chain_mail', 0.038960151, u'maillot', 0.02456326, u'bikini', 0.022043282]
[u'chain', 0.89306462, u'swing', 0.086288579, u'chain_mail', 0.019231085, u'throne', 0.00048097869, u'oboe', 0.00029121464]
[u'chain', 0.75639749, u'swing', 0.21457233, u'throne', 0.010524829, u'chain_mail', 0.0063722148, u'prayer_rug', 0.002847231]
[u'chain', 0.46601409, u'chain_mail', 0.39166123, u'swing', 0.13254449, u'throne', 0.0023888263, u'brassiere', 0.002044209]
[u'chain', 0.90563166, u'swing', 0.087259978, u'chain_mail', 0.0065852623, u'oboe', 9.7515709e-05, u'buckle', 7.2138129e-05]
[u'chain', 0.55801445, u'chain_mail', 0.38691664, u'swing', 0.0076949093, u'buckle', 0.0064625326, u'necklace', 0.0055305865]
[u'chain', 0.52649838, u'swing', 0.44265476, u'chain_mail', 0.028801553, u'prison', 0.00072586368, u'oboe', 0.00018422429]
[u'chain', 0.89382631, u'swing', 0.095537156, u'chain_mail', 0.0081192404, u'throne', 0.00058548129, u'necklace', 0.00035829676]
[u'comic_book', 0.65383577, u'maraca', 0.052502844, u'lipstick', 0.046064839, u'microphone', 0.03714937, u'stage', 0.028538797]
[u'chain_mail', 0.49529567, u'chain', 0.42493719, u'swing', 0.052691601, u'maillot', 0.005689716, u'throne', 0.0051937234]
[u'chain', 0.9065603, u'chain_mail', 0.082147419, u'swing', 0.0069469418, u'padlock', 0.0018093239, u'buckle', 0.00075471902]
[u'microphone', 0.26440239, u'stage', 0.19173981, u'comic_book', 0.081997685, u'wig', 0.031654298, u'brassiere', 0.023675904]
[u'chain', 0.70004952, u'chain_mail', 0.20346428, u'swing', 0.051122751, u'sandal', 0.015056459, u'buckle', 0.011458754]
[u'sandal', 0.24586624, u'brassiere', 0.23193477, u'muzzle', 0.11323223, u'fur_coat', 0.10785567, u'maillot', 0.06508901]
[u'chain', 0.78003472, u'swing', 0.19131549, u'chain_mail', 0.02708645, u'throne', 0.00035545329, u'hook', 0.0002327199]
[u'book_jacket', 0.15427577, u'maillot', 0.13050008, u'wig', 0.087126665, u'feather_boa', 0.077493325, u'bathing_cap', 0.072450139]
[u'chain', 0.64890873, u'swing', 0.2089359, u'chain_mail', 0.13217573, u'wig', 0.0015519365, u'safety_pin', 0.0010002593]
[u'chain', 0.73323482, u'chain_mail', 0.12146091, u'swing', 0.060106184, u'abacus', 0.012618963, u'padlock', 0.01220172]
[u'chain', 0.90786833, u'swing', 0.048810545, u'chain_mail', 0.021016411, u'padlock', 0.0051156892, u'abacus', 0.004295039]
[u'chain', 0.67217523, u'swing', 0.26611084, u'throne', 0.031574614, u'chain_mail', 0.0090967501, u'wig', 0.006658982]
[u'chain', 0.69180387, u'swing', 0.29161093, u'throne', 0.012862379, u'chain_mail', 0.0024635359, u'oboe', 0.0002465577]
[u'brassiere', 0.42240059, u'bikini', 0.19151081, u'maillot', 0.077209808, u'miniskirt', 0.054861438, u'wig', 0.035760831]
[u'prison', 0.38383648, u'oboe', 0.20085458, u'chainlink_fence', 0.090503588, u'punching_bag', 0.043840766, u'chain', 0.029020023]
[u'chain', 0.86502826, u'throne', 0.077580243, u'swing', 0.037429016, u'chain_mail', 0.0080812629, u'prayer_rug', 0.0015402019]
[u'prison', 0.25450921, u'chain', 0.21577269, u'swing', 0.083576307, u'abacus', 0.075241752, u'barbell', 0.075156838]
[u'packet', 0.20019245, u'diaper', 0.16863635, u'hamper', 0.089980818, u'maillot', 0.085343212, u'brassiere', 0.085267477]
[u'chain', 0.36033762, u'chain_mail', 0.24733494, u'bikini', 0.10061619, u'brassiere', 0.059497595, u'maillot', 0.051917598]
[u'chain', 0.7792505, u'swing', 0.13719897, u'chain_mail', 0.075105026, u'maillot', 0.0028588013, u'brassiere', 0.001924611]
[u'swing', 0.81024128, u'chain', 0.16662221, u'chain_mail', 0.0068627093, u'throne', 0.0045630955, u'four-poster', 0.0021634463]
