[u'sunscreen', 0.30297843, u'bikini', 0.08528199, u'golfcart', 0.084338114, u'lawn_mower', 0.080695949, u'ice_lolly', 0.053343553]
[u'plastic_bag', 0.19360863, u'toilet_tissue', 0.1733485, u'paper_towel', 0.089721926, u'candle', 0.040591378, u'diaper', 0.039765634]
[u'wig', 0.29780102, u'necklace', 0.16522489, u'chain_mail', 0.071468219, u'chain', 0.059865151, u'brassiere', 0.034636486]
[u'bikini', 0.39764965, u'maillot', 0.2857348, u'brassiere', 0.14160311, u'maillot', 0.083976552, u'miniskirt', 0.027001882]
[u'bathtub', 0.3359105, u'tub', 0.11223076, u'fig', 0.069377512, u'tick', 0.042756453, u'bubble', 0.042323846]
[u'brassiere', 0.51170635, u'bikini', 0.073247433, u'maillot', 0.059958156, u'diaper', 0.058236934, u'pajama', 0.051972143]
[u'brassiere', 0.35938692, u'tub', 0.16509417, u'bikini', 0.13020861, u'bathtub', 0.12593801, u'diaper', 0.11785703]
[u'bikini', 0.4094834, u'sarong', 0.18861608, u'swimming_trunks', 0.10613288, u'maillot', 0.084586576, u'gown', 0.049544543]
[u'miniskirt', 0.66771013, u'maillot', 0.15604873, u'maillot', 0.045766067, u'studio_couch', 0.033940401, u'bathtub', 0.010451962]
[u'studio_couch', 0.56681651, u'maillot', 0.18038344, u'maillot', 0.14682715, u'miniskirt', 0.038482841, u'pajama', 0.012925011]
[u'tub', 0.39192295, u'bathtub', 0.22385128, u'bikini', 0.10114267, u'bath_towel', 0.067630216, u'brassiere', 0.059132759]
[u'sarong', 0.20999613, u'bikini', 0.17173548, u'bathing_cap', 0.13912365, u'maillot', 0.073980242, u'sombrero', 0.051486384]
[u'diaper', 0.91179144, u'cradle', 0.023663223, u'bassinet', 0.0099753048, u'crib', 0.0071287835, u'bath_towel', 0.0041415645]
[u'brassiere', 0.21180819, u'bikini', 0.17146274, u'conch', 0.057841115, u'maillot', 0.050726891, u'Band_Aid', 0.044852346]
[u'bubble', 0.17755449, u'bathtub', 0.094309531, u'lipstick', 0.082474567, u'bikini', 0.070642464, u'tub', 0.066456057]
[u'cuirass', 0.15938412, u'breastplate', 0.14316069, u'chain_mail', 0.10267399, u'mask', 0.049727112, u'chain', 0.03934624]
[u'diaper', 0.56740046, u'maillot', 0.085782461, u'miniskirt', 0.065815806, u'studio_couch', 0.064257592, u'maillot', 0.025203982]
[u'bikini', 0.38461888, u'maillot', 0.32716665, u'maillot', 0.1107809, u'swimming_trunks', 0.035233553, u'tub', 0.025974888]
[u'bikini', 0.24821681, u'brassiere', 0.076978065, u'diaper', 0.060759816, u'maillot', 0.057208568, u'sunscreen', 0.050729293]
