[u'tub', 0.19885592, u'bath_towel', 0.13761072, u'bathtub', 0.13226223, u'swimming_trunks', 0.043129299, u'bikini', 0.041962497]
[u'bikini', 0.30441985, u'maillot', 0.19595401, u'maillot', 0.1147671, u'miniskirt', 0.055040028, u'tub', 0.046663776]
[u'fur_coat', 0.081662305, u'miniskirt', 0.05685512, u'maillot', 0.056062877, u'maillot', 0.03878852, u'flute', 0.032762103]
[u'diaper', 0.11094216, u'bikini', 0.0905158, u'paper_towel', 0.05097305, u'bath_towel', 0.042624846, u'gown', 0.041859768]
[u'bikini', 0.22016072, u'maillot', 0.062039901, u'sunscreen', 0.057173301, u'maillot', 0.050163329, u'bathing_cap', 0.040857848]
[u'diaper', 0.44580722, u'crib', 0.11971113, u'cradle', 0.061483767, u'bath_towel', 0.054622613, u'studio_couch', 0.039620314]
[u'bikini', 0.37245873, u'swimming_trunks', 0.14426684, u'sarong', 0.12069152, u'maillot', 0.077880926, u'maillot', 0.064560995]
[u'sunscreen', 0.092873238, u'limousine', 0.083244644, u'pretzel', 0.0672144, u'butcher_shop', 0.049395803, u'ocarina', 0.036985323]
[u'maillot', 0.42011333, u'maillot', 0.27664024, u'bikini', 0.22565307, u'brassiere', 0.013346476, u'miniskirt', 0.012380384]
[u'maillot', 0.16856663, u'bikini', 0.12038887, u'miniskirt', 0.11922903, u'maillot', 0.11379312, u'swimming_trunks', 0.07523784]
[u'diaper', 0.23729613, u'gown', 0.17360708, u'pajama', 0.16390908, u'maillot', 0.099304639, u'brassiere', 0.083448738]
[u'bathtub', 0.2917234, u'tub', 0.24164893, u'bath_towel', 0.11453179, u'brassiere', 0.073085628, u'gown', 0.054649986]
[u'bikini', 0.49883044, u'maillot', 0.19731826, u'maillot', 0.10851196, u'brassiere', 0.045060396, u'miniskirt', 0.028446823]
[u'brassiere', 0.32382336, u'bikini', 0.13684867, u'miniskirt', 0.11814917, u'maillot', 0.086985901, u'gown', 0.035396766]
[u'miniskirt', 0.32921761, u'bookcase', 0.24055819, u'home_theater', 0.078799568, u'maillot', 0.063710213, u'wardrobe', 0.028194554]
[u'bathtub', 0.48368779, u'tub', 0.23026705, u'bikini', 0.052446887, u'swimming_trunks', 0.050432578, u'diaper', 0.031468265]
[u'maillot', 0.18145674, u'bathtub', 0.14178951, u'bikini', 0.11079584, u'maillot', 0.090076722, u'tub', 0.061141774]
[u'bikini', 0.32743979, u'miniskirt', 0.17249335, u'brassiere', 0.098565534, u'maillot', 0.049110159, u'swimming_trunks', 0.024194846]
[u'bath_towel', 0.16383058, u'bathtub', 0.1545637, u'pajama', 0.13209341, u'tub', 0.12685734, u'diaper', 0.059209339]
[u'bathtub', 0.50904024, u'tub', 0.42658687, u'bikini', 0.020658582, u'bath_towel', 0.010446909, u'maillot', 0.007131868]
