[u'window_screen', 0.36746234, u'doormat', 0.054387409, u'fire_screen', 0.044646971, u'wallet', 0.038351793, u'puck', 0.023039063]
[u'comic_book', 0.44192201, u'jigsaw_puzzle', 0.084795468, u'book_jacket', 0.044496007, u'parachute', 0.034210935, u'airship', 0.024757151]
[u'comic_book', 0.43405646, u'envelope', 0.26226193, u'jigsaw_puzzle', 0.15453546, u'refrigerator', 0.066107199, u'web_site', 0.018945159]
[u'sleeping_bag', 0.55679715, u'ski_mask', 0.076309398, u'backpack', 0.045121755, u'jersey', 0.029474277, u'bulletproof_vest', 0.024913063]
[u'comic_book', 0.55461878, u'jigsaw_puzzle', 0.26415625, u'book_jacket', 0.074750386, u'envelope', 0.047294077, u'prayer_rug', 0.016140964]
[u'Great_Dane', 0.28516597, u'dalmatian', 0.075419374, u'kimono', 0.037501272, u'Weimaraner', 0.033670273, u'shower_curtain', 0.024559092]
[u'comic_book', 0.45361796, u'web_site', 0.13934232, u'jigsaw_puzzle', 0.094382606, u'nail', 0.045498986, u'screw', 0.035189852]
[u'jersey', 0.17728688, u'comic_book', 0.17608127, u'envelope', 0.1734, u'binder', 0.15895288, u'refrigerator', 0.15676773]
[u'jigsaw_puzzle', 0.62145555, u'comic_book', 0.21061186, u'envelope', 0.050026566, u'book_jacket', 0.038759973, u'binder', 0.029144304]
[u'snowmobile', 0.18058206, u'bulletproof_vest', 0.18032067, u'oxygen_mask', 0.1598662, u'mask', 0.047027927, u'holster', 0.046768252]
[u'comic_book', 0.58109456, u'binder', 0.11319319, u'envelope', 0.10068638, u'jigsaw_puzzle', 0.096832655, u'book_jacket', 0.031698696]
[u'comic_book', 0.45140868, u'toyshop', 0.24936241, u'jigsaw_puzzle', 0.12311768, u'teddy', 0.039493524, u'mask', 0.01856179]
[u'spider_web', 0.076625504, u'envelope', 0.058753725, u'parachute', 0.036339417, u'balloon', 0.034253344, u'jersey', 0.027579131]
[u'comic_book', 0.6014939, u'jigsaw_puzzle', 0.33105505, u'envelope', 0.031188533, u'web_site', 0.01547779, u'book_jacket', 0.0076371413]
[u'jigsaw_puzzle', 0.61642671, u'comic_book', 0.2399307, u'envelope', 0.043657143, u'pillow', 0.021114476, u'book_jacket', 0.012145323]
[u'ski', 0.26127008, u'snowmobile', 0.072768942, u'mask', 0.057055857, u'totem_pole', 0.050286494, u'parachute', 0.042126678]
[u'envelope', 0.17004555, u'book_jacket', 0.046453785, u'tray', 0.045333762, u'handkerchief', 0.033368845, u'doormat', 0.032985434]
[u'spider_web', 0.95457852, u'chainlink_fence', 0.012599462, u'jigsaw_puzzle', 0.010337304, u'window_screen', 0.0085574798, u'maze', 0.0036537442]
[u'comic_book', 0.64856529, u'mask', 0.12072428, u'oxygen_mask', 0.083169289, u'book_jacket', 0.020614073, u'pug', 0.018014465]
[u'envelope', 0.42204133, u'comic_book', 0.21147585, u'jigsaw_puzzle', 0.17875655, u'binder', 0.085027456, u'jersey', 0.036317084]
[u'comic_book', 0.26702538, u'Weimaraner', 0.15047291, u'Great_Dane', 0.093051858, u'bikini', 0.058197495, u'dogsled', 0.047896247]
[u'envelope', 0.34661666, u'menu', 0.1584232, u'comic_book', 0.14652814, u'binder', 0.089957282, u'web_site', 0.067436084]
[u'jigsaw_puzzle', 0.58858675, u'comic_book', 0.24393113, u'envelope', 0.13667268, u'book_jacket', 0.014635127, u'slide_rule', 0.0052767461]
[u'bib', 0.56007791, u'jigsaw_puzzle', 0.064967476, u'pillow', 0.053001549, u'jersey', 0.032209069, u'parachute', 0.025608253]
[u'envelope', 0.56510139, u'web_site', 0.083528675, u'jersey', 0.045657787, u'binder', 0.011170797, u'hook', 0.0091292933]
[u'menu', 0.73373812, u'crossword_puzzle', 0.092222519, u'web_site', 0.022160966, u'envelope', 0.022055082, u'jigsaw_puzzle', 0.014146814]
[u'envelope', 0.34783006, u'comic_book', 0.30358306, u'jigsaw_puzzle', 0.15133037, u'binder', 0.064341173, u'book_jacket', 0.037593741]
[u'comic_book', 0.80645007, u'jigsaw_puzzle', 0.085714497, u'book_jacket', 0.032822099, u'binder', 0.028866233, u'envelope', 0.02102069]
[u'comic_book', 0.83070159, u'envelope', 0.044366974, u'jigsaw_puzzle', 0.044171378, u'binder', 0.030989952, u'book_jacket', 0.028734393]
