[u'brassiere', 0.52837574, u'bikini', 0.19933152, u'tub', 0.09538845, u'bathtub', 0.059206352, u'maillot', 0.025498793]
[u'hair_spray', 0.14200804, u'brassiere', 0.12938835, u'maillot', 0.094314352, u'maillot', 0.077294633, u'bathtub', 0.074821629]
[u'bikini', 0.78527933, u'brassiere', 0.069607161, u'maillot', 0.058889266, u'sandal', 0.033395942, u'miniskirt', 0.023038287]
[u'sombrero', 0.18490283, u'sarong', 0.17321198, u'bikini', 0.16434936, u'cowboy_hat', 0.1315629, u'maillot', 0.095345624]
[u'umbrella', 0.14524524, u'bikini', 0.10650524, u'gown', 0.097710669, u'mask', 0.063326903, u'brassiere', 0.060116902]
[u'bikini', 0.28554612, u'miniskirt', 0.087629333, u'diaper', 0.082087263, u'swimming_trunks', 0.067024767, u'maillot', 0.054059587]
[u'Band_Aid', 0.27453375, u'bikini', 0.14369656, u'brassiere', 0.11405829, u'maillot', 0.057958692, u'swimming_trunks', 0.039555319]
[u'wig', 0.99762326, u'lipstick', 0.00077579502, u'hair_spray', 0.00037783061, u'mask', 0.00030946583, u'brassiere', 0.00010503591]
[u'bikini', 0.28969333, u'maillot', 0.2734701, u'maillot', 0.1318031, u'tub', 0.047610961, u'balance_beam', 0.043868277]
[u'bikini', 0.20615059, u'maillot', 0.19176044, u'maillot', 0.14314361, u'bathing_cap', 0.090824984, u'pole', 0.077097006]
[u'wig', 0.5540967, u'brassiere', 0.054546695, u'maillot', 0.045532547, u'bikini', 0.038639486, u'fur_coat', 0.021989206]
[u'diaper', 0.28278631, u'tub', 0.19058809, u'bathtub', 0.14476615, u'swimming_trunks', 0.11164843, u'butternut_squash', 0.091437928]
[u'maillot', 0.51772743, u'maillot', 0.32266799, u'brassiere', 0.050705198, u'bikini', 0.040230025, u'bathing_cap', 0.016159251]
[u'maillot', 0.23876774, u'maillot', 0.16146284, u'swimming_trunks', 0.16026118, u'bikini', 0.1539426, u'studio_couch', 0.048778974]
[u'bicycle-built-for-two', 0.12285701, u'miniskirt', 0.11466417, u'tricycle', 0.10352901, u'moped', 0.070682272, u'stage', 0.046761096]
[u'diaper', 0.3576211, u'swimming_trunks', 0.14903913, u'tub', 0.14759962, u'bathtub', 0.12776424, u'bath_towel', 0.060176037]
[u'maillot', 0.40535837, u'maillot', 0.35780632, u'bikini', 0.17457573, u'miniskirt', 0.018968755, u'brassiere', 0.018832451]
