[u'microphone', 0.051204965, u'hand_blower', 0.050567448, u'iron', 0.034675755, u'pay-phone', 0.034058049, u'book_jacket', 0.033570435]
[u'stage', 0.9421463, u'spotlight', 0.047074798, u'electric_guitar', 0.0019280189, u'projector', 0.0013241618, u'loudspeaker', 0.0010570709]
[u'comic_book', 0.96002346, u'jigsaw_puzzle', 0.016630786, u'book_jacket', 0.0097895535, u'tray', 0.0039516496, u'laptop', 0.0017596267]
[u'stage', 0.53289962, u'spotlight', 0.35496432, u'sax', 0.014553541, u'electric_guitar', 0.012201352, u'microphone', 0.0080020707]
[u'stage', 0.70750773, u'marimba', 0.091969572, u'drumstick', 0.067650229, u'drum', 0.020578999, u'microphone', 0.017085599]
[u'stage', 0.94364619, u'spotlight', 0.018697135, u'electric_guitar', 0.017443741, u'accordion', 0.0039653718, u'sax', 0.0031131802]
[u'spotlight', 0.60516393, u'stage', 0.35460383, u'microphone', 0.01471054, u'electric_guitar', 0.0074942731, u'projector', 0.0029429973]
[u'stage', 0.78149492, u'spotlight', 0.075669453, u'electric_guitar', 0.035769057, u'sax', 0.016970325, u'loudspeaker', 0.012329254]
[u'stage', 0.87403214, u'sax', 0.057252329, u'electric_guitar', 0.032662887, u'spotlight', 0.0078357961, u'cornet', 0.0062477659]
[u'television', 0.27490148, u'web_site', 0.19876562, u'microphone', 0.057861142, u'stage', 0.049877424, u'home_theater', 0.037907906]
[u'stage', 0.69136965, u'spotlight', 0.24861835, u'monitor', 0.017663736, u'oscilloscope', 0.006763299, u'projector', 0.0046135457]
[u'stage', 0.62360638, u'spotlight', 0.28780252, u'projector', 0.023326091, u'sax', 0.0085551804, u'electric_guitar', 0.0073891277]
[u'stage', 0.83512509, u'spotlight', 0.090669304, u'unicycle', 0.02949089, u'torch', 0.01113095, u'theater_curtain', 0.0093343779]
[u'comic_book', 0.90443152, u'jigsaw_puzzle', 0.073588438, u'book_jacket', 0.010953906, u'menu', 0.0023404339, u'jersey', 0.0017672725]
[u'stage', 0.75661415, u'spotlight', 0.23776698, u'loudspeaker', 0.0014414393, u'theater_curtain', 0.001055768, u'projector', 0.00081431231]
[u'stage', 0.93799138, u'spotlight', 0.035198756, u'electric_guitar', 0.017169528, u'microphone', 0.0021370358, u'banjo', 0.0015157697]
[u'comic_book', 0.98245621, u'book_jacket', 0.0056416634, u'jigsaw_puzzle', 0.0046045519, u'laptop', 0.0019275782, u'tray', 0.0008251894]
[u'stage', 0.74793845, u'electric_guitar', 0.13505051, u'banjo', 0.040341768, u'microphone', 0.019196589, u'spotlight', 0.014076304]
