[u'acoustic_guitar', 0.52553195, u'electric_guitar', 0.31346428, u'banjo', 0.092563771, u'suspension_bridge', 0.012385498, u'beacon', 0.0041450076]
[u'coral_fungus', 0.63465303, u'spatula', 0.043631062, u'ski', 0.042530496, u'picket_fence', 0.040377121, u'nail', 0.029914556]
[u'electric_guitar', 0.91228801, u'acoustic_guitar', 0.047662955, u'banjo', 0.0058290898, u'accordion', 0.0052494765, u'pick', 0.0049393107]
[u'parachute', 0.042539176, u'kite', 0.035055969, u'space_shuttle', 0.031399883, u'airship', 0.027139448, u'wing', 0.022494521]
[u'electric_guitar', 0.63669878, u'acoustic_guitar', 0.1272555, u'torch', 0.017349124, u'letter_opener', 0.012319338, u'banjo', 0.010440784]
[u'electric_guitar', 0.62616211, u'acoustic_guitar', 0.33856863, u'banjo', 0.019094652, u'beacon', 0.0012636926, u'rule', 0.0012349704]
[u'electric_guitar', 0.98985213, u'acoustic_guitar', 0.0097841797, u'pick', 0.00016535942, u'banjo', 8.8649998e-05, u'stage', 1.937416e-05]
[u'electric_guitar', 0.98990941, u'acoustic_guitar', 0.009814783, u'pick', 9.6853502e-05, u'banjo', 5.1165895e-05, u'stage', 4.0165472e-05]
[u'electric_guitar', 0.50580406, u'acoustic_guitar', 0.46643761, u'rule', 0.004953898, u'wing', 0.0048219166, u'pick', 0.004089471]
[u'electric_guitar', 0.44569749, u'space_heater', 0.2018491, u'acoustic_guitar', 0.17230478, u'fire_screen', 0.038244314, u'stove', 0.020097312]
[u'electric_guitar', 0.72641253, u'computer_keyboard', 0.090589352, u'mouse', 0.023177728, u'modem', 0.018991495, u'stage', 0.017939216]
[u'electric_guitar', 0.99483502, u'acoustic_guitar', 0.0050194333, u'violin', 2.6595893e-05, u'pick', 2.0053016e-05, u'banjo', 1.7428329e-05]
[u'electric_guitar', 0.99155867, u'acoustic_guitar', 0.0081634121, u'pick', 0.00014920204, u'banjo', 4.1342431e-05, u'stage', 2.6710097e-05]
