[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'hair_spray', 0.37745166, u'candle', 0.12500376, u'ballpoint', 0.10351885, u'sunscreen', 0.095788054, u'lotion', 0.052579958]
[u'picket_fence', 0.19428238, u'fountain', 0.11767785, u'stage', 0.11024585, u'web_site', 0.064555548, u'theater_curtain', 0.06318564]
[u'swab', 0.39653608, u'stole', 0.30367196, u'quill', 0.11597493, u'wool', 0.017523527, u'sweatshirt', 0.016124813]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'car_mirror', 0.1437905, u'groom', 0.072453812, u'toilet_tissue', 0.052867129, u'gown', 0.041848153, u'fountain', 0.036385916]
[u'cassette', 0.13936625, u'electric_fan', 0.12143713, u'loudspeaker', 0.11237956, u'iPod', 0.089867122, u'hard_disc', 0.075778045]
[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'airship', 0.022909692, u'missile', 0.022672195, u'parachute', 0.021655673, u'wall_clock', 0.01760887, u'vase', 0.016817709]
[u'electric_fan', 0.29678833, u'binder', 0.11630604, u'analog_clock', 0.081102759, u'hard_disc', 0.057299312, u'cassette', 0.050164726]
[u'handkerchief', 0.32763091, u'shower_curtain', 0.23786923, u'bath_towel', 0.15520395, u'mosquito_net', 0.1018098, u'prayer_rug', 0.01954696]
