[u'mask', 0.40148529, u'ski_mask', 0.37039363, u'wig', 0.069716468, u'loupe', 0.03445306, u'feather_boa', 0.02453457]
[u'puffer', 0.38619301, u'snorkel', 0.30679694, u'sunscreen', 0.037866212, u'bathing_cap', 0.030068094, u'bubble', 0.029115299]
[u'bathing_cap', 0.87990999, u'snorkel', 0.039143991, u'sea_cucumber', 0.016516101, u'sunscreen', 0.011728077, u'mask', 0.010264982]
[u'fur_coat', 0.19589242, u'bonnet', 0.090993159, u'lab_coat', 0.086278565, u'wig', 0.074788317, u'bow_tie', 0.044749677]
[u'mask', 0.3542687, u'sunscreen', 0.10944589, u'bathing_cap', 0.084637046, u'shower_cap', 0.056600906, u'wig', 0.047267798]
[u'feather_boa', 0.22301717, u'mask', 0.16298835, u'wig', 0.11863185, u'sea_cucumber', 0.10951551, u'ski_mask', 0.060006052]
[u'snorkel', 0.55846894, u'puffer', 0.1631088, u'sunscreen', 0.063455448, u'mask', 0.042761412, u'bathing_cap', 0.029879363]
[u'oxygen_mask', 0.23443522, u'snorkel', 0.19174176, u'gasmask', 0.088108517, u'ski_mask', 0.074373268, u'mask', 0.061476555]
[u'ski_mask', 0.326336, u'mask', 0.16208847, u'great_white_shark', 0.08658538, u'tiger_shark', 0.053720262, u'bathing_cap', 0.051560584]
[u'drilling_platform', 0.19478165, u'barracouta', 0.09659072, u'gar', 0.089291446, u'solar_dish', 0.053153504, u'king_crab', 0.046111099]
[u'snorkel', 0.56521344, u'crash_helmet', 0.1433018, u'neck_brace', 0.05805929, u'oxygen_mask', 0.041120484, u'scuba_diver', 0.0403203]
[u'puffer', 0.35078314, u'sunscreen', 0.28404793, u'beer_glass', 0.097786292, u'shower_cap', 0.027224829, u'water_bottle', 0.027043585]
[u'bubble', 0.14176433, u'wig', 0.062167354, u'pretzel', 0.051923033, u'bow_tie', 0.050790396, u'fountain', 0.050194506]
[u'ski_mask', 0.50127906, u'mask', 0.1692242, u'wig', 0.072318442, u'bathing_cap', 0.045711651, u'shower_cap', 0.03240443]
[u'sunglass', 0.31650773, u'sunglasses', 0.18974341, u'ski_mask', 0.082200751, u'bathing_cap', 0.060434557, u'neck_brace', 0.032022838]
[u'sunscreen', 0.15558346, u'bathing_cap', 0.15154836, u'wig', 0.12058602, u'shower_cap', 0.11516038, u'mask', 0.063469544]
[u'ski_mask', 0.6952557, u'mask', 0.11512528, u'loupe', 0.060978416, u'neck_brace', 0.01118216, u'binoculars', 0.011064919]
[u'loupe', 0.32836342, u'ski_mask', 0.15800445, u'mask', 0.15694255, u'snorkel', 0.054487262, u'Band_Aid', 0.036234815]
[u'swing', 0.14696091, u'shower_cap', 0.12364762, u'mortarboard', 0.081739217, u'academic_gown', 0.062273502, u'bathing_cap', 0.054972239]
[u'snorkel', 0.15443951, u'neck_brace', 0.15192166, u'loupe', 0.11476947, u'ski_mask', 0.083486706, u'mask', 0.051743634]
[u'wig', 0.30154371, u'neck_brace', 0.13017486, u'sunscreen', 0.058791719, u'bathing_cap', 0.056079157, u'bearskin', 0.042856675]
[u'mask', 0.33036894, u'ski_mask', 0.24667224, u'sunscreen', 0.076150909, u'wig', 0.050020821, u'loupe', 0.037765801]
[u'mask', 0.37982178, u'pickelhaube', 0.34349626, u'wig', 0.070889331, u'bow_tie', 0.028759984, u'puffer', 0.025493912]
[u'wig', 0.12086097, u'loupe', 0.1153071, u'mask', 0.11197839, u'snorkel', 0.079195008, u'bathing_cap', 0.068488955]
[u'pretzel', 0.66928506, u'mask', 0.090097927, u'buckle', 0.021900916, u'wig', 0.018324239, u'puffer', 0.015894359]
[u'crash_helmet', 0.068972148, u'sunscreen', 0.055885267, u'mask', 0.052554876, u'Band_Aid', 0.050137356, u'oxygen_mask', 0.035648473]
[u'bow_tie', 0.40354162, u'wig', 0.16987979, u'sunscreen', 0.082819566, u'neck_brace', 0.047659189, u'lab_coat', 0.028212626]
[u'snorkel', 0.4475303, u'oxygen_mask', 0.14509146, u'ski_mask', 0.10839823, u'scuba_diver', 0.03608596, u'puffer', 0.025346918]
[u'mask', 0.29038253, u'loupe', 0.23621468, u'ski_mask', 0.2263208, u'snorkel', 0.052962027, u'feather_boa', 0.022196103]
[u'goldfish', 0.13659929, u'tench', 0.056061409, u'bathing_cap', 0.051162928, u'snorkel', 0.049667254, u'carousel', 0.045042999]
[u'snorkel', 0.21117342, u'ski_mask', 0.1653315, u'mask', 0.098604068, u'sunscreen', 0.080834672, u'feather_boa', 0.056199361]
[u'sunscreen', 0.57797539, u'mask', 0.21894144, u'ski_mask', 0.072618738, u'Band_Aid', 0.042004656, u'bathing_cap', 0.020921117]
[u'snorkel', 0.68843377, u'neck_brace', 0.028139265, u'sunglasses', 0.023291567, u'ski_mask', 0.022122324, u'sunscreen', 0.021235617]
[u'ski_mask', 0.14594045, u'puffer', 0.12109336, u'sunscreen', 0.081880629, u'pretzel', 0.077566579, u'mask', 0.076906681]
[u'trifle', 0.1557115, u'beer_glass', 0.12645693, u'bathing_cap', 0.1087197, u'snorkel', 0.063390307, u'shower_cap', 0.037107281]
[u'binoculars', 0.7842111, u'ski_mask', 0.14671357, u'mask', 0.027136018, u'snorkel', 0.010906336, u'sunglass', 0.0063581159]
[u'loupe', 0.66861522, u'puffer', 0.17402941, u'binoculars', 0.029774087, u'bottlecap', 0.016483176, u'Petri_dish', 0.0114125]
[u'wig', 0.37485349, u'mask', 0.23380411, u'ski_mask', 0.12290978, u'sunscreen', 0.097044826, u'loupe', 0.026719758]
[u'puffer', 0.22306326, u'car_mirror', 0.16208461, u'cassette', 0.1563797, u'snorkel', 0.098295972, u'beer_glass', 0.042594016]
[u'fire_engine', 0.25716153, u'fireboat', 0.25267193, u'military_uniform', 0.064459398, u'crash_helmet', 0.055878885, u'toyshop', 0.035484549]
