[u'thimble', 0.43743137, u'ocarina', 0.19051076, u'vending_machine', 0.13696755, u'toyshop', 0.079114713, u'china_cabinet', 0.047043823]
[u'slot', 0.99897456, u'vending_machine', 0.00091085391, u'tobacco_shop', 2.8206727e-05, u'toyshop', 1.9892715e-05, u'confectionery', 1.1511615e-05]
[u'slot', 0.99972588, u'vending_machine', 0.00019331642, u'monitor', 4.4975088e-05, u'television', 1.1814856e-05, u'screen', 6.8361933e-06]
[u'cash_machine', 0.39072576, u'slot', 0.24101111, u'hand-held_computer', 0.11653425, u'vending_machine', 0.10058199, u'screen', 0.026169358]
[u'slot', 0.99956566, u'vending_machine', 0.00042871249, u'cab', 6.3206568e-07, u'joystick', 6.2214895e-07, u'school_bus', 5.0129711e-07]
[u'slot', 0.99977714, u'vending_machine', 0.0001755733, u'television', 1.2645316e-05, u'monitor', 6.4598826e-06, u'web_site', 5.464824e-06]
[u'slot', 0.98497063, u'vending_machine', 0.0090900837, u'scoreboard', 0.0019887893, u'tobacco_shop', 0.0019841858, u'toyshop', 0.00020791877]
[u'packet', 0.14818437, u'envelope', 0.096748911, u'carton', 0.094200201, u'web_site', 0.064216174, u'vending_machine', 0.062906861]
[u'slot', 0.97871178, u'tray', 0.0026550826, u'church', 0.0019362116, u'cassette', 0.0016383922, u'comic_book', 0.0013904814]
[u'slot', 0.95829326, u'vending_machine', 0.00740638, u'confectionery', 0.0068953265, u'comic_book', 0.0020321165, u'cinema', 0.0017292191]
[u'web_site', 0.92164981, u'monitor', 0.023503212, u'iPod', 0.013622283, u'screen', 0.0096757431, u'scoreboard', 0.0046337629]
[u'slot', 0.99502712, u'vending_machine', 0.0019009412, u'hand-held_computer', 0.0011441146, u'cash_machine', 0.0008333603, u'remote_control', 0.0003613318]
[u'slot', 0.99999857, u'vending_machine', 9.9978001e-07, u'scoreboard', 1.7642924e-07, u'monitor', 7.9847688e-08, u'television', 7.2249833e-08]
[u'slot', 0.99956518, u'vending_machine', 0.00025611522, u'comic_book', 2.1205549e-05, u'church', 1.7908913e-05, u'menu', 1.6926284e-05]
[u'slot', 0.95829326, u'vending_machine', 0.00740638, u'confectionery', 0.0068953265, u'comic_book', 0.0020321165, u'cinema', 0.0017292191]
[u'puck', 0.27970365, u'shield', 0.15270631, u'analog_clock', 0.089005463, u'tray', 0.074850827, u'slot', 0.065778211]
[u'slot', 0.99502712, u'vending_machine', 0.0019009412, u'hand-held_computer', 0.0011441146, u'cash_machine', 0.0008333603, u'remote_control', 0.0003613318]
[u'web_site', 0.9475078, u'scoreboard', 0.020734074, u'slot', 0.010970506, u'hand-held_computer', 0.0062253787, u'screen', 0.0034097235]
[u'slot', 0.99991834, u'vending_machine', 6.8604197e-05, u'church', 4.5893748e-06, u'television', 1.694972e-06, u'tobacco_shop', 6.7908985e-07]
[u'web_site', 0.99364883, u'menu', 0.0052623176, u'monitor', 0.00017529652, u'laptop', 9.460697e-05, u'notebook', 9.4599935e-05]
[u'slot', 0.90423393, u'vending_machine', 0.025074959, u'oscilloscope', 0.0081061423, u'abacus', 0.0058790767, u'scoreboard', 0.005809464]
[u'slot', 0.99623787, u'scoreboard', 0.001651173, u'vending_machine', 0.00063603162, u'cinema', 0.00030482258, u'comic_book', 0.00029614937]
[u'slot', 0.52255404, u'vending_machine', 0.27385607, u'hand-held_computer', 0.11862542, u'tobacco_shop', 0.02777571, u'cellular_telephone', 0.015017547]
[u'slot', 0.99992692, u'vending_machine', 3.0821582e-05, u'abacus', 8.9070836e-06, u'tobacco_shop', 6.2210056e-06, u'cinema', 5.1115094e-06]
[u'slot', 0.99998963, u'hand-held_computer', 3.8536909e-06, u'joystick', 2.190041e-06, u'monitor', 6.719722e-07, u'cellular_telephone', 6.6025717e-07]
[u'slot', 0.97871178, u'tray', 0.0026550826, u'church', 0.0019362116, u'cassette', 0.0016383922, u'comic_book', 0.0013904814]
[u'comic_book', 0.72311139, u'balloon', 0.026027901, u'paddle', 0.022878116, u'gondola', 0.020538129, u'slot', 0.012547984]
[u'slot', 0.99042058, u'scoreboard', 0.0074211475, u'vending_machine', 0.00068066543, u'monitor', 0.00024323445, u'laptop', 0.00019394245]
[u'slot', 0.99999952, u'cinema', 1.7683656e-07, u'vending_machine', 1.0610542e-07, u'scoreboard', 6.6174664e-08, u'church', 2.0124089e-08]
[u'slot', 0.99997449, u'vending_machine', 1.8329734e-05, u'television', 2.2928486e-06, u'monitor', 1.9601021e-06, u'menu', 4.6076548e-07]
