[u'chime', 0.55547142, u'organ', 0.34659553, u'turnstile', 0.018793739, u'matchstick', 0.01115201, u'sliding_door', 0.0044322358]
[u'volcano', 0.63052338, u'lakeside', 0.041215301, u'fountain', 0.040106855, u'maze', 0.029938219, u'valley', 0.024566259]
[u'nail', 0.54964417, u'plate_rack', 0.11572572, u'hook', 0.091167405, u'safety_pin', 0.083455525, u'screw', 0.027483886]
[u'wine_bottle', 0.47793871, u'red_wine', 0.31366682, u'lotion', 0.03403534, u'hamper', 0.030577909, u'eggnog', 0.017689139]
[u'red_wine', 0.64233238, u'wine_bottle', 0.34922472, u'hamper', 0.0027460151, u'corkscrew', 0.0018229135, u'chocolate_sauce', 0.0015211778]
[u'lotion', 0.41026503, u'perfume', 0.31806275, u'hair_spray', 0.081180938, u'wine_bottle', 0.047116287, u'sunscreen', 0.03926485]
[u'red_wine', 0.7185359, u'wine_bottle', 0.23838362, u'beer_bottle', 0.014913874, u'corkscrew', 0.0083300918, u'chocolate_sauce', 0.0075039743]
[u'red_wine', 0.76834524, u'wine_bottle', 0.22620718, u'corkscrew', 0.0018473534, u'hamper', 0.0012853274, u'beer_bottle', 0.000971567]
[u'red_wine', 0.71299374, u'wine_bottle', 0.27629176, u'beer_bottle', 0.002957108, u'corkscrew', 0.0023628541, u'chocolate_sauce', 0.0019796211]
[u'red_wine', 0.66105759, u'wine_bottle', 0.33120769, u'beer_bottle', 0.0026253785, u'corkscrew', 0.0020619314, u'hamper', 0.0017269418]
[u'wine_bottle', 0.74379307, u'red_wine', 0.20166619, u'eggnog', 0.010782658, u'lotion', 0.010004601, u'perfume', 0.0069386479]
