[u'wine_bottle', 0.66148084, u'red_wine', 0.25471926, u'corkscrew', 0.048784003, u'beer_bottle', 0.0081072142, u'hamper', 0.0041314466]
[u'wine_bottle', 0.69867486, u'red_wine', 0.24584478, u'hamper', 0.012710382, u'corkscrew', 0.010718987, u'beer_bottle', 0.0094929375]
[u'lotion', 0.13260928, u'wine_bottle', 0.084594227, u'nipple', 0.0760841, u'hair_spray', 0.069988765, u'can_opener', 0.06940861]
[u'wine_bottle', 0.69934016, u'red_wine', 0.25470245, u'corkscrew', 0.011560779, u'beer_bottle', 0.0087927962, u'hamper', 0.0077466471]
[u'face_powder', 0.82832617, u'sunscreen', 0.044190012, u'lotion', 0.023456652, u'digital_clock', 0.016657831, u'puck', 0.013341765]
[u'wine_bottle', 0.6213783, u'red_wine', 0.11264908, u'hair_spray', 0.033714537, u'beer_bottle', 0.028755348, u'lotion', 0.02688889]
[u'poncho', 0.073862359, u'stole', 0.070654996, u'swab', 0.048252717, u'hook', 0.032458398, u'wool', 0.021395499]
[u'wine_bottle', 0.72410077, u'red_wine', 0.23149014, u'corkscrew', 0.01116617, u'beer_bottle', 0.0074884733, u'hamper', 0.0067483629]
[u'red_wine', 0.68739498, u'wine_bottle', 0.287635, u'corkscrew', 0.012937496, u'beer_bottle', 0.0074472199, u'chocolate_sauce', 0.0007003856]
[u'red_wine', 0.65907788, u'wine_bottle', 0.26887813, u'corkscrew', 0.064841293, u'beer_bottle', 0.0010916624, u'hair_spray', 0.0010361371]
[u'wine_bottle', 0.51450008, u'red_wine', 0.24692318, u'beer_bottle', 0.050408099, u'lotion', 0.020201745, u'hamper', 0.0191707]
[u'red_wine', 0.6203267, u'wine_bottle', 0.3558763, u'corkscrew', 0.0088300658, u'beer_bottle', 0.0079176053, u'pop_bottle', 0.0014775025]
[u'wine_bottle', 0.72613752, u'red_wine', 0.22643872, u'corkscrew', 0.011666069, u'beer_bottle', 0.011400096, u'hamper', 0.0078587746]
[u'wine_bottle', 0.64505839, u'red_wine', 0.25487688, u'beer_bottle', 0.03268721, u'corkscrew', 0.019063588, u'hamper', 0.0071543436]
