[u'pencil_sharpener', 0.45461231, u'stupa', 0.01987168, u'jigsaw_puzzle', 0.019272145, u'necklace', 0.018947564, u'bell_cote', 0.014128109]
[u'stupa', 0.31377429, u'panpipe', 0.16411091, u'pencil_sharpener', 0.16327697, u'bell_cote', 0.15534168, u'upright', 0.02299716]
[u'stupa', 0.31377429, u'panpipe', 0.16411091, u'pencil_sharpener', 0.16327697, u'bell_cote', 0.15534168, u'upright', 0.02299716]
[u'matchstick', 0.076208062, u'nematode', 0.04769811, u'lighter', 0.030722424, u'digital_clock', 0.029044192, u'spotlight', 0.023671744]
[u'bell_cote', 0.2407553, u'panpipe', 0.087981775, u'analog_clock', 0.065050781, u'wall_clock', 0.045849852, u'pencil_sharpener', 0.033678424]
[u'digital_clock', 0.22423713, u'remote_control', 0.12460732, u'cellular_telephone', 0.10579391, u'computer_keyboard', 0.064090706, u'digital_watch', 0.040237542]
[u'bell_cote', 0.2407553, u'panpipe', 0.087981775, u'analog_clock', 0.065050781, u'wall_clock', 0.045849852, u'pencil_sharpener', 0.033678424]
[u'bell_cote', 0.4600862, u'panpipe', 0.10388457, u'stupa', 0.051553529, u'analog_clock', 0.041700933, u'pencil_sharpener', 0.033612538]
[u'stupa', 0.15224619, u'pencil_sharpener', 0.13746299, u'bell_cote', 0.11133764, u'panpipe', 0.078160822, u'chime', 0.025104087]
[u'sombrero', 0.17192143, u'pedestal', 0.15263864, u'table_lamp', 0.093254179, u'lampshade', 0.065601878, u'sundial', 0.06499292]
[u'bell_cote', 0.4600862, u'panpipe', 0.10388457, u'stupa', 0.051553529, u'analog_clock', 0.041700933, u'pencil_sharpener', 0.033612538]
[u'bell_cote', 0.2407553, u'panpipe', 0.087981775, u'analog_clock', 0.065050781, u'wall_clock', 0.045849852, u'pencil_sharpener', 0.033678424]
[u'bell_cote', 0.2407553, u'panpipe', 0.087981775, u'analog_clock', 0.065050781, u'wall_clock', 0.045849852, u'pencil_sharpener', 0.033678424]
[u'matchstick', 0.076208062, u'nematode', 0.04769811, u'lighter', 0.030722424, u'digital_clock', 0.029044192, u'spotlight', 0.023671744]
[u'pencil_sharpener', 0.1409484, u'jigsaw_puzzle', 0.058927186, u'necklace', 0.025045367, u'bell_cote', 0.021570913, u'picket_fence', 0.019724522]
[u'stupa', 0.31377429, u'panpipe', 0.16411091, u'pencil_sharpener', 0.16327697, u'bell_cote', 0.15534168, u'upright', 0.02299716]
[u'pencil_sharpener', 0.45461231, u'stupa', 0.01987168, u'jigsaw_puzzle', 0.019272145, u'necklace', 0.018947564, u'bell_cote', 0.014128109]
[u'stupa', 0.15224619, u'pencil_sharpener', 0.13746299, u'bell_cote', 0.11133764, u'panpipe', 0.078160822, u'chime', 0.025104087]
[u'bell_cote', 0.4600862, u'panpipe', 0.10388457, u'stupa', 0.051553529, u'analog_clock', 0.041700933, u'pencil_sharpener', 0.033612538]
[u'pencil_sharpener', 0.1409484, u'jigsaw_puzzle', 0.058927186, u'necklace', 0.025045367, u'bell_cote', 0.021570913, u'picket_fence', 0.019724522]
[u'stupa', 0.15224619, u'pencil_sharpener', 0.13746299, u'bell_cote', 0.11133764, u'panpipe', 0.078160822, u'chime', 0.025104087]
[u'stupa', 0.15224619, u'pencil_sharpener', 0.13746299, u'bell_cote', 0.11133764, u'panpipe', 0.078160822, u'chime', 0.025104087]
[u'stupa', 0.31377429, u'panpipe', 0.16411091, u'pencil_sharpener', 0.16327697, u'bell_cote', 0.15534168, u'upright', 0.02299716]
[u'bell_cote', 0.4600862, u'panpipe', 0.10388457, u'stupa', 0.051553529, u'analog_clock', 0.041700933, u'pencil_sharpener', 0.033612538]
