[u'web_site', 0.55003577, u'envelope', 0.053478569, u'wardrobe', 0.03744911, u'hook', 0.022571743, u'jean', 0.018848546]
[u'pop_bottle', 0.48250845, u'beer_bottle', 0.30767393, u'wine_bottle', 0.13074745, u'red_wine', 0.055801801, u'water_bottle', 0.0071747722]
[u'beer_bottle', 0.42025173, u'wine_bottle', 0.33415881, u'pop_bottle', 0.147019, u'red_wine', 0.048930049, u'beer_glass', 0.0047721206]
[u'matchstick', 0.11805855, u'web_site', 0.10750994, u'book_jacket', 0.04717296, u'plunger', 0.038419619, u'drumstick', 0.027540121]
[u'red_wine', 0.80688757, u'wine_bottle', 0.18337916, u'beer_bottle', 0.0052501466, u'corkscrew', 0.0042051515, u'pop_bottle', 0.00011824643]
[u'starfish', 0.50745338, u'wing', 0.10339547, u'warplane', 0.071847521, u'sea_slug', 0.067518674, u'pinwheel', 0.012486422]
[u'red_wine', 0.64907324, u'wine_bottle', 0.18883254, u'beer_bottle', 0.14274178, u'corkscrew', 0.0082995798, u'pop_bottle', 0.0028774033]
[u'red_wine', 0.71207625, u'wine_bottle', 0.27253324, u'corkscrew', 0.0074877953, u'beer_bottle', 0.0048456769, u'hair_spray', 0.00062405993]
[u'beer_bottle', 0.49455917, u'pop_bottle', 0.33780891, u'wine_bottle', 0.13364737, u'red_wine', 0.0069073024, u'water_bottle', 0.0059850449]
[u'red_wine', 0.7964431, u'wine_bottle', 0.18435419, u'corkscrew', 0.010125478, u'beer_bottle', 0.0061733457, u'hair_spray', 0.00066475628]
[u'beer_bottle', 0.5478273, u'wine_bottle', 0.32392386, u'pop_bottle', 0.0489043, u'red_wine', 0.026930746, u'corkscrew', 0.01131]
[u'beer_bottle', 0.23755321, u'wine_bottle', 0.21040207, u'pop_bottle', 0.11483566, u'water_bottle', 0.070833936, u'lotion', 0.050359435]
[u'jersey', 0.24127148, u'sweatshirt', 0.13073342, u"jack-o'-lantern", 0.064655244, u'book_jacket', 0.054438401, u'abaya', 0.04811148]
