[u'prayer_rug', 0.99999988, u'wool', 6.0332205e-08, u'jigsaw_puzzle', 3.4649307e-08, u'doormat', 1.3216068e-08, u'maze', 1.8071245e-09]
[u'prayer_rug', 0.99999976, u'doormat', 1.713441e-07, u'wool', 1.0288423e-08, u'fire_screen', 3.7714094e-09, u'jigsaw_puzzle', 1.1380554e-09]
[u'prayer_rug', 0.99962294, u'doormat', 0.00037029796, u'wool', 1.6608639e-06, u'honeycomb', 8.2026298e-07, u'jigsaw_puzzle', 6.772558e-07]
[u'prayer_rug', 0.99996257, u'jigsaw_puzzle', 1.8289547e-05, u'quilt', 8.5464089e-06, u'wool', 7.8972344e-06, u'pillow', 1.0233185e-06]
[u'doormat', 0.3975637, u'prayer_rug', 0.34419134, u'brass', 0.094978146, u'window_screen', 0.033120722, u'fire_screen', 0.026371712]
[u'window_screen', 0.54505146, u'prayer_rug', 0.12502705, u'brass', 0.11629377, u'tray', 0.0480652, u'doormat', 0.041674033]
[u'prayer_rug', 1.0, u'wool', 2.0413461e-08, u'doormat', 2.7290801e-09, u'throne', 2.3168505e-10, u'vestment', 3.0413019e-11]
[u'prayer_rug', 0.99999297, u'doormat', 5.0963577e-06, u'wool', 1.1341696e-06, u'dishrag', 1.5599123e-07, u'wallet', 8.1333148e-08]
[u'prayer_rug', 0.99992073, u'doormat', 6.3428452e-05, u'jigsaw_puzzle', 4.4826961e-06, u'wool', 3.0126414e-06, u'tray', 1.8778752e-06]
[u'prayer_rug', 0.99999976, u'doormat', 8.2704382e-08, u'jigsaw_puzzle', 6.5418071e-08, u'wool', 5.1140706e-08, u'fire_screen', 1.6259412e-09]
[u'prayer_rug', 0.99998724, u'doormat', 1.1889345e-05, u'jigsaw_puzzle', 4.7982144e-07, u'wool', 2.6509707e-07, u'maze', 4.5058183e-08]
