[u'patio', 0.80782133, u'park_bench', 0.059771087, u'restaurant', 0.030857347, u'folding_chair', 0.022598594, u'lakeside', 0.010722386]
[u'folding_chair', 0.95066726, u'dining_table', 0.024742763, u'patio', 0.01754538, u'rocking_chair', 0.0012002446, u'solar_dish', 0.00095466059]
[u'patio', 0.88538998, u'restaurant', 0.05556548, u'dining_table', 0.0361045, u'folding_chair', 0.015313653, u'tub', 0.0008093142]
[u'patio', 0.84203994, u'rocking_chair', 0.074287333, u'restaurant', 0.027454119, u'park_bench', 0.0074319257, u'folding_chair', 0.007239494]
[u'swing', 0.51290727, u'patio', 0.23005801, u'chime', 0.060155641, u'carousel', 0.039095595, u'restaurant', 0.02061113]
[u'patio', 0.71649897, u'lakeside', 0.15702945, u'dock', 0.034494992, u'boathouse', 0.024273591, u'restaurant', 0.018614208]
[u'rocking_chair', 0.28080493, u'folding_chair', 0.14775932, u'patio', 0.088742256, u'park_bench', 0.048468512, u'shopping_cart', 0.034916107]
[u'patio', 0.60368907, u'folding_chair', 0.21347281, u'rocking_chair', 0.12207159, u'park_bench', 0.0098488508, u'dining_table', 0.0064983233]
[u'folding_chair', 0.55645561, u'patio', 0.38576952, u'dining_table', 0.01663086, u'solar_dish', 0.012149495, u'rocking_chair', 0.0046776552]
[u'patio', 0.57633424, u'folding_chair', 0.18528469, u'rocking_chair', 0.079379193, u'thatch', 0.028059812, u'shopping_cart', 0.025167434]
[u'folding_chair', 0.60226792, u'dining_table', 0.18927991, u'solar_dish', 0.098400086, u'patio', 0.035169177, u'marimba', 0.033214986]
[u'dining_table', 0.6067096, u'folding_chair', 0.19977264, u'lumbermill', 0.072442062, u'patio', 0.03998052, u'marimba', 0.024424667]
[u'patio', 0.87719291, u'shopping_cart', 0.060413852, u'park_bench', 0.019959401, u'rocking_chair', 0.01248657, u'folding_chair', 0.0052246074]
[u'sunscreen', 0.060564462, u'web_site', 0.057995241, u'envelope', 0.029534204, u'hand_blower', 0.027046984, u'can_opener', 0.022771684]
[u'organ', 0.21777008, u'dining_table', 0.17714006, u'marimba', 0.091648825, u'throne', 0.052791107, u'folding_chair', 0.048083812]
[u'patio', 0.94050473, u'lakeside', 0.013309732, u'restaurant', 0.0086794365, u'tub', 0.0085991304, u'folding_chair', 0.007695944]
[u'Band_Aid', 0.08338622, u'oil_filter', 0.066228509, u'nipple', 0.064816236, u'sunscreen', 0.059806518, u'ski', 0.031782001]
[u'patio', 0.5387156, u'folding_chair', 0.34984958, u'restaurant', 0.027194666, u'lakeside', 0.020816501, u'dining_table', 0.020586444]
[u'patio', 0.52852488, u'folding_chair', 0.43388247, u'dining_table', 0.0084423563, u'restaurant', 0.0051622544, u'marimba', 0.0045493264]
[u'patio', 0.88011783, u'dining_table', 0.027651869, u'yurt', 0.017691577, u'folding_chair', 0.011067764, u'restaurant', 0.0078308042]
[u'solar_dish', 0.18834651, u'boathouse', 0.17465247, u'lakeside', 0.099467956, u'patio', 0.08763162, u'folding_chair', 0.078923501]
[u'Band_Aid', 0.82985044, u'envelope', 0.026400346, u'nipple', 0.012651481, u'rubber_eraser', 0.0097990641, u'web_site', 0.0083293868]
[u'patio', 0.58776212, u'folding_chair', 0.35062587, u'park_bench', 0.012997671, u'rocking_chair', 0.01141646, u'marimba', 0.0093797715]
