[u'airship', 0.26995429, u'dome', 0.10246729, u'balloon', 0.081046633, u'mosque', 0.056667633, u'planetarium', 0.034982007]
[u'jigsaw_puzzle', 0.1295673, u'container_ship', 0.095532469, u'balloon', 0.04853899, u'dome', 0.023576288, u'wool', 0.018567553]
[u'pill_bottle', 0.12024599, u'container_ship', 0.086709023, u'shower_curtain', 0.056313351, u'honeycomb', 0.05531323, u'jigsaw_puzzle', 0.044058122]
[u'airship', 0.17028804, u'mosque', 0.099656008, u'balloon', 0.061898418, u'container_ship', 0.048165753, u'fireboat', 0.046402391]
[u'jigsaw_puzzle', 0.063985579, u'prayer_rug', 0.06381017, u'wool', 0.060787018, u'Christmas_stocking', 0.044795834, u'balloon', 0.035594441]
[u'container_ship', 0.077489935, u'jigsaw_puzzle', 0.069165818, u'scoreboard', 0.049759917, u'balloon', 0.03468401, u'prayer_rug', 0.017707672]
[u'water_bottle', 0.088647991, u'jigsaw_puzzle', 0.074674159, u'container_ship', 0.045058638, u'wool', 0.031901259, u'picket_fence', 0.0295929]
[u'jigsaw_puzzle', 0.1504456, u'container_ship', 0.062254839, u'airship', 0.056371976, u'palace', 0.047906969, u'scoreboard', 0.040685754]
[u'scoreboard', 0.34186077, u'container_ship', 0.10715918, u'jigsaw_puzzle', 0.045883261, u'prayer_rug', 0.035953309, u'shower_curtain', 0.026517702]
[u'container_ship', 0.11453353, u'pill_bottle', 0.059370693, u'scoreboard', 0.037022948, u'apiary', 0.032184981, u'golf_ball', 0.029158222]
[u'mosque', 0.084037185, u'jigsaw_puzzle', 0.054693609, u'balloon', 0.042016968, u'dome', 0.038888223, u'airship', 0.035699867]
[u'honeycomb', 0.04694375, u'jigsaw_puzzle', 0.043434821, u'apiary', 0.040835839, u'balloon', 0.030248279, u'prayer_rug', 0.021903308]
[u'solar_dish', 0.10403797, u'scoreboard', 0.10055017, u'container_ship', 0.089749776, u'jigsaw_puzzle', 0.039691675, u'picket_fence', 0.039255075]
[u'jigsaw_puzzle', 0.093138158, u'honeycomb', 0.047725588, u'dome', 0.044826772, u'maze', 0.027344832, u'pill_bottle', 0.025032999]
[u'container_ship', 0.14231426, u'prayer_rug', 0.10969143, u'jigsaw_puzzle', 0.083158232, u'wool', 0.07524056, u'stole', 0.048255485]
[u'airship', 0.20556322, u'mosque', 0.12470335, u'obelisk', 0.079110697, u'dome', 0.058911141, u'palace', 0.042389918]
[u'container_ship', 0.15037362, u'scoreboard', 0.11117852, u'balloon', 0.05027489, u'jigsaw_puzzle', 0.035321329, u'solar_dish', 0.028153583]
[u'jigsaw_puzzle', 0.10378833, u'shower_curtain', 0.051216066, u'honeycomb', 0.040347438, u'picket_fence', 0.035523899, u'doormat', 0.034561832]
[u'pill_bottle', 0.11045621, u'bottlecap', 0.073379353, u'honeycomb', 0.061659656, u'water_bottle', 0.057016071, u'beer_bottle', 0.036633212]
[u'cab', 0.12871554, u'obelisk', 0.067566179, u'traffic_light', 0.066433482, u'balloon', 0.063603885, u'airship', 0.046135798]
[u'doormat', 0.11588537, u'jigsaw_puzzle', 0.093355335, u'honeycomb', 0.052234299, u'shower_curtain', 0.048621994, u'window_screen', 0.037068043]
[u'jigsaw_puzzle', 0.18626331, u'container_ship', 0.071066871, u'maze', 0.064686723, u'apiary', 0.0431352, u'scoreboard', 0.026831446]
[u'jigsaw_puzzle', 0.1504456, u'container_ship', 0.062254839, u'airship', 0.056371976, u'palace', 0.047906969, u'scoreboard', 0.040685754]
[u'window_screen', 0.085744426, u'jigsaw_puzzle', 0.085249946, u'honeycomb', 0.04028165, u'shower_curtain', 0.036459092, u'prayer_rug', 0.03220395]
[u'jigsaw_puzzle', 0.24496992, u'honeycomb', 0.080596283, u'window_screen', 0.041903839, u'maze', 0.030856859, u'Windsor_tie', 0.020163074]
[u'jigsaw_puzzle', 0.12832026, u'container_ship', 0.089255154, u'balloon', 0.047719043, u'honeycomb', 0.042774703, u'solar_dish', 0.029489798]
[u'shower_curtain', 0.12762558, u'prayer_rug', 0.12742043, u'jigsaw_puzzle', 0.059857368, u'Windsor_tie', 0.034172606, u'scoreboard', 0.02923749]
[u'container_ship', 0.065166593, u'picket_fence', 0.059292149, u'jigsaw_puzzle', 0.055198465, u'shower_curtain', 0.040502273, u'water_bottle', 0.040365964]
[u'cab', 0.12871554, u'obelisk', 0.067566179, u'traffic_light', 0.066433482, u'balloon', 0.063603885, u'airship', 0.046135798]
[u'container_ship', 0.1954392, u'dome', 0.10457885, u'balloon', 0.086637169, u'stupa', 0.069951266, u'jigsaw_puzzle', 0.062969983]
[u'stone_wall', 0.34248191, u'valley', 0.13886672, u'barn', 0.061861616, u'rapeseed', 0.046911854, u'castle', 0.044019602]
[u'jigsaw_puzzle', 0.15449257, u'prayer_rug', 0.11391486, u'wool', 0.065269053, u'doormat', 0.047429483, u'maze', 0.032036707]
