[u'cliff', 0.2961151, u'volcano', 0.18387239, u'promontory', 0.1081981, u'lakeside', 0.066582739, u'thatch', 0.040702727]
[u'boathouse', 0.94785351, u'lakeside', 0.045302607, u'yurt', 0.0012282962, u'mobile_home', 0.001161336, u'canoe', 0.00077817013]
[u'lakeside', 0.19705823, u'canoe', 0.17174682, u'dam', 0.12009955, u'boathouse', 0.073722899, u'geyser', 0.063793942]
[u'boathouse', 0.97159427, u'lakeside', 0.021200854, u'mobile_home', 0.0025010949, u'dock', 0.0010956359, u'paddlewheel', 0.00073445012]
[u'stone_wall', 0.53217375, u'megalith', 0.30590084, u'maze', 0.035101399, u'lakeside', 0.027785968, u'greenhouse', 0.020801522]
[u'boathouse', 0.77105141, u'lakeside', 0.15042639, u'canoe', 0.013604824, u'paddle', 0.006011019, u'dock', 0.0053431531]
[u'puck', 0.59670502, u'bottlecap', 0.19830175, u'street_sign', 0.071320303, u'shield', 0.023464119, u'basketball', 0.016716581]
[u'boathouse', 0.85450405, u'lakeside', 0.11869752, u'mobile_home', 0.011209076, u'sandbar', 0.0018876554, u'barn', 0.0016880893]
[u'boathouse', 0.49173427, u'lakeside', 0.35704011, u'canoe', 0.019041929, u'dock', 0.013846364, u'paddle', 0.010309841]
[u'boathouse', 0.92516655, u'lakeside', 0.035256714, u'dock', 0.027673312, u'dam', 0.0013981238, u'mobile_home', 0.0011264838]
[u'boathouse', 0.95072544, u'lakeside', 0.016292946, u'barn', 0.011022614, u'sandbar', 0.0053510806, u'yurt', 0.0044519803]
[u'boathouse', 0.99423522, u'lakeside', 0.0046910583, u'canoe', 0.00031792014, u'barn', 0.00030941828, u'church', 0.00014673916]
[u'boathouse', 0.8787626, u'lakeside', 0.1089652, u'dock', 0.0039602094, u'canoe', 0.0038222393, u'paddle', 0.00081799488]
