[u"carpenter's_kit", 0.49015838, u'tray', 0.14661454, u'screwdriver', 0.11333838, u'syringe', 0.028865464, u'book_jacket', 0.022849601]
[u'cash_machine', 0.23425218, u'vending_machine', 0.029463671, u'radio', 0.028054783, u'slide_rule', 0.027164321, u'web_site', 0.025885459]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'matchstick', 0.055289056, u'spotlight', 0.029785562, u'wing', 0.019505028, u'jellyfish', 0.018895386, u'nematode', 0.018597919]
[u"carpenter's_kit", 0.76322025, u'screwdriver', 0.10878102, u'syringe', 0.017973904, u'matchstick', 0.011111865, u'tray', 0.010514554]
[u'web_site', 0.87322801, u'cash_machine', 0.017400246, u'monitor', 0.015992638, u'dishwasher', 0.011273198, u'envelope', 0.011029965]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'television', 0.5246346, u'screen', 0.20787421, u'monitor', 0.19227882, u'home_theater', 0.014299165, u'desktop_computer', 0.010473452]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'window_screen', 0.35021645, u'television', 0.22986272, u'monitor', 0.10822775, u'screen', 0.098358274, u'home_theater', 0.05846367]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u"carpenter's_kit", 0.45737526, u'screwdriver', 0.19218139, u'tray', 0.060969003, u'syringe', 0.038302608, u'matchstick', 0.029115949]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'dishwasher', 0.10162192, u'television', 0.071855411, u'monitor', 0.052783515, u'screen', 0.040469155, u'web_site', 0.029171018]
[u"carpenter's_kit", 0.26689845, u'screwdriver', 0.25760952, u'tray', 0.12931587, u'matchstick', 0.088585965, u'syringe', 0.054036062]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'crate', 0.12213675, u'book_jacket', 0.045005448, u'mailbox', 0.044148669, u'lighter', 0.038740072, u'brass', 0.035910141]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u'theater_curtain', 0.035809573, u'lipstick', 0.02128152, u'matchstick', 0.019981015, u'velvet', 0.019912411, u'lighter', 0.019109668]
[u"carpenter's_kit", 0.21309821, u'abacus', 0.19057056, u'tray', 0.17778824, u'screwdriver', 0.14101006, u'matchstick', 0.078511246]
[u"carpenter's_kit", 0.63352466, u'screwdriver', 0.26999003, u'syringe', 0.016364474, u'matchstick', 0.015062483, u'paintbrush', 0.010079745]
