[u'wig', 0.58464676, u'brassiere', 0.070177585, u'fur_coat', 0.059613664, u'maillot', 0.055629354, u'bikini', 0.055057175]
[u'wig', 0.99996781, u'wool', 1.3049907e-05, u'lorikeet', 7.9389592e-06, u'hair_spray', 2.6308028e-06, u'mask', 1.9332076e-06]
[u'wardrobe', 0.14314021, u'envelope', 0.085504517, u'lighter', 0.065470338, u'binder', 0.040481675, u'matchstick', 0.03712571]
[u'wig', 0.44960126, u'lipstick', 0.059300549, u'hair_spray', 0.037311789, u'brassiere', 0.036819704, u'hair_slide', 0.030836951]
[u'brassiere', 0.62998134, u'bikini', 0.15770938, u'maillot', 0.079412349, u'wig', 0.02742387, u'maillot', 0.01516671]
[u'jersey', 0.10292176, u'wig', 0.059048485, u'Band_Aid', 0.031872001, u'brassiere', 0.031508252, u'oboe', 0.026832465]
[u'wig', 0.19511224, u'sunscreen', 0.086591311, u'brassiere', 0.069620952, u'jersey', 0.062824242, u'maillot', 0.040313445]
[u'wig', 0.4877944, u'hair_spray', 0.12060018, u'brassiere', 0.070367873, u'lipstick', 0.040831387, u'hand_blower', 0.029311309]
[u'fur_coat', 0.2554872, u'wig', 0.068245865, u'feather_boa', 0.029385693, u'suit', 0.019026263, u'military_uniform', 0.016391438]
[u'wig', 0.90581143, u'hair_spray', 0.011678263, u'stole', 0.0091312127, u'hair_slide', 0.0081331562, u'suit', 0.0047352007]
[u'bikini', 0.39526346, u'brassiere', 0.19910838, u'maillot', 0.098047711, u'maillot', 0.049287032, u'lab_coat', 0.014243944]
[u'wig', 0.90193212, u'suit', 0.011333944, u'bow_tie', 0.0082263257, u'wool', 0.0053974572, u'face_powder', 0.0047241119]
[u'fur_coat', 0.4862974, u'wig', 0.11759882, u'tub', 0.078242429, u'bathtub', 0.047534343, u'brassiere', 0.045297887]
[u'lab_coat', 0.47373739, u'stethoscope', 0.082580142, u'bow_tie', 0.029541332, u'brassiere', 0.028314291, u'bikini', 0.020387484]
[u'bikini', 0.30901939, u'brassiere', 0.1996382, u'maillot', 0.077822454, u'wig', 0.070635103, u'lab_coat', 0.042498067]
[u'wig', 0.20840405, u'brassiere', 0.06563393, u'oboe', 0.053043433, u'maillot', 0.052414734, u'bikini', 0.045594268]
[u'wig', 0.44079798, u'brassiere', 0.034946941, u'bikini', 0.034146726, u'jersey', 0.024316411, u'fur_coat', 0.022342058]
[u'wig', 0.19880113, u'fur_coat', 0.17178915, u'stole', 0.096609659, u'cloak', 0.095806561, u'feather_boa', 0.079488114]
[u'wig', 0.21521454, u'bathtub', 0.085730813, u'brassiere', 0.085302532, u'tub', 0.060937043, u'lipstick', 0.039064758]
[u'wig', 0.55885226, u'fur_coat', 0.21255419, u'bikini', 0.014565114, u'maillot', 0.012015904, u'brassiere', 0.011251345]
[u'wig', 0.55477506, u'brassiere', 0.061284058, u'hair_spray', 0.046504665, u'fur_coat', 0.040620834, u'bikini', 0.032165609]
[u'wig', 0.75738704, u'fur_coat', 0.059480228, u'brassiere', 0.034439325, u'stole', 0.023338174, u'bikini', 0.017465038]
[u'maillot', 0.066652179, u'bikini', 0.063259333, u'brassiere', 0.059034709, u'wig', 0.047719009, u'jersey', 0.04208903]
[u'wig', 0.52829927, u'brassiere', 0.11018723, u'bikini', 0.10835475, u'fur_coat', 0.029494392, u'hair_spray', 0.025287533]
[u'wig', 0.90979958, u'stole', 0.011497434, u'fur_coat', 0.0080293659, u'brassiere', 0.0076866751, u'maillot', 0.0075219804]
[u'brassiere', 0.32733849, u'lab_coat', 0.092458442, u'bikini', 0.081283391, u'sunscreen', 0.047861438, u'maillot', 0.047527716]
[u'brassiere', 0.34123474, u'bikini', 0.21851772, u'maillot', 0.094281882, u'diaper', 0.042886779, u'wig', 0.033196419]
[u'wig', 0.15316869, u'brassiere', 0.13264231, u'bikini', 0.11039869, u'maillot', 0.093570203, u'jersey', 0.049656648]
[u'wig', 0.53733909, u'suit', 0.076562524, u'fur_coat', 0.032029804, u'stole', 0.026777335, u'oboe', 0.023291435]
[u'wig', 0.20560777, u'brassiere', 0.20452999, u'bikini', 0.14143133, u'maillot', 0.063964039, u'fur_coat', 0.038196001]
[u'bikini', 0.25230488, u'brassiere', 0.17370868, u'wig', 0.16056909, u'maillot', 0.066206746, u'maillot', 0.02004496]
[u'fur_coat', 0.40010077, u'brassiere', 0.15662733, u'wig', 0.13849707, u'bikini', 0.032317098, u'hand_blower', 0.018212086]
[u'wig', 0.9520821, u'lipstick', 0.029566236, u'fur_coat', 0.0022375807, u'hair_spray', 0.0019570577, u'perfume', 0.0013982272]
[u'wig', 0.66022027, u'mask', 0.15692213, u'abaya', 0.051966757, u'necklace', 0.034363393, u'bonnet', 0.030308761]
[u'bow_tie', 0.3005704, u'lab_coat', 0.060390811, u'wig', 0.059503887, u'Windsor_tie', 0.05414138, u'suit', 0.052767597]
[u'chime', 0.43608701, u'panpipe', 0.15842238, u'matchstick', 0.14799242, u'marimba', 0.055880491, u'lighter', 0.022340955]
[u'wig', 0.3114557, u'fur_coat', 0.11546358, u'hair_spray', 0.062644467, u'brassiere', 0.062579744, u'hair_slide', 0.021487491]
