[u'envelope', 0.21416017, u'wardrobe', 0.076358579, u'web_site', 0.040139258, u'washbasin', 0.022734649, u'pedestal', 0.013329865]
[u'envelope', 0.15503086, u'wardrobe', 0.045831099, u'web_site', 0.045132026, u'Band_Aid', 0.026070552, u'pedestal', 0.023195371]
[u'envelope', 0.11017011, u'web_site', 0.089285761, u'wardrobe', 0.030014731, u'Windsor_tie', 0.022846343, u'nematode', 0.020955307]
[u'digital_clock', 0.17190671, u'iPod', 0.15375195, u'buckle', 0.11887309, u'analog_clock', 0.094936267, u'wall_clock', 0.063721456]
[u'envelope', 0.1365328, u'web_site', 0.060947277, u'wardrobe', 0.04486654, u'pedestal', 0.029742062, u'washbasin', 0.021720406]
[u'envelope', 0.093585916, u'web_site', 0.083858319, u'wardrobe', 0.037923992, u'pedestal', 0.025306566, u'Windsor_tie', 0.022691041]
[u'book_jacket', 0.20237008, u'rotisserie', 0.13141204, u'window_screen', 0.10710727, u'window_shade', 0.052278284, u'screen', 0.04394827]
[u'envelope', 0.12272329, u'web_site', 0.051796682, u'wardrobe', 0.037451394, u'nematode', 0.015738832, u'washbasin', 0.015723282]
[u'envelope', 0.12983204, u'web_site', 0.049693588, u'wardrobe', 0.02779774, u'nematode', 0.01747201, u'Band_Aid', 0.014301768]
[u'envelope', 0.11878528, u'web_site', 0.090688244, u'wardrobe', 0.030874267, u'nematode', 0.023652624, u'Windsor_tie', 0.019504951]
[u'envelope', 0.10699766, u'web_site', 0.089825451, u'wardrobe', 0.028649531, u'Windsor_tie', 0.025897028, u'nematode', 0.019696442]
[u'envelope', 0.14126737, u'web_site', 0.054547187, u'wardrobe', 0.043009564, u'nematode', 0.018421138, u'washbasin', 0.017237319]
[u'envelope', 0.13607813, u'web_site', 0.09498354, u'wardrobe', 0.031386591, u'Windsor_tie', 0.02470902, u'nematode', 0.015669646]
[u'church', 0.31677181, u'castle', 0.31082475, u'bell_cote', 0.079719126, u'monastery', 0.071492285, u'picket_fence', 0.031851362]
[u'envelope', 0.080858387, u'web_site', 0.078476012, u'wardrobe', 0.037274167, u'pedestal', 0.02108012, u'nematode', 0.020970779]
[u'envelope', 0.10536501, u'web_site', 0.047028229, u'wardrobe', 0.026814666, u'nematode', 0.019588696, u'Band_Aid', 0.014971952]
