[u'oscilloscope', 0.222078, u'monitor', 0.16039641, u'screen', 0.14134389, u'web_site', 0.09799853, u'television', 0.037521634]
[u'window_shade', 0.17744192, u'oscilloscope', 0.070476897, u'measuring_cup', 0.058354367, u'fountain', 0.052961517, u'electric_fan', 0.045156192]
[u'street_sign', 0.35182029, u'scoreboard', 0.21026349, u'book_jacket', 0.16103405, u'digital_clock', 0.059797406, u'cash_machine', 0.021007016]
[u'fountain', 0.2998485, u'beaker', 0.1785665, u'measuring_cup', 0.0608912, u'oscilloscope', 0.050372567, u'turnstile', 0.026946809]
[u'digital_clock', 0.28211012, u'scoreboard', 0.2055672, u'street_sign', 0.067559138, u'cash_machine', 0.056284036, u'screen', 0.037050664]
[u'street_sign', 0.30201891, u'scoreboard', 0.18882331, u'digital_clock', 0.090967536, u'book_jacket', 0.054503046, u'rule', 0.054485738]
[u'digital_clock', 0.25323972, u'screen', 0.11073621, u'cash_machine', 0.10840368, u'scoreboard', 0.097719893, u'monitor', 0.058929179]
[u'scoreboard', 0.27956805, u'street_sign', 0.12772627, u'digital_clock', 0.11006069, u'web_site', 0.055022422, u'book_jacket', 0.049821712]
[u'scoreboard', 0.24774432, u'digital_clock', 0.13456728, u'street_sign', 0.10913716, u'web_site', 0.030955903, u'book_jacket', 0.02815761]
[u'digital_clock', 0.17101724, u'scoreboard', 0.16411355, u'street_sign', 0.13854094, u'book_jacket', 0.13522838, u'web_site', 0.047048204]
[u'web_site', 0.20020747, u'street_sign', 0.1980602, u'book_jacket', 0.073624156, u'scoreboard', 0.06513536, u'rule', 0.06381999]
[u'scoreboard', 0.39738002, u'street_sign', 0.25104785, u'digital_clock', 0.056074262, u'rule', 0.049723759, u'web_site', 0.030610293]
[u'digital_clock', 0.37105256, u'cash_machine', 0.12583607, u'scoreboard', 0.092602186, u'screen', 0.067954332, u'television', 0.056119457]
