[u'digital_watch', 0.54615903, u'digital_clock', 0.25538585, u'stopwatch', 0.10724152, u'wall_clock', 0.017649086, u'analog_clock', 0.010996265]
[u'tank', 0.59152079, u'half_track', 0.38942629, u'amphibian', 0.012913952, u'harvester', 0.00082034932, u'steam_locomotive', 0.00072034146]
[u'whistle', 0.14879954, u'screwdriver', 0.12402575, u'screw', 0.059703637, u'swab', 0.034304179, u'candle', 0.029157424]
[u'tank', 0.72948062, u'half_track', 0.25899145, u'amphibian', 0.010693199, u'cannon', 0.00039575726, u'projectile', 0.00015924919]
[u'traffic_light', 0.055466425, u'digital_clock', 0.054234847, u'screen', 0.04007623, u'wall_clock', 0.028893407, u'monitor', 0.027031209]
[u'tank', 0.95696807, u'half_track', 0.035318732, u'amphibian', 0.0049843108, u'cannon', 0.0021361152, u'projectile', 0.0002215303]
[u'tank', 0.83048189, u'amphibian', 0.1315814, u'half_track', 0.0332832, u'projectile', 0.0028732424, u'missile', 0.00084565056]
[u'tank', 0.84786195, u'half_track', 0.13720635, u'amphibian', 0.013423949, u'cannon', 0.00053619948, u'tractor', 0.00015228613]
[u"carpenter's_kit", 0.22576761, u'screwdriver', 0.14796208, u'packet', 0.054351803, u'pencil_box', 0.039702334, u'paintbrush', 0.033137225]
[u'tank', 0.84564275, u'amphibian', 0.11285789, u'half_track', 0.035953544, u'projectile', 0.0027856831, u'aircraft_carrier', 0.0013406425]
[u'half_track', 0.67689675, u'tank', 0.30286267, u'amphibian', 0.014426836, u'cannon', 0.0014521839, u'military_uniform', 0.001031446]
[u'bulletproof_vest', 0.13993597, u'half_track', 0.13861425, u'assault_rifle', 0.12268228, u'oxygen_mask', 0.088063307, u'rifle', 0.058937751]
[u'tank', 0.85071725, u'amphibian', 0.10585424, u'half_track', 0.029657487, u'projectile', 0.0041437875, u'missile', 0.0020436614]
