[u'mask', 0.13214533, u'oxygen_mask', 0.10073096, u'comic_book', 0.038435344, u'backpack', 0.030570606, u'breastplate', 0.029648675]
[u'digital_clock', 0.28295758, u'oscilloscope', 0.19434765, u'cash_machine', 0.13836636, u'monitor', 0.078730501, u'screen', 0.055359185]
[u'switch', 0.23649268, u'lighter', 0.074238546, u'perfume', 0.07122165, u'medicine_chest', 0.059509698, u'Band_Aid', 0.030391233]
[u'wall_clock', 0.086592458, u'switch', 0.069242425, u'envelope', 0.045454592, u'web_site', 0.044662654, u'digital_clock', 0.02367577]
[u'medicine_chest', 0.37887484, u'perfume', 0.05856717, u'bookcase', 0.047862921, u'switch', 0.030497745, u'web_site', 0.028578768]
[u'wall_clock', 0.062483143, u'switch', 0.058277003, u'web_site', 0.056494378, u'digital_clock', 0.039060924, u'envelope', 0.037533261]
[u'wall_clock', 0.048601378, u'switch', 0.045777474, u'web_site', 0.040272251, u'bookcase', 0.029558823, u'crossword_puzzle', 0.025768425]
[u'envelope', 0.34138864, u'maze', 0.14867344, u'digital_clock', 0.061411846, u'tray', 0.05262119, u'monitor', 0.037007887]
[u'digital_clock', 0.4142653, u'oscilloscope', 0.080826946, u'screen', 0.057302367, u'cash_machine', 0.046580542, u'monitor', 0.045023598]
[u'wall_clock', 0.10500839, u'envelope', 0.050389875, u'switch', 0.049575239, u'digital_clock', 0.048355479, u'lighter', 0.036785174]
[u'digital_clock', 0.20733035, u'cash_machine', 0.097240113, u'monitor', 0.095008016, u'oscilloscope', 0.07533855, u'screen', 0.040479768]
[u'medicine_chest', 0.26653484, u'switch', 0.12195396, u'perfume', 0.10842337, u'lotion', 0.023710903, u'hair_spray', 0.019750899]
[u'digital_clock', 0.31845307, u'oscilloscope', 0.18663438, u'monitor', 0.080028258, u'cash_machine', 0.065729827, u'screen', 0.053388331]
[u'medicine_chest', 0.24673165, u'bookcase', 0.16245076, u'web_site', 0.048593376, u'perfume', 0.030309493, u'tobacco_shop', 0.029270392]
[u'digital_clock', 0.23240295, u'oscilloscope', 0.13478817, u'cash_machine', 0.11072927, u'monitor', 0.096776076, u'screen', 0.052419908]
[u'wall_clock', 0.11244449, u'switch', 0.045214832, u'tripod', 0.040979996, u'lighter', 0.028567467, u'digital_clock', 0.024819916]
[u'wall_clock', 0.06205523, u'switch', 0.051688336, u'washbasin', 0.029130531, u'picket_fence', 0.027761512, u'shower_curtain', 0.026774362]
