[u'digital_clock', 0.3957116, u'envelope', 0.091716073, u'web_site', 0.054621059, u'wall_clock', 0.044643592, u'container_ship', 0.035766117]
[u'web_site', 0.48963499, u'digital_clock', 0.24238944, u'envelope', 0.096632272, u'analog_clock', 0.016450578, u'wall_clock', 0.0090660863]
[u'envelope', 0.24559176, u'web_site', 0.19395722, u'digital_clock', 0.061185874, u'rule', 0.025095515, u'wall_clock', 0.022114286]
[u'envelope', 0.32069403, u'web_site', 0.12030879, u'digital_clock', 0.10489157, u'wall_clock', 0.040213838, u'washbasin', 0.027283268]
[u'digital_clock', 0.28623918, u'envelope', 0.20647179, u'web_site', 0.068862431, u'maze', 0.02301822, u'container_ship', 0.021746241]
[u'digital_clock', 0.61097634, u'envelope', 0.074499398, u'crossword_puzzle', 0.06206182, u'web_site', 0.031613681, u'wall_clock', 0.021911664]
[u'digital_clock', 0.61496431, u'envelope', 0.11515981, u'web_site', 0.027580848, u'crossword_puzzle', 0.026038297, u'Band_Aid', 0.024530891]
[u'envelope', 0.23207892, u'digital_clock', 0.088841073, u'Band_Aid', 0.058703288, u'Windsor_tie', 0.046445273, u'maze', 0.031172071]
[u'digital_clock', 0.21144602, u'envelope', 0.13093364, u'web_site', 0.082092062, u'wall_clock', 0.054664172, u'rule', 0.043499421]
[u'envelope', 0.46580693, u'digital_clock', 0.18137114, u'web_site', 0.14557855, u'book_jacket', 0.016750677, u'rule', 0.01611626]
[u'envelope', 0.3779498, u'web_site', 0.23460655, u'digital_clock', 0.057958961, u'rapeseed', 0.030455317, u'rule', 0.023356091]
[u'digital_clock', 0.19588926, u'envelope', 0.15448205, u'maze', 0.060943313, u'prayer_rug', 0.048682723, u'book_jacket', 0.038259279]
[u'envelope', 0.21090296, u'digital_clock', 0.068319194, u'wall_clock', 0.040461924, u'crossword_puzzle', 0.038053151, u'web_site', 0.026565049]
[u'envelope', 0.55245334, u'wall_clock', 0.055350512, u'digital_clock', 0.051802132, u'web_site', 0.047547985, u'Band_Aid', 0.015368751]
[u'digital_clock', 0.32620904, u'envelope', 0.18607208, u'web_site', 0.068890087, u'wall_clock', 0.042499226, u'crossword_puzzle', 0.026214156]
[u'Band_Aid', 0.1516837, u'envelope', 0.12248416, u'digital_clock', 0.075396322, u'crossword_puzzle', 0.036322456, u'digital_watch', 0.030646298]
[u'envelope', 0.37458959, u'web_site', 0.11015167, u'digital_clock', 0.057909194, u'rule', 0.040324517, u'wall_clock', 0.03599352]
[u'envelope', 0.64979005, u'digital_clock', 0.065091297, u'web_site', 0.052389137, u'wall_clock', 0.014127656, u'rule', 0.0083229532]
[u'envelope', 0.3177956, u'digital_clock', 0.17348181, u'wall_clock', 0.036619846, u'maze', 0.023455136, u'velvet', 0.022089604]
[u'envelope', 0.43464991, u'web_site', 0.14351021, u'digital_clock', 0.054323647, u'wall_clock', 0.021307781, u'rule', 0.01936092]
[u'web_site', 0.19478975, u'envelope', 0.18374594, u'digital_clock', 0.12492429, u'rule', 0.039638605, u'wall_clock', 0.035608377]
[u'digital_clock', 0.4343158, u'envelope', 0.096326157, u'maze', 0.061368115, u'wall_clock', 0.043025404, u'book_jacket', 0.023581192]
[u'envelope', 0.44987458, u'web_site', 0.13635677, u'digital_clock', 0.021172315, u'wall_clock', 0.019224728, u'rule', 0.016593492]
[u'digital_clock', 0.29369909, u'envelope', 0.11087116, u'web_site', 0.086146265, u'wall_clock', 0.037030436, u'rule', 0.029878443]
[u'digital_clock', 0.67517304, u'digital_watch', 0.029949995, u'web_site', 0.029262397, u'crossword_puzzle', 0.021282401, u'Band_Aid', 0.016649138]
[u'web_site', 0.47495684, u'digital_clock', 0.10131808, u'envelope', 0.069402553, u'oscilloscope', 0.037650391, u'rule', 0.014875148]
[u'envelope', 0.25200865, u'web_site', 0.17671062, u'digital_clock', 0.13727447, u'wall_clock', 0.079074055, u'Band_Aid', 0.031641673]
[u'envelope', 0.49869758, u'web_site', 0.069599226, u'wall_clock', 0.054600675, u'digital_clock', 0.017226515, u'Windsor_tie', 0.013905761]
[u'envelope', 0.60200649, u'wall_clock', 0.032297861, u'Windsor_tie', 0.023595223, u'web_site', 0.021053702, u'Band_Aid', 0.018272759]
