[u'digital_watch', 0.3061761, u'Windsor_tie', 0.11992732, u'wool', 0.048550144, u'wall_clock', 0.0392568, u'digital_clock', 0.037818033]
[u'container_ship', 0.061920229, u'digital_clock', 0.044674858, u'envelope', 0.024236299, u'quilt', 0.014932167, u'dining_table', 0.014646171]
[u'Windsor_tie', 0.11131465, u'quilt', 0.075275995, u'digital_watch', 0.069730379, u'digital_clock', 0.062774941, u'container_ship', 0.058035489]
[u'digital_watch', 0.11486159, u'digital_clock', 0.099997342, u'Windsor_tie', 0.035396412, u'container_ship', 0.028972648, u'envelope', 0.023809908]
[u'digital_watch', 0.17376043, u'Windsor_tie', 0.1353571, u'digital_clock', 0.044515111, u'handkerchief', 0.037297875, u'wool', 0.032573245]
[u'Windsor_tie', 0.24716893, u'digital_clock', 0.22220957, u'digital_watch', 0.12663861, u'container_ship', 0.049417805, u'quilt', 0.035714272]
[u'Windsor_tie', 0.23358385, u'digital_clock', 0.19885561, u'container_ship', 0.14118616, u'digital_watch', 0.098172061, u'quilt', 0.05116497]
[u'digital_watch', 0.48622209, u'digital_clock', 0.27170947, u'wall_clock', 0.037464324, u'wool', 0.016157918, u'stopwatch', 0.015062012]
[u'Windsor_tie', 0.059084091, u'wall_clock', 0.058987256, u'digital_watch', 0.030060368, u'panpipe', 0.02853558, u'toilet_seat', 0.020838866]
[u'nail', 0.2056859, u'rule', 0.14156424, u'screw', 0.050325043, u'hook', 0.037586741, u'cleaver', 0.031718154]
[u'digital_clock', 0.26254031, u'digital_watch', 0.20022905, u'Windsor_tie', 0.11203337, u'container_ship', 0.048792992, u'quilt', 0.038881879]
[u'digital_watch', 0.10244808, u'digital_clock', 0.079468116, u'Windsor_tie', 0.061852098, u'container_ship', 0.037333921, u'envelope', 0.035780065]
[u'Windsor_tie', 0.20984936, u'quilt', 0.099067129, u'digital_clock', 0.09826722, u'container_ship', 0.080044851, u'digital_watch', 0.075241588]
[u'wool', 0.1389779, u'digital_watch', 0.11333876, u'wall_clock', 0.078385189, u'digital_clock', 0.059057772, u'stole', 0.032278448]
[u'container_ship', 0.15460233, u'digital_clock', 0.12850408, u'digital_watch', 0.07616923, u'matchstick', 0.042413067, u'whistle', 0.037252977]
[u'digital_watch', 0.12462431, u'Windsor_tie', 0.11266425, u'wool', 0.088713184, u'container_ship', 0.035714012, u'wall_clock', 0.033470027]
[u'Windsor_tie', 0.1787321, u'container_ship', 0.11472022, u'digital_watch', 0.063219503, u'digital_clock', 0.052627407, u'handkerchief', 0.05016594]
[u'digital_clock', 0.33499414, u'digital_watch', 0.25126943, u'Windsor_tie', 0.049717512, u'magnetic_compass', 0.028203296, u'handkerchief', 0.024448162]
[u'digital_clock', 0.20508315, u'Windsor_tie', 0.18082687, u'digital_watch', 0.12284242, u'quilt', 0.072220564, u'container_ship', 0.061056577]
[u'wool', 0.083599627, u'panpipe', 0.079192325, u'handkerchief', 0.03909453, u'Windsor_tie', 0.037011698, u'wall_clock', 0.033505004]
[u'digital_clock', 0.26255077, u'digital_watch', 0.15939946, u'container_ship', 0.044019073, u'magnetic_compass', 0.035730317, u'whistle', 0.028484914]
[u'crossword_puzzle', 0.43460408, u'digital_clock', 0.044053376, u'digital_watch', 0.042041562, u'Windsor_tie', 0.041474678, u'doormat', 0.035918839]
[u'Windsor_tie', 0.42412001, u'digital_watch', 0.19487846, u'wool', 0.040971272, u'digital_clock', 0.039769404, u'wall_clock', 0.020829482]
[u'digital_clock', 0.25889683, u'digital_watch', 0.25515246, u'oscilloscope', 0.10120336, u'wall_clock', 0.027446402, u'magnetic_compass', 0.026265079]
[u'digital_clock', 0.28862345, u'wall_clock', 0.077547491, u'digital_watch', 0.070330508, u'prayer_rug', 0.060470384, u'handkerchief', 0.052018799]
[u'prayer_rug', 0.074961685, u'wall_clock', 0.074209698, u'handkerchief', 0.073917389, u'velvet', 0.059067737, u'Windsor_tie', 0.059013322]
[u'digital_watch', 0.14723887, u'digital_clock', 0.11531507, u'wall_clock', 0.064253546, u'container_ship', 0.049650889, u'wool', 0.035206158]
[u'envelope', 0.08480332, u'carton', 0.04241284, u'handkerchief', 0.042281792, u'Windsor_tie', 0.042173341, u'digital_clock', 0.034464646]
[u'digital_clock', 0.59771675, u'digital_watch', 0.12698083, u'wall_clock', 0.033125103, u'oscilloscope', 0.026150838, u'screen', 0.01601409]
[u'digital_clock', 0.3907524, u'digital_watch', 0.10809396, u'wall_clock', 0.078789905, u'screen', 0.070739724, u'handkerchief', 0.028960843]
[u'digital_clock', 0.1551615, u'Windsor_tie', 0.078300744, u'handkerchief', 0.074627608, u'screen', 0.0708827, u'digital_watch', 0.06567464]
[u'Windsor_tie', 0.076433033, u'digital_clock', 0.074405968, u'envelope', 0.06034714, u'wool', 0.05228829, u'prayer_rug', 0.044751849]
[u'digital_clock', 0.34821221, u'digital_watch', 0.1498991, u'Windsor_tie', 0.12602296, u'container_ship', 0.056688491, u'crossword_puzzle', 0.032180019]
[u'digital_clock', 0.56375313, u'digital_watch', 0.40117046, u'wall_clock', 0.013503989, u'stopwatch', 0.0032859258, u'maze', 0.0016933209]
[u'digital_watch', 0.44735292, u'digital_clock', 0.22431442, u'Windsor_tie', 0.081925273, u'wall_clock', 0.026783384, u'stopwatch', 0.016773807]
[u'digital_watch', 0.21256752, u'Windsor_tie', 0.087378621, u'digital_clock', 0.052202538, u'wall_clock', 0.033549182, u'prayer_rug', 0.025521643]
[u'handkerchief', 0.10863645, u'envelope', 0.060676306, u'maze', 0.048693933, u'digital_clock', 0.045171998, u'pedestal', 0.036818683]
[u'digital_clock', 0.61629736, u'digital_watch', 0.12298225, u'oscilloscope', 0.03965959, u'screen', 0.037498023, u'wall_clock', 0.035798784]
[u'digital_clock', 0.22463061, u'digital_watch', 0.13750362, u'Windsor_tie', 0.096978709, u'container_ship', 0.065512717, u'envelope', 0.033023633]
[u'Windsor_tie', 0.13434099, u'digital_watch', 0.13170911, u'digital_clock', 0.10437845, u'wool', 0.029722136, u'whistle', 0.025765184]
[u'digital_watch', 0.3153477, u'digital_clock', 0.18039878, u'Windsor_tie', 0.077579819, u'wall_clock', 0.038111832, u'handkerchief', 0.033967134]
[u'handkerchief', 0.1750686, u'scale', 0.14741565, u'envelope', 0.08579912, u'whistle', 0.043492243, u'oscilloscope', 0.042545423]
[u'digital_clock', 0.29198128, u'digital_watch', 0.16225816, u'wool', 0.064310446, u'wall_clock', 0.041002348, u'container_ship', 0.031535376]
[u'digital_watch', 0.28406787, u'digital_clock', 0.15014762, u'Windsor_tie', 0.12775613, u'prayer_rug', 0.042245112, u'handkerchief', 0.033191059]
[u'digital_watch', 0.26599032, u'digital_clock', 0.23003063, u'Windsor_tie', 0.058504391, u'container_ship', 0.04889442, u'handkerchief', 0.047868896]
[u'Windsor_tie', 0.14160413, u'quilt', 0.12916771, u'digital_watch', 0.1240899, u'container_ship', 0.081213258, u'digital_clock', 0.063610651]
[u'digital_clock', 0.52602297, u'digital_watch', 0.12890415, u'wall_clock', 0.045770232, u'screen', 0.028204678, u'Windsor_tie', 0.018998092]
[u'digital_watch', 0.31751093, u'digital_clock', 0.18196501, u'oscilloscope', 0.10275573, u'Windsor_tie', 0.065102585, u'handkerchief', 0.029910911]
[u'Windsor_tie', 0.33585396, u'digital_watch', 0.12721868, u'wool', 0.12246443, u'crossword_puzzle', 0.03967002, u'shield', 0.030586632]
[u'digital_watch', 0.14451818, u'wool', 0.11477249, u'Windsor_tie', 0.10881488, u'digital_clock', 0.081773214, u'handkerchief', 0.045674965]
[u'digital_watch', 0.28867999, u'digital_clock', 0.2219152, u'Windsor_tie', 0.11382312, u'wall_clock', 0.032378897, u'handkerchief', 0.031536434]
[u'digital_watch', 0.25395915, u'digital_clock', 0.10399869, u'Windsor_tie', 0.076833375, u'wall_clock', 0.064077027, u'wool', 0.044654459]
[u'digital_watch', 0.28499237, u'Windsor_tie', 0.14318131, u'digital_clock', 0.10353425, u'handkerchief', 0.049564242, u'wool', 0.042677552]
[u'crossword_puzzle', 0.69183505, u'Windsor_tie', 0.035410248, u'digital_watch', 0.032892939, u'quilt', 0.019760348, u'digital_clock', 0.017146073]
