[u'lotion', 0.16690621, u'pill_bottle', 0.15181093, u'water_bottle', 0.10290474, u'beer_bottle', 0.097440057, u'whiskey_jug', 0.078154363]
[u'book_jacket', 0.10024075, u'Band_Aid', 0.084788278, u'street_sign', 0.077797011, u'comic_book', 0.049501602, u'web_site', 0.047150847]
[u'beer_bottle', 0.47625494, u'water_bottle', 0.2955789, u'pop_bottle', 0.1605258, u'nipple', 0.027960347, u'pill_bottle', 0.020204797]
[u'beer_bottle', 0.97054505, u'pop_bottle', 0.015735647, u'whiskey_jug', 0.0071478919, u'eggnog', 0.0018779809, u'water_bottle', 0.0012820145]
[u'water_bottle', 0.75883663, u'pill_bottle', 0.09682098, u'soap_dispenser', 0.05427634, u'cocktail_shaker', 0.024363168, u'lotion', 0.022523353]
[u'envelope', 0.56295931, u'web_site', 0.074719742, u'binder', 0.019750444, u'Band_Aid', 0.0081993481, u'wall_clock', 0.0075294995]
[u'binder', 0.19977231, u'envelope', 0.04065685, u'wallet', 0.037116863, u'purse', 0.033523176, u'paper_towel', 0.031819694]
[u'punching_bag', 0.19731891, u'bell_cote', 0.14950699, u'lampshade', 0.075862966, u'spotlight', 0.053251117, u'chime', 0.042500295]
[u'pill_bottle', 0.88811046, u'water_bottle', 0.058747865, u'lotion', 0.030961433, u'soap_dispenser', 0.0082307803, u'perfume', 0.0040652789]
[u'pill_bottle', 0.36163262, u'lotion', 0.20839684, u'perfume', 0.17264616, u'whiskey_jug', 0.15477347, u'soap_dispenser', 0.024312451]
[u'binder', 0.089976482, u'envelope', 0.051249139, u'lighter', 0.029820137, u'notebook', 0.021228263, u'wallet', 0.019227723]
[u'cleaver', 0.019505175, u'envelope', 0.014030516, u'hatchet', 0.012793035, u'letter_opener', 0.011917172, u'corkscrew', 0.01188547]
[u'envelope', 0.23148906, u'web_site', 0.11863621, u'binder', 0.022784919, u'notebook', 0.010747738, u'file', 0.010394257]
