[u'bikini', 0.3087869, u'maillot', 0.20606574, u'brassiere', 0.14719455, u'maillot', 0.13681704, u'miniskirt', 0.074459665]
[u'bikini', 0.16048744, u'maillot', 0.14403518, u'maillot', 0.098453701, u'sarong', 0.091278315, u'brassiere', 0.051027175]
[u'jean', 0.89825958, u'miniskirt', 0.012352241, u'cowboy_boot', 0.0060640066, u'wig', 0.0049075028, u'jersey', 0.0040534418]
[u'bikini', 0.55250961, u'brassiere', 0.35638902, u'maillot', 0.05511342, u'sarong', 0.016843064, u'gown', 0.0066762613]
[u'maillot', 0.27762514, u'bikini', 0.14036576, u'gown', 0.10911074, u'brassiere', 0.074796505, u'maillot', 0.058006886]
[u'maillot', 0.31756261, u'brassiere', 0.17298658, u'maillot', 0.16665064, u'bikini', 0.14646234, u'miniskirt', 0.08189594]
[u'bikini', 0.42783242, u'maillot', 0.14030527, u'sarong', 0.086183406, u'brassiere', 0.051558007, u'miniskirt', 0.031766847]
[u'sarong', 0.25996321, u'sleeping_bag', 0.089802332, u'maillot', 0.068744533, u'maillot', 0.0555996, u'pajama', 0.049318258]
[u'brassiere', 0.087557502, u'maillot', 0.082150243, u'gown', 0.078016266, u'miniskirt', 0.057354815, u'bikini', 0.040255558]
[u'bikini', 0.34698188, u'sarong', 0.32700485, u'maillot', 0.16872014, u'maillot', 0.069608152, u'seashore', 0.024222465]
[u'stage', 0.20009571, u'miniskirt', 0.0905293, u'cellular_telephone', 0.064670242, u'dumbbell', 0.0612875, u'barbell', 0.051524837]
[u'bikini', 0.45721656, u'brassiere', 0.1709584, u'maillot', 0.14956331, u'sarong', 0.12908357, u'maillot', 0.019436566]
[u'maillot', 0.31754491, u'maillot', 0.30962035, u'miniskirt', 0.16480786, u'brassiere', 0.049593139, u'dumbbell', 0.021967277]
[u'maillot', 0.25375792, u'brassiere', 0.15843233, u'bikini', 0.13008747, u'miniskirt', 0.11611228, u'maillot', 0.081323005]
[u'maillot', 0.20651175, u'gown', 0.17647755, u'bikini', 0.13680571, u'maillot', 0.12023241, u'sarong', 0.11961938]
[u'bikini', 0.34468618, u'maillot', 0.20303658, u'brassiere', 0.16512173, u'maillot', 0.071391247, u'gown', 0.064209707]
[u'miniskirt', 0.18577541, u'bikini', 0.14132738, u'maillot', 0.088698544, u'sarong', 0.076525114, u'brassiere', 0.066561133]
[u'maillot', 0.41474822, u'bikini', 0.24983874, u'maillot', 0.18278593, u'brassiere', 0.10071781, u'miniskirt', 0.023778167]
[u'bikini', 0.2746802, u'maillot', 0.14287533, u'maillot', 0.092329979, u'miniskirt', 0.072708458, u'tub', 0.070618086]
[u'comic_book', 0.20388536, u'mountain_bike', 0.16268185, u'maillot', 0.16037934, u'bikini', 0.033240706, u'unicycle', 0.03312242]
[u'maillot', 0.28768387, u'stage', 0.28563815, u'miniskirt', 0.052499358, u'throne', 0.045619607, u'balance_beam', 0.038548671]
[u'brassiere', 0.74381804, u'maillot', 0.065567978, u'tub', 0.046833944, u'miniskirt', 0.035427716, u'bathtub', 0.027351625]
[u'comic_book', 0.30195063, u'book_jacket', 0.21588618, u'wig', 0.16318277, u'feather_boa', 0.047469828, u'sarong', 0.047449104]
[u'hair_spray', 0.10914767, u'fur_coat', 0.096210703, u'miniskirt', 0.033667911, u'groom', 0.029636538, u'gown', 0.02793077]
[u'brassiere', 0.81843501, u'bikini', 0.11736041, u'maillot', 0.053038914, u'maillot', 0.0055340645, u'tub', 0.0013913652]
[u'bikini', 0.41420782, u'maillot', 0.32662332, u'brassiere', 0.090589285, u'maillot', 0.064396836, u'sarong', 0.036904141]
[u'bikini', 0.45590359, u'volleyball', 0.33544648, u'maillot', 0.11720046, u'brassiere', 0.042355683, u'maillot', 0.01007299]
[u'miniskirt', 0.91562569, u'sandal', 0.018900599, u'maillot', 0.017179593, u'brassiere', 0.00952111, u'knee_pad', 0.0045597255]
[u'miniskirt', 0.25703844, u'maillot', 0.17565967, u'gown', 0.1534311, u'maillot', 0.10447837, u'jean', 0.077745534]
[u'maillot', 0.41296273, u'bikini', 0.33490616, u'maillot', 0.17809953, u'brassiere', 0.048174102, u'miniskirt', 0.0057728295]
[u'brassiere', 0.32358298, u'maillot', 0.21058355, u'miniskirt', 0.13641937, u'gown', 0.069269128, u'maillot', 0.037594333]
[u'bikini', 0.26546595, u'sarong', 0.074781768, u'panpipe', 0.059317883, u'flute', 0.055126529, u'maillot', 0.033583235]
[u'maillot', 0.22875114, u'maillot', 0.19751897, u'bow', 0.078599997, u'toilet_seat', 0.058250401, u'bikini', 0.032723054]
[u'gown', 0.24247514, u'maillot', 0.15363877, u'maillot', 0.13147913, u'overskirt', 0.080547608, u'miniskirt', 0.054705836]
[u'bikini', 0.74427623, u'maillot', 0.16171309, u'sarong', 0.033583153, u'maillot', 0.032765146, u'brassiere', 0.012912574]
[u'bikini', 0.41578537, u'maillot', 0.28594503, u'sarong', 0.10003489, u'maillot', 0.087019473, u'brassiere', 0.035268188]
[u'bikini', 0.42442766, u'maillot', 0.26694846, u'brassiere', 0.098061472, u'maillot', 0.040740293, u'miniskirt', 0.017578762]
[u'tub', 0.28260267, u'maillot', 0.26460227, u'bathtub', 0.17915347, u'maillot', 0.17163947, u'bikini', 0.063754857]
[u'bikini', 0.74356025, u'maillot', 0.19119386, u'maillot', 0.041849941, u'brassiere', 0.017455904, u'sarong', 0.005144198]
[u'wig', 0.056052361, u'gown', 0.053902946, u'pajama', 0.048039667, u'feather_boa', 0.041239116, u'plunger', 0.034491815]
[u'pole', 0.17430979, u'bikini', 0.16156158, u'brassiere', 0.10908964, u'maillot', 0.081251048, u'miniskirt', 0.049925212]
[u'web_site', 0.2860128, u'brassiere', 0.24256004, u'bikini', 0.18977611, u'swimming_trunks', 0.076777235, u'maillot', 0.047789104]
[u'maillot', 0.42873102, u'maillot', 0.30909741, u'brassiere', 0.068734735, u'gown', 0.064035632, u'miniskirt', 0.063965812]
[u'bikini', 0.11309674, u'maillot', 0.11143561, u'sunglass', 0.10872322, u'maillot', 0.10182178, u'miniskirt', 0.09064278]
[u'bikini', 0.46211508, u'maillot', 0.23576209, u'brassiere', 0.21240847, u'maillot', 0.064411491, u'sarong', 0.011619089]
[u'throne', 0.69450021, u'altar', 0.18926884, u'carousel', 0.038309731, u'four-poster', 0.025013538, u'organ', 0.011293748]
[u'gown', 0.4586395, u'maillot', 0.14215036, u'bikini', 0.1223178, u'sarong', 0.095502429, u'maillot', 0.087707356]
[u'gown', 0.44549996, u'maillot', 0.16553317, u'maillot', 0.13358398, u'miniskirt', 0.052715942, u'jean', 0.039402407]
[u'miniskirt', 0.40550339, u'maillot', 0.16783646, u'maillot', 0.052062821, u'cowboy_boot', 0.047233343, u'bikini', 0.04395026]
[u'miniskirt', 0.1807311, u'wardrobe', 0.034161706, u'jersey', 0.024561197, u'neck_brace', 0.021773353, u'shower_cap', 0.016661666]
[u'vizsla', 0.24596082, u'Rhodesian_ridgeback', 0.10096773, u'bikini', 0.095878728, u'bloodhound', 0.069008358, u'volleyball', 0.055345062]
[u'bikini', 0.41103563, u'maillot', 0.20062408, u'maillot', 0.17063774, u'brassiere', 0.16084616, u'web_site', 0.014560628]
[u'bikini', 0.20516525, u'miniskirt', 0.1819042, u'maillot', 0.10159865, u'gown', 0.084478751, u'maillot', 0.049831983]
[u'web_site', 0.53443533, u'brassiere', 0.09864521, u'bikini', 0.052167963, u'maillot', 0.048894573, u'hair_spray', 0.034532748]
[u'brassiere', 0.30173266, u'maillot', 0.25103322, u'miniskirt', 0.15656641, u'bow_tie', 0.083749071, u'maillot', 0.057863537]
[u'brassiere', 0.63430589, u'bikini', 0.25729883, u'maillot', 0.060643785, u'maillot', 0.0079926103, u'miniskirt', 0.0066526816]
[u'bikini', 0.53673398, u'maillot', 0.20444526, u'brassiere', 0.09763816, u'maillot', 0.077549994, u'sarong', 0.04372729]
[u'maillot', 0.31069884, u'brassiere', 0.24175453, u'bikini', 0.17667212, u'maillot', 0.037664521, u'sarong', 0.024591841]
