[u'miniskirt', 0.26439115, u'maillot', 0.10644406, u'brassiere', 0.07957153, u'maillot', 0.042811338, u'tub', 0.033902619]
[u'swimming_trunks', 0.1719429, u'bikini', 0.16298179, u'maillot', 0.089503475, u'miniskirt', 0.082147188, u'sarong', 0.051152125]
[u'miniskirt', 0.39705166, u'sarong', 0.10364313, u'brassiere', 0.061753832, u'maillot', 0.037848439, u'swimming_trunks', 0.032776542]
[u'maillot', 0.22383668, u'swimming_trunks', 0.093413092, u'bikini', 0.058905125, u'diaper', 0.047004279, u'dumbbell', 0.045402899]
[u'tub', 0.3727324, u'bathtub', 0.3111704, u'brassiere', 0.091325454, u'maillot', 0.049393173, u'bikini', 0.043655675]
[u'tub', 0.47825882, u'bathtub', 0.44571483, u'maillot', 0.020112282, u'brassiere', 0.012954098, u'bikini', 0.0084872767]
[u'bathtub', 0.34577674, u'tub', 0.21654586, u'Band_Aid', 0.048640624, u'diaper', 0.044942535, u'lotion', 0.027895518]
[u'brassiere', 0.3754566, u'bikini', 0.24506567, u'maillot', 0.13197602, u'miniskirt', 0.020885831, u'maillot', 0.013159733]
[u'bikini', 0.11309227, u'maillot', 0.10834722, u'bathtub', 0.078442395, u'bath_towel', 0.075397424, u'brassiere', 0.072932951]
[u'miniskirt', 0.22737235, u'maillot', 0.11411116, u'bathtub', 0.099952616, u'tub', 0.097979821, u'brassiere', 0.047886588]
[u'maillot', 0.35660735, u'bikini', 0.28262043, u'brassiere', 0.16895585, u'maillot', 0.072557248, u'miniskirt', 0.038920783]
[u'maillot', 0.25575602, u'bikini', 0.13538367, u'brassiere', 0.124304, u'bathtub', 0.11165047, u'tub', 0.090178683]
[u'breastplate', 0.10655567, u'comic_book', 0.094165079, u'brassiere', 0.079289086, u'electric_guitar', 0.076112151, u'book_jacket', 0.069593377]
[u'tub', 0.22124615, u'miniskirt', 0.13559467, u'bathtub', 0.067168728, u'maillot', 0.064844616, u'maillot', 0.047922134]
[u'maillot', 0.85692406, u'miniskirt', 0.087402329, u'maillot', 0.036137905, u'gown', 0.0054767453, u'hand_blower', 0.0037012231]
[u'maillot', 0.50232774, u'bikini', 0.28556445, u'brassiere', 0.078577876, u'maillot', 0.063985668, u'miniskirt', 0.020306243]
[u'miniskirt', 0.20778438, u'maillot', 0.18140742, u'brassiere', 0.16696262, u'maillot', 0.068513483, u'bikini', 0.048391294]
[u'maillot', 0.20360008, u'miniskirt', 0.11454526, u'maillot', 0.076260671, u'plunger', 0.04059764, u'radiator', 0.032858055]
[u'maillot', 0.54380876, u'miniskirt', 0.16014928, u'maillot', 0.10084223, u'brassiere', 0.02390432, u'bikini', 0.022403218]
[u'brassiere', 0.78673947, u'bikini', 0.063335441, u'maillot', 0.048227195, u'tub', 0.030772116, u'bathtub', 0.029865773]
