[u'pajama', 0.18534654, u'velvet', 0.14750539, u'trench_coat', 0.085029162, u'sweatshirt', 0.083012268, u'cardigan', 0.039000273]
[u'bikini', 0.52124107, u'maillot', 0.13136061, u'brassiere', 0.12216442, u'miniskirt', 0.10191774, u'diaper', 0.019805532]
[u'hog', 0.26620162, u'bathtub', 0.13207503, u'tub', 0.082473673, u'diaper', 0.058419153, u'dough', 0.054905448]
[u'gown', 0.12254576, u'hoopskirt', 0.11365408, u'diaper', 0.11195502, u'pajama', 0.079376109, u'studio_couch', 0.061493658]
[u'beaker', 0.53630829, u'pitcher', 0.03602333, u'whiskey_jug', 0.030680465, u'mask', 0.029421691, u'face_powder', 0.027297061]
[u'miniskirt', 0.79629666, u'jean', 0.037790269, u'overskirt', 0.034282099, u'gown', 0.022458853, u'hoopskirt', 0.015697837]
[u'bikini', 0.36272871, u'diaper', 0.32694796, u'hoopskirt', 0.055920441, u'maillot', 0.048243135, u'gown', 0.038826052]
[u'diaper', 0.48787212, u'tub', 0.17452912, u'bathtub', 0.16423099, u'bath_towel', 0.026684521, u'swimming_trunks', 0.026559483]
[u'bikini', 0.39200068, u'maillot', 0.31993097, u'maillot', 0.19728334, u'miniskirt', 0.026535338, u'brassiere', 0.017327199]
[u'maillot', 0.26988354, u'maillot', 0.18464901, u'bikini', 0.10716099, u'miniskirt', 0.05417484, u'swimming_trunks', 0.04736267]
[u'bathtub', 0.27867395, u'tub', 0.24199863, u'shower_cap', 0.051390458, u'Band_Aid', 0.035302434, u'diaper', 0.033267673]
[u'diaper', 0.38617152, u'maillot', 0.12143768, u'bikini', 0.092315078, u'miniskirt', 0.044692196, u'brassiere', 0.043970283]
[u'bikini', 0.2119578, u'bubble', 0.17754397, u'swimming_trunks', 0.14958231, u'sunscreen', 0.067763165, u'maillot', 0.028920349]
[u'swimming_trunks', 0.3106249, u'diaper', 0.25553575, u'bikini', 0.16095625, u'tub', 0.10838302, u'sunscreen', 0.035697017]
[u'sunscreen', 0.41265446, u'bathtub', 0.17293122, u'tub', 0.15053697, u'Band_Aid', 0.07895381, u'ice_lolly', 0.043873858]
[u'chocolate_sauce', 0.26709059, u'ice_cream', 0.097308859, u'consomme', 0.05508652, u'cup', 0.044167876, u'mortar', 0.043346442]
[u'bikini', 0.39643097, u'brassiere', 0.29303166, u'maillot', 0.1562275, u'sunscreen', 0.025245335, u'swimming_trunks', 0.02439313]
[u'bathtub', 0.43835872, u'tub', 0.18604146, u'dough', 0.17210519, u'hog', 0.018251957, u'butcher_shop', 0.013783272]
[u'dough', 0.56507009, u'bathtub', 0.1453809, u'tub', 0.096969135, u"potter's_wheel", 0.021169011, u'hotdog', 0.013231244]
[u'maillot', 0.20610379, u'maillot', 0.16922653, u'swimming_trunks', 0.14014155, u'sarong', 0.11380211, u'sleeping_bag', 0.065085165]
[u'maillot', 0.18399382, u'brassiere', 0.13043557, u'gown', 0.11296507, u'wig', 0.10348369, u'miniskirt', 0.099543691]
[u'syringe', 0.273191, u'beaker', 0.083948888, u'oxygen_mask', 0.06127568, u'piggy_bank', 0.053350929, u'sewing_machine', 0.037808754]
[u'tub', 0.52997893, u'bathtub', 0.41758549, u'swimming_trunks', 0.023005784, u'diaper', 0.01200133, u'bath_towel', 0.0073876791]
[u'brassiere', 0.20118047, u'tub', 0.1709958, u'bathtub', 0.15195301, u'maillot', 0.10087733, u'hoopskirt', 0.089301988]
[u'bathtub', 0.35653371, u'tub', 0.190496, u'sunscreen', 0.13645902, u'plastic_bag', 0.028824514, u"potter's_wheel", 0.022117507]
[u'Band_Aid', 0.26261589, u'ice_lolly', 0.24512552, u'nipple', 0.13554221, u'sunscreen', 0.083399437, u'bathtub', 0.050892208]
[u'swimming_trunks', 0.23439932, u'bathing_cap', 0.19834089, u'bikini', 0.16061155, u'maillot', 0.12275995, u'maillot', 0.067803346]
[u'Band_Aid', 0.20532829, u'sandal', 0.086332783, u'miniskirt', 0.056200776, u'burrito', 0.044123475, u'bikini', 0.039930686]
[u'brassiere', 0.3376379, u'bikini', 0.31611004, u'maillot', 0.10276782, u'sarong', 0.045043938, u'gown', 0.042889871]
[u'bikini', 0.49145234, u'maillot', 0.13778976, u'tub', 0.083547086, u'bathtub', 0.081670344, u'brassiere', 0.033272091]
[u'diaper', 0.28851134, u'swimming_trunks', 0.16456456, u'bikini', 0.032143358, u'sarong', 0.031649712, u'miniskirt', 0.030635506]
[u'bathtub', 0.29437307, u'bikini', 0.21011847, u'tub', 0.11757501, u'brassiere', 0.1159515, u'maillot', 0.063958518]
[u'bathtub', 0.56607294, u'tub', 0.21179347, u'shower_cap', 0.029297557, u'bathing_cap', 0.026922178, u'bath_towel', 0.022677384]
[u'miniskirt', 0.28590721, u'stole', 0.25334734, u'sarong', 0.089323513, u'bonnet', 0.050020199, u'brassiere', 0.04143551]
[u'tub', 0.30631757, u'dough', 0.24407703, u'bathtub', 0.22303809, u'frying_pan', 0.047045529, u"potter's_wheel", 0.028708318]
[u'miniskirt', 0.31573221, u'vacuum', 0.038510285, u'maillot', 0.025836516, u'brassiere', 0.02381888, u'toilet_tissue', 0.023637475]
[u'brassiere', 0.50474846, u'bikini', 0.2418742, u'diaper', 0.096851639, u'sunscreen', 0.015271721, u'Band_Aid', 0.015151894]
[u'bikini', 0.29135701, u'maillot', 0.26468894, u'maillot', 0.11498809, u'brassiere', 0.088397123, u'swimming_trunks', 0.079598434]
[u'bikini', 0.34863052, u'maillot', 0.15384302, u'brassiere', 0.12807029, u'sarong', 0.056173302, u'maillot', 0.052900389]
[u'wig', 0.67551285, u'bonnet', 0.04147806, u'stole', 0.020237949, u'hair_spray', 0.020039985, u'fur_coat', 0.019210435]
[u'tub', 0.48043472, u'bathtub', 0.39488512, u'sunscreen', 0.020272806, u'bathing_cap', 0.015310161, u'syringe', 0.014796807]
[u'bathtub', 0.15915656, u'butcher_shop', 0.14231344, u'tub', 0.11092602, u'hippopotamus', 0.10605561, u'fig', 0.061349846]
[u'miniskirt', 0.17230344, u'tub', 0.13028243, u'bathtub', 0.10673393, u'maillot', 0.062199365, u'diaper', 0.058704972]
[u'mask', 0.18207236, u'trilobite', 0.11363044, u'electric_ray', 0.073433578, u'sunscreen', 0.043557484, u'Band_Aid', 0.039088044]
[u'sandal', 0.47000986, u'brassiere', 0.20319283, u'bikini', 0.068389326, u'bath_towel', 0.059668381, u'diaper', 0.048468567]
[u'Band_Aid', 0.37315014, u'bathtub', 0.16776182, u'sunscreen', 0.15140286, u'tub', 0.063078903, u'diaper', 0.035943743]
[u'tub', 0.28667066, u'bathtub', 0.27236488, u'swimming_trunks', 0.11973734, u'diaper', 0.032643571, u'bath_towel', 0.029324349]
[u'tub', 0.49169594, u'bathtub', 0.31456804, u'hog', 0.073279209, u'stingray', 0.026916606, u'electric_ray', 0.0099331364]
[u'maillot', 0.14591658, u'brassiere', 0.12195979, u'miniskirt', 0.11067419, u'bikini', 0.037167832, u'sandal', 0.036437456]
[u'bathtub', 0.21450187, u'sunscreen', 0.20917656, u'tub', 0.13952607, u'Band_Aid', 0.068585068, u'lipstick', 0.033764683]
