[u'bikini', 0.21407586, u'bath_towel', 0.17168783, u'maillot', 0.11538178, u'brassiere', 0.071838953, u'maillot', 0.054103937]
[u'bath_towel', 0.12540498, u'gown', 0.11690824, u'miniskirt', 0.092750281, u'hoopskirt', 0.067296103, u'pajama', 0.053007729]
[u'swimming_trunks', 0.46172923, u'bikini', 0.21852477, u'diaper', 0.064928815, u'sunscreen', 0.062153172, u'maillot', 0.024693169]
[u'diaper', 0.24357177, u'swimming_trunks', 0.11413819, u'brassiere', 0.044733167, u'bikini', 0.041460484, u'sunscreen', 0.03651436]
[u'gown', 0.73514926, u'pajama', 0.17627367, u'shower_curtain', 0.032896616, u'overskirt', 0.0066946051, u'stole', 0.0066350116]
[u'tub', 0.19551666, u'bikini', 0.17834111, u'bathtub', 0.14115009, u'swimming_trunks', 0.092146493, u'maillot', 0.05800062]
[u'bikini', 0.27176371, u'brassiere', 0.2326248, u'maillot', 0.12757927, u'swimming_trunks', 0.061675567, u'maillot', 0.029944697]
[u'bikini', 0.51411867, u'maillot', 0.10418213, u'sarong', 0.052877583, u'hay', 0.037227698, u'maillot', 0.034908395]
[u'bikini', 0.2511422, u'maillot', 0.17807171, u'brassiere', 0.17771053, u'swimming_trunks', 0.078477152, u'maillot', 0.059487663]
[u'swimming_trunks', 0.67818749, u'bathing_cap', 0.061529439, u'bikini', 0.041399382, u'bath_towel', 0.027839303, u'bathtub', 0.026762201]
[u'bikini', 0.2356147, u'maillot', 0.11102692, u'brassiere', 0.10968193, u'bath_towel', 0.10444925, u'bathtub', 0.07223013]
[u'bikini', 0.37710562, u'maillot', 0.16999687, u'maillot', 0.091782466, u'brassiere', 0.066656165, u'swimming_trunks', 0.050048862]
[u'maillot', 0.27568239, u'maillot', 0.15734176, u'bikini', 0.12971593, u'brassiere', 0.12122179, u'miniskirt', 0.093220137]
[u'diaper', 0.2157131, u'bikini', 0.13820049, u'tub', 0.076918431, u'bath_towel', 0.048304033, u'bathtub', 0.034155373]
[u'swimming_trunks', 0.24958783, u'bikini', 0.17135005, u'sunscreen', 0.11097205, u'diaper', 0.076319158, u'tub', 0.051268633]
[u'brassiere', 0.23799327, u'maillot', 0.21306312, u'bikini', 0.20449223, u'maillot', 0.048270639, u'stethoscope', 0.033495743]
[u'bikini', 0.21404174, u'maillot', 0.19764368, u'brassiere', 0.1347079, u'maillot', 0.05816571, u'miniskirt', 0.053281844]
[u'maillot', 0.23380114, u'bathtub', 0.10783028, u'maillot', 0.10778247, u'tub', 0.096060202, u'swimming_trunks', 0.09562704]
[u'bikini', 0.26955166, u'maillot', 0.26806277, u'brassiere', 0.19229665, u'maillot', 0.15000293, u'miniskirt', 0.042364571]
[u'bikini', 0.22908202, u'maillot', 0.17376359, u'maillot', 0.09694764, u'sunscreen', 0.093279436, u'miniskirt', 0.078670308]
[u'bath_towel', 0.29974484, u'tub', 0.12924093, u'bathtub', 0.10543761, u'maillot', 0.037127737, u'maillot', 0.030798225]
