[u'sunscreen', 0.32579198, u'bath_towel', 0.13940921, u'Band_Aid', 0.092874534, u'bikini', 0.051334228, u'diaper', 0.037484426]
[u'bikini', 0.70008618, u'maillot', 0.086442299, u'brassiere', 0.081712462, u'gown', 0.027645724, u'sarong', 0.015577319]
[u'tub', 0.39023432, u'bathtub', 0.3831678, u'lipstick', 0.066865593, u'ice_lolly', 0.042779163, u'swimming_trunks', 0.037847865]
[u'vizsla', 0.30021015, u'bikini', 0.18075615, u'swimming_trunks', 0.085342906, u'tub', 0.05617965, u'bathtub', 0.03512181]
[u'maillot', 0.26659548, u'bikini', 0.1379087, u'fur_coat', 0.10400775, u'brassiere', 0.097476549, u'gown', 0.081850849]
[u'bikini', 0.33154327, u'maillot', 0.20872417, u'maillot', 0.19571933, u'swimming_trunks', 0.053617273, u'sarong', 0.033275124]
[u'bikini', 0.27162251, u'maillot', 0.25106415, u'fur_coat', 0.13177414, u'maillot', 0.071809553, u'gown', 0.028853863]
[u'bikini', 0.32737637, u'hay', 0.13622983, u'maillot', 0.114321, u'gown', 0.093589038, u'maillot', 0.059844334]
[u'fur_coat', 0.15347581, u'bikini', 0.1422509, u'tub', 0.13931577, u'bathtub', 0.092691973, u'bath_towel', 0.091807559]
[u'bikini', 0.40640831, u'diaper', 0.11686735, u'tub', 0.059810806, u'swimming_trunks', 0.059196804, u'maillot', 0.052555013]
[u'tub', 0.12768322, u'bathtub', 0.1023009, u'bikini', 0.098742999, u'maillot', 0.068707652, u'rock_python', 0.047186241]
[u'diaper', 0.16131726, u'bikini', 0.1283029, u'bath_towel', 0.079382956, u'bathtub', 0.073018596, u'brassiere', 0.058454998]
[u'bikini', 0.52087557, u'maillot', 0.12034702, u'maillot', 0.10893507, u'tub', 0.075741246, u'swimming_trunks', 0.041864682]
[u'bikini', 0.11926995, u'jersey', 0.043885019, u'cardigan', 0.040876906, u'miniskirt', 0.035989266, u'squirrel_monkey', 0.032152697]
[u'bikini', 0.3356066, u'tub', 0.25922862, u'bathtub', 0.08377149, u'swimming_trunks', 0.081009954, u'diaper', 0.070269518]
[u'lipstick', 0.8006323, u'ice_lolly', 0.047710672, u'bathtub', 0.040307049, u'tub', 0.023155067, u'hair_spray', 0.020732962]
[u'swimming_trunks', 0.16260572, u'bathing_cap', 0.14496739, u'bathtub', 0.13478212, u'diaper', 0.12148734, u'sunscreen', 0.056457762]
[u'bathtub', 0.41514021, u'tub', 0.092806086, u'Band_Aid', 0.061325461, u'lipstick', 0.041867137, u'mask', 0.039246943]
[u'diaper', 0.055848051, u'sunscreen', 0.043747891, u'swimming_trunks', 0.041589756, u'groom', 0.037266187, u'bikini', 0.035438512]
[u'sunscreen', 0.30555341, u'swimming_trunks', 0.18284079, u'ice_lolly', 0.076654792, u'Band_Aid', 0.037660114, u'tub', 0.02503006]
[u'swing', 0.55968368, u'sarong', 0.07138785, u'throne', 0.041554119, u'bikini', 0.039600801, u'maillot', 0.028857274]
[u'swimming_trunks', 0.43906334, u'bikini', 0.28376597, u'tub', 0.084489778, u'brassiere', 0.084171787, u'bathtub', 0.037692267]
[u'gown', 0.37033442, u'pajama', 0.097880334, u'fur_coat', 0.057903446, u'stole', 0.046118144, u'sarong', 0.041013122]
[u'fur_coat', 0.2524848, u'bikini', 0.13183232, u'maillot', 0.13148087, u'sarong', 0.10302902, u'brassiere', 0.090689667]
[u'sarong', 0.23679453, u'swimming_trunks', 0.21398766, u'bikini', 0.050873078, u'maillot', 0.047796372, u'sunscreen', 0.045762789]
[u'miniskirt', 0.23078078, u'mortarboard', 0.093141571, u'bikini', 0.076523647, u'wig', 0.05450508, u'cardigan', 0.048331697]
[u'bikini', 0.56483668, u'maillot', 0.18338646, u'maillot', 0.15623768, u'gown', 0.031295612, u'swimming_trunks', 0.017260019]
[u'lipstick', 0.30150458, u'bikini', 0.19450009, u'hair_spray', 0.062164359, u'brassiere', 0.040049419, u'maillot', 0.038030185]
[u'tub', 0.40634117, u'bathtub', 0.21653616, u'bikini', 0.16641669, u'maillot', 0.052399606, u'maillot', 0.036970891]
[u'tub', 0.34526026, u'bath_towel', 0.32174063, u'bathtub', 0.1941054, u'diaper', 0.025942473, u'bikini', 0.019365212]
[u'sarong', 0.22353674, u'maillot', 0.051014222, u'frilled_lizard', 0.030045737, u'conch', 0.029919239, u'common_iguana', 0.028168645]
[u'bikini', 0.31226668, u'maillot', 0.10772502, u'swimming_trunks', 0.077469125, u'maillot', 0.072516531, u'miniskirt', 0.04314385]
[u'gown', 0.11015, u'abaya', 0.093661301, u'cloak', 0.076413296, u'bikini', 0.061566912, u'trench_coat', 0.057485219]
[u'wig', 0.23247069, u'sarong', 0.17756502, u'hair_spray', 0.069002919, u'bikini', 0.044173114, u'diaper', 0.043354455]
[u'maillot', 0.18451856, u'maillot', 0.15011571, u'bikini', 0.12209571, u'rock_python', 0.078296781, u'boa_constrictor', 0.066561058]
[u'nipple', 0.15456259, u'Band_Aid', 0.11057653, u'diaper', 0.11044921, u'sunscreen', 0.068546712, u'bathtub', 0.050026942]
[u'diaper', 0.10698834, u'tub', 0.069428585, u'bath_towel', 0.061661791, u'bathtub', 0.035006434, u'bikini', 0.033675265]
[u'lipstick', 0.60523546, u'ice_lolly', 0.35270935, u'bathtub', 0.013670249, u'whistle', 0.0088077104, u'tub', 0.0057249661]
[u'bikini', 0.57155478, u'brassiere', 0.12683998, u'maillot', 0.11462709, u'maillot', 0.021117821, u'gown', 0.017732682]
[u'tub', 0.21568049, u'bathtub', 0.17289113, u'bikini', 0.11881533, u'bath_towel', 0.086346149, u'fur_coat', 0.047642395]
[u'dough', 0.10900018, u'hotdog', 0.10494293, u'bathtub', 0.076458208, u'cheeseburger', 0.074705824, u'tub', 0.059056323]
[u'bikini', 0.37211138, u'swimming_trunks', 0.10573504, u'fur_coat', 0.08470124, u'maillot', 0.042434793, u'panpipe', 0.035320148]
[u'bikini', 0.44119716, u'maillot', 0.046133842, u'tub', 0.040647194, u'brassiere', 0.035018992, u'lipstick', 0.026092431]
[u'sarong', 0.44353071, u'swimming_trunks', 0.12248967, u'maillot', 0.066273674, u'bikini', 0.043929853, u'brassiere', 0.043334663]
[u'wig', 0.2706489, u'lipstick', 0.14733687, u'feather_boa', 0.14046745, u'bikini', 0.062950052, u'stethoscope', 0.028288377]
[u'lipstick', 0.23176202, u'bathing_cap', 0.19907583, u'bikini', 0.13035345, u'sunscreen', 0.099817641, u'shower_cap', 0.041769732]
[u'bikini', 0.21284673, u'maillot', 0.12246678, u'fur_coat', 0.1000342, u'gown', 0.097466737, u'brassiere', 0.044231903]
[u'hair_spray', 0.2757864, u'wig', 0.068633668, u'brassiere', 0.067140453, u'bikini', 0.055103227, u'plunger', 0.043155927]
[u'tub', 0.42026141, u'bathtub', 0.19892262, u'swimming_trunks', 0.10172363, u'brassiere', 0.09453091, u'bikini', 0.06691321]
[u'conch', 0.16489106, u'bathtub', 0.097556785, u'tub', 0.078448802, u'bikini', 0.064391725, u'sunscreen', 0.063229069]
[u'tub', 0.29107103, u'bathtub', 0.2839731, u'bikini', 0.105042, u'brassiere', 0.10049039, u'sunscreen', 0.026996786]
[u'fur_coat', 0.25223029, u'maillot', 0.14844082, u'bikini', 0.13335355, u'tub', 0.12619185, u'maillot', 0.061940331]
[u'swimming_trunks', 0.41373441, u'bathing_cap', 0.26238835, u'sunscreen', 0.096725129, u'bikini', 0.057158571, u'tub', 0.022474783]
[u'bikini', 0.4476065, u'bathtub', 0.12436733, u'maillot', 0.12161643, u'tub', 0.11355775, u'brassiere', 0.03270391]
[u'bikini', 0.22036584, u'bathing_cap', 0.16101167, u'sunscreen', 0.15495361, u'lipstick', 0.091721475, u'brassiere', 0.063959338]
[u'bikini', 0.14836997, u'sunscreen', 0.11867798, u'brassiere', 0.085600138, u'hair_spray', 0.079895228, u'bathtub', 0.075211108]
[u'drumstick', 0.26777828, u'tub', 0.21649908, u'bathtub', 0.17901599, u'bikini', 0.053525683, u'flute', 0.027821826]
[u'bath_towel', 0.48460329, u'fur_coat', 0.19107929, u'diaper', 0.044586156, u'vizsla', 0.028019136, u'pajama', 0.014261848]
[u'harp', 0.1835801, u'bikini', 0.087823682, u'crutch', 0.0632964, u'tub', 0.041053869, u'maillot', 0.041031148]
[u'hog', 0.16800146, u'nipple', 0.11867729, u'sunscreen', 0.077192023, u'bath_towel', 0.065393545, u'diaper', 0.052386727]
[u'bathtub', 0.34104693, u'tub', 0.27451289, u'bath_towel', 0.059400134, u'lipstick', 0.043447625, u'bikini', 0.039513286]
[u'conch', 0.21694228, u'bathtub', 0.1344275, u'tub', 0.094983622, u'snail', 0.081168294, u'bikini', 0.044022556]
[u'tub', 0.6673215, u'bathtub', 0.16978967, u'bikini', 0.065204114, u'maillot', 0.031449173, u'brassiere', 0.017067047]
[u'maillot', 0.29161394, u'maillot', 0.18400966, u'bikini', 0.13158531, u'sarong', 0.077502921, u'gown', 0.072076403]
[u'ice_lolly', 0.55035716, u'lipstick', 0.3365235, u'bathtub', 0.08531478, u'tub', 0.011591877, u'whistle', 0.0051938235]
[u'bikini', 0.27304569, u'maillot', 0.22053726, u'maillot', 0.072180986, u'tub', 0.056763023, u'gown', 0.054054104]
[u'sombrero', 0.12729862, u'stole', 0.097049773, u'wooden_spoon', 0.087470122, u'cowboy_hat', 0.050023325, u'cardigan', 0.045818023]
[u'gown', 0.1405794, u'bikini', 0.083553158, u'sarong', 0.079084024, u'groom', 0.073051542, u'maillot', 0.06467741]
[u'fur_coat', 0.1809129, u'tub', 0.096639648, u'bathtub', 0.06726975, u'bath_towel', 0.065413266, u'swimming_trunks', 0.058256298]
[u'tub', 0.38809925, u'bathtub', 0.36666331, u'bikini', 0.073184758, u'bath_towel', 0.060921382, u'maillot', 0.043598961]
[u'diaper', 0.20275339, u'bathtub', 0.201039, u'swimming_trunks', 0.19119188, u'tub', 0.13645259, u'bath_towel', 0.057231009]
[u'bath_towel', 0.31610683, u'bathtub', 0.2832388, u'tub', 0.20285434, u'diaper', 0.046343416, u'bikini', 0.025946712]
[u'bikini', 0.18113281, u'bathtub', 0.14842694, u'tub', 0.11792856, u'maillot', 0.096311629, u'maillot', 0.062461503]
[u'ice_lolly', 0.60400212, u'lipstick', 0.15754458, u'bathtub', 0.030233504, u'tub', 0.015259161, u'syringe', 0.01436168]
[u'bikini', 0.14959522, u'tub', 0.13457845, u'vizsla', 0.056710672, u'bathtub', 0.049415857, u'swimming_trunks', 0.048535783]
[u'brassiere', 0.42341316, u'wig', 0.12154625, u'bonnet', 0.090134904, u'bikini', 0.081009664, u'cowboy_hat', 0.055988029]
[u'swimming_trunks', 0.70963639, u'bikini', 0.094885565, u'maillot', 0.065391943, u'maillot', 0.055153623, u'bathing_cap', 0.025161626]
