[u'matchstick', 0.13361806, u'tennis_ball', 0.075026996, u'rubber_eraser', 0.038832836, u'sea_snake', 0.023837695, u'green_mamba', 0.021000311]
[u'shower_cap', 0.13736494, u'hair_spray', 0.070552431, u'perfume', 0.052788217, u'lotion', 0.044649318, u'water_jug', 0.036976386]
[u'hand_blower', 0.12325477, u'syringe', 0.052414507, u'hair_spray', 0.03703348, u'brassiere', 0.025653331, u'lotion', 0.022146784]
[u'teddy', 0.1459986, u'mask', 0.095598586, u'perfume', 0.072026111, u'balance_beam', 0.053262111, u'book_jacket', 0.048995227]
[u'bikini', 0.18980794, u'sunglasses', 0.058003895, u'neck_brace', 0.053433478, u'snorkel', 0.044274613, u'lipstick', 0.037443414]
[u'volleyball', 0.33585986, u'rugby_ball', 0.076502241, u'scale', 0.057502814, u'maillot', 0.032713473, u'toilet_tissue', 0.032054529]
[u'maillot', 0.17665966, u'bikini', 0.12473746, u'dial_telephone', 0.089401379, u'maillot', 0.084341802, u'gasmask', 0.039349325]
[u'maillot', 0.21509966, u'bikini', 0.18205252, u'wig', 0.13665643, u'maillot', 0.1125299, u'brassiere', 0.087821275]
[u'diaper', 0.18304254, u'swimming_trunks', 0.10189125, u'tub', 0.085715316, u'bathtub', 0.070829004, u'sunscreen', 0.06623131]
[u'perfume', 0.088758484, u'butternut_squash', 0.085871235, u'bikini', 0.079859592, u'wig', 0.067661583, u'mask', 0.061303861]
[u'miniskirt', 0.23283386, u'brassiere', 0.060357299, u'hoopskirt', 0.053808648, u'wig', 0.046883259, u'maillot', 0.033827763]
[u'brassiere', 0.45539406, u'wig', 0.19032358, u'bikini', 0.11595666, u'maillot', 0.11067965, u'maillot', 0.023936015]
[u'bookshop', 0.08545427, u'library', 0.058925219, u'window_shade', 0.046804674, u'prison', 0.036225203, u'sliding_door', 0.032690044]
[u'swimming_trunks', 0.15041988, u'diaper', 0.13489828, u'sunscreen', 0.089959323, u'bikini', 0.056354303, u'bathtub', 0.051959828]
[u'punching_bag', 0.09941081, u'miniskirt', 0.069816217, u'hand_blower', 0.061902516, u'wig', 0.050059646, u'African_grey', 0.038023181]
[u'swimming_trunks', 0.53065467, u'bikini', 0.0983027, u'diaper', 0.094682135, u'sunscreen', 0.094160497, u'tub', 0.060055889]
[u'miniskirt', 0.31104782, u'maillot', 0.2259876, u'bikini', 0.15452193, u'brassiere', 0.10086291, u'sandal', 0.061053641]
[u'maillot', 0.40965503, u'bikini', 0.24905099, u'maillot', 0.12876153, u'miniskirt', 0.10610692, u'brassiere', 0.058687057]
[u'bikini', 0.36155251, u'swimming_trunks', 0.18411361, u'tub', 0.11832683, u'maillot', 0.096303865, u'bathtub', 0.080536209]
