[u'bee_eater', 0.040938634, u'crane', 0.022701656, u'kite', 0.016569853, u'fly', 0.012481888, u'dragonfly', 0.012383637]
[u'matchstick', 0.43748447, u'picket_fence', 0.22371067, u'chime', 0.081242532, u'candle', 0.033587623, u'rule', 0.029983208]
[u'picket_fence', 0.19775265, u'chime', 0.17383698, u'matchstick', 0.07328441, u'crib', 0.048255891, u'rule', 0.036162026]
[u'picket_fence', 0.066383459, u'syringe', 0.05469133, u'crane', 0.044759765, u'missile', 0.035968564, u'projectile', 0.030987067]
[u'web_site', 0.12654705, u'digital_clock', 0.061837777, u'picket_fence', 0.038517985, u'syringe', 0.034249458, u'monitor', 0.03411442]
[u'picket_fence', 0.33927292, u'matchstick', 0.26969424, u'crib', 0.09492562, u'digital_clock', 0.048563965, u'candle', 0.03105217]
[u'matchstick', 0.93703574, u'candle', 0.017129639, u'picket_fence', 0.0090557868, u'chime', 0.0078644957, u'drumstick', 0.0021305396]
[u'crane', 0.11244763, u'beacon', 0.079180121, u'drilling_platform', 0.067356907, u'container_ship', 0.064893216, u'traffic_light', 0.050667159]
[u'bannister', 0.81839752, u'lumbermill', 0.053082019, u'marimba', 0.044354226, u'organ', 0.010168505, u'upright', 0.0093965223]
[u'matchstick', 0.15557076, u'picket_fence', 0.15150441, u'syringe', 0.055472102, u'rule', 0.0547163, u'crib', 0.045565989]
[u'matchstick', 0.32027262, u'chime', 0.18554573, u'picket_fence', 0.093716569, u'panpipe', 0.049218532, u'candle', 0.035260491]
[u'shoji', 0.026990484, u'crane', 0.026617829, u'bee_eater', 0.025908146, u'table_lamp', 0.021546336, u'hook', 0.015493602]
[u'picket_fence', 0.08299163, u'crane', 0.075908758, u'beacon', 0.075181186, u'drilling_platform', 0.055623308, u'container_ship', 0.038282551]
[u'web_site', 0.11475544, u'picket_fence', 0.053612825, u'syringe', 0.050083335, u'matchstick', 0.045928054, u'envelope', 0.027116423]
[u'picket_fence', 0.076141, u'matchstick', 0.06094069, u'book_jacket', 0.04991968, u'crane', 0.049098007, u'beacon', 0.039320573]
[u'picket_fence', 0.35123056, u'chime', 0.1178534, u'crib', 0.055591084, u'matchstick', 0.041142408, u'rule', 0.037004866]
[u'matchstick', 0.87091726, u'chime', 0.033421792, u'picket_fence', 0.021310234, u'candle', 0.020869516, u'drumstick', 0.005761269]
[u'envelope', 0.10416464, u'matchstick', 0.079474241, u'web_site', 0.070345066, u'digital_clock', 0.04258981, u'picket_fence', 0.040129639]
[u'matchstick', 0.93641502, u'picket_fence', 0.010247782, u'panpipe', 0.0092297485, u'candle', 0.0079965955, u'chime', 0.0050999564]
[u'picket_fence', 0.11047164, u'matchstick', 0.071665846, u'envelope', 0.053602833, u'chime', 0.045599833, u'crib', 0.034416422]
[u'gong', 0.085206605, u'hourglass', 0.06213348, u'plunger', 0.052490789, u'abacus', 0.025572211, u'drumstick', 0.024971981]
[u'matchstick', 0.9128443, u'picket_fence', 0.016131386, u'crib', 0.0069727041, u'candle', 0.0064558592, u'chime', 0.0050365096]
[u'envelope', 0.1553984, u'matchstick', 0.068633713, u'crib', 0.063630417, u'whistle', 0.046522122, u'candle', 0.038361449]
[u'strainer', 0.55940753, u'chain_mail', 0.13490145, u'coil', 0.070475623, u'spotlight', 0.065075383, u'lampshade', 0.043092966]
[u'harp', 0.99810624, u'suspension_bridge', 0.0015486926, u'panpipe', 0.00012286367, u'theater_curtain', 5.14282e-05, u'window_shade', 3.894389e-05]
