[u'jersey', 0.16706549, u'iron', 0.087450936, u'mailbag', 0.049798805, u'dial_telephone', 0.037859812, u'electric_guitar', 0.030033454]
[u'stage', 0.97203606, u'spotlight', 0.012723573, u'theater_curtain', 0.0024756289, u'electric_guitar', 0.0021171479, u'drumstick', 0.0017226792]
[u'comic_book', 0.89681745, u'jigsaw_puzzle', 0.079962194, u'book_jacket', 0.0056607057, u'swimming_trunks', 0.001968008, u'tray', 0.0019255383]
[u'stage', 0.69821727, u'spotlight', 0.26602906, u'electric_guitar', 0.0046988698, u'microphone', 0.0037804651, u'sax', 0.003118942]
[u'stage', 0.83838266, u'microphone', 0.031710885, u'banjo', 0.020456286, u'marimba', 0.0189202, u'electric_guitar', 0.014490387]
[u'stage', 0.88882202, u'spotlight', 0.040455092, u'electric_guitar', 0.019161861, u'loudspeaker', 0.012184958, u'oscilloscope', 0.0069381925]
[u'cleaver', 0.13859966, u'letter_opener', 0.1278185, u'hook', 0.098198682, u'spatula', 0.087984614, u'nail', 0.071999595]
[u'stage', 0.71804887, u'spotlight', 0.24738264, u'microphone', 0.013414112, u'electric_guitar', 0.0041396092, u'cornet', 0.0031342197]
[u'stage', 0.84216225, u'loudspeaker', 0.047417931, u'spotlight', 0.036777187, u'electric_guitar', 0.023112344, u'accordion', 0.0065770368]
[u'stage', 0.84643883, u'sax', 0.093028076, u'cornet', 0.020940391, u'trombone', 0.019536825, u'electric_guitar', 0.0070416932]
[u'web_site', 0.26553711, u'television', 0.13802026, u'sax', 0.060954221, u'stage', 0.039308622, u'accordion', 0.025902169]
[u'stage', 0.76799238, u'spotlight', 0.185921, u'projector', 0.0066705304, u'loudspeaker', 0.0060945097, u'monitor', 0.0031885642]
[u'stage', 0.85684705, u'spotlight', 0.12327112, u'loudspeaker', 0.006645828, u'projector', 0.002399497, u'electric_guitar', 0.001498517]
[u'stage', 0.82077372, u'spotlight', 0.065309696, u'unicycle', 0.041268043, u'theater_curtain', 0.023977043, u'electric_guitar', 0.0091636954]
[u'comic_book', 0.90661436, u'jigsaw_puzzle', 0.075480804, u'laptop', 0.0071116942, u'book_jacket', 0.0055805054, u'jersey', 0.0011193906]
[u'stage', 0.94424987, u'spotlight', 0.0534469, u'loudspeaker', 0.00064458564, u'theater_curtain', 0.0002650953, u'electric_guitar', 0.00016671029]
[u'stage', 0.92309576, u'electric_guitar', 0.039243188, u'spotlight', 0.018630426, u'microphone', 0.004637117, u'sax', 0.0029876044]
[u'comic_book', 0.93387043, u'jigsaw_puzzle', 0.032125056, u'book_jacket', 0.0042962073, u'jersey', 0.0038557919, u'swimming_trunks', 0.0028742622]
[u'stage', 0.69435716, u'electric_guitar', 0.074491762, u'sax', 0.048452843, u'acoustic_guitar', 0.046282157, u'microphone', 0.043741863]
[u'stage', 0.9457351, u'theater_curtain', 0.019070825, u'balance_beam', 0.0061896602, u'spotlight', 0.00368988, u'loudspeaker', 0.0031645033]
[u'stage', 0.89420325, u'spotlight', 0.09833248, u'theater_curtain', 0.0028331382, u'electric_guitar', 0.0010215662, u'microphone', 0.00092121621]
[u'stage', 0.85337049, u'spotlight', 0.13479021, u'electric_guitar', 0.0054446841, u'microphone', 0.001738799, u'theater_curtain', 0.00044200322]
[u'stage', 0.80677563, u'drumstick', 0.067402683, u'marimba', 0.028149353, u'drum', 0.027161866, u'microphone', 0.010258414]
[u'stage', 0.87735486, u'microphone', 0.048294846, u'electric_guitar', 0.032373726, u'spotlight', 0.016933955, u'acoustic_guitar', 0.0037785009]
