[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'hair_spray', 0.1538199, u'candle', 0.14975226, u'lighter', 0.080131613, u'sunscreen', 0.065972924, u'whistle', 0.05432421]
[u'television', 0.23434871, u'web_site', 0.13965337, u'stage', 0.08918976, u'home_theater', 0.075959221, u'monitor', 0.045520388]
[u'swab', 0.45403889, u'stole', 0.1572469, u'quill', 0.097370043, u'jean', 0.029464176, u'pajama', 0.02854727]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'car_mirror', 0.56897694, u'groom', 0.04153952, u'seat_belt', 0.030842476, u'lab_coat', 0.027950365, u'toilet_tissue', 0.020310979]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'shower_curtain', 0.1865122, u'handkerchief', 0.17058793, u'mosquito_net', 0.097328402, u'bath_towel', 0.059527263, u'envelope', 0.032193214]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'web_site', 0.11042159, u'theater_curtain', 0.066939823, u'barn', 0.065797895, u'stage', 0.052371152, u'television', 0.043711711]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wing', 0.15481064, u'beacon', 0.10500001, u'spotlight', 0.081572473, u'suspension_bridge', 0.050956011, u'seashore', 0.037904255]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'library', 0.39410532, u'tobacco_shop', 0.17405574, u'bookshop', 0.14785844, u'bookcase', 0.091681309, u'container_ship', 0.050404262]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'triceratops', 0.14558248, u'restaurant', 0.091459498, u'cliff_dwelling', 0.087650687, u'lumbermill', 0.066230766, u'dining_table', 0.044790372]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'killer_whale', 0.43613744, u'monitor', 0.31086424, u'screen', 0.026631474, u'missile', 0.012796341, u'space_shuttle', 0.010848541]
[u'tobacco_shop', 0.06175451, u'wire-haired_fox_terrier', 0.039547335, u'Dandie_Dinmont', 0.018245339, u'German_shepherd', 0.016475538, u'window_screen', 0.016214266]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'window_screen', 0.36703163, u'window_shade', 0.085189171, u'sliding_door', 0.038827684, u'planetarium', 0.033813376, u'prison', 0.013378201]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'prison', 0.097129852, u'window_screen', 0.058416855, u'vault', 0.032893516, u'planetarium', 0.016872354, u'pier', 0.015602728]
[u'fountain', 0.38106167, u'killer_whale', 0.14192665, u'window_shade', 0.038527988, u'black_swan', 0.032158747, u'lakeside', 0.018149024]
[u'prison', 0.080219164, u'library', 0.074699573, u'crate', 0.063048959, u'bookshop', 0.04037017, u'forklift', 0.036321655]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'container_ship', 0.52970684, u'tobacco_shop', 0.047685686, u'scoreboard', 0.040689647, u'balloon', 0.014118134, u'airship', 0.0133357]
[u'container_ship', 0.5370841, u'drilling_platform', 0.057997141, u'aircraft_carrier', 0.056466926, u'monitor', 0.028809752, u'crane', 0.025246602]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'television', 0.50106555, u'monitor', 0.075310975, u'car_mirror', 0.064117245, u'home_theater', 0.062596917, u'screen', 0.053276714]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'cassette', 0.19597089, u'analog_clock', 0.16998389, u'electric_fan', 0.14507829, u'wall_clock', 0.12369198, u'magnetic_compass', 0.038205836]
[u'handkerchief', 0.037420232, u'geyser', 0.033922061, u'fire_screen', 0.0314302, u'Petri_dish', 0.019389937, u'tick', 0.017663065]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
[u'wall_clock', 0.15618639, u'analog_clock', 0.12876299, u'electric_fan', 0.12338869, u'envelope', 0.083545201, u'binder', 0.061537687]
