[u'bow', 0.29797557, u'hook', 0.29109076, u'traffic_light', 0.13943516, u'chime', 0.070031337, u'pole', 0.053783603]
[u'suit', 0.54123807, u'Windsor_tie', 0.30614588, u'bow_tie', 0.045718145, u'oboe', 0.017571637, u'groom', 0.014143248]
[u'suit', 0.6772157, u'Windsor_tie', 0.21412537, u'oboe', 0.024994275, u'groom', 0.010667228, u'bassoon', 0.010281609]
[u'bow_tie', 0.69922924, u'suit', 0.16349854, u'Windsor_tie', 0.11185928, u'academic_gown', 0.0035726179, u'oboe', 0.0034655279]
[u'wig', 0.32069257, u'cloak', 0.14883241, u'fur_coat', 0.11119565, u'stole', 0.038335763, u'abaya', 0.034613565]
[u'suit', 0.59713662, u'Windsor_tie', 0.21489683, u'bow_tie', 0.089878321, u'bolo_tie', 0.012371294, u'oboe', 0.012105025]
[u'spotlight', 0.10417569, u'matchstick', 0.070652239, u'lampshade', 0.063571103, u'window_shade', 0.041528825, u'digital_clock', 0.03549438]
[u'suit', 0.66088945, u'Windsor_tie', 0.092761546, u'groom', 0.031398486, u'academic_gown', 0.030281885, u'oboe', 0.021953704]
[u'suit', 0.67992181, u'Windsor_tie', 0.17973779, u'bow_tie', 0.029173754, u'oboe', 0.019343436, u'bassoon', 0.015311515]
[u'suit', 0.60389102, u'Windsor_tie', 0.17996553, u'groom', 0.10675719, u'bow_tie', 0.042303517, u'oboe', 0.011265256]
[u'suit', 0.41429439, u'bow_tie', 0.045218233, u'Windsor_tie', 0.042332686, u'military_uniform', 0.035342887, u'oboe', 0.024674242]
[u'sunscreen', 0.04592821, u'Band_Aid', 0.033903759, u'suit', 0.030001182, u'military_uniform', 0.028218426, u'wig', 0.024861287]
[u'suit', 0.72713614, u'Windsor_tie', 0.2132832, u'bow_tie', 0.017020505, u'groom', 0.011577304, u'oboe', 0.0071174446]
[u'bow_tie', 0.35512277, u'suit', 0.25890735, u'Windsor_tie', 0.079597451, u'academic_gown', 0.036324225, u'panpipe', 0.033723969]
[u'lab_coat', 0.95081663, u'stethoscope', 0.011431887, u'Windsor_tie', 0.0065995185, u'beaker', 0.0021972794, u'notebook', 0.0016749755]
[u'suit', 0.78047961, u'Windsor_tie', 0.11489908, u'groom', 0.017290466, u'oboe', 0.015901053, u'bow_tie', 0.014978727]
