[u'thimble', 0.5234136, u'vending_machine', 0.10606699, u'perfume', 0.091130167, u'toyshop', 0.088969402, u'tobacco_shop', 0.024695804]
[u'slot', 0.98886758, u'vending_machine', 0.0090357745, u'toyshop', 0.00063863647, u'school_bus', 0.00018578187, u'tobacco_shop', 0.00015720274]
[u'slot', 0.99995518, u'vending_machine', 2.3589479e-05, u'school_bus', 8.6525652e-06, u'ocarina', 6.2115714e-06, u'scoreboard', 1.1623633e-06]
[u'joystick', 0.25506738, u'screen', 0.18942258, u'monitor', 0.18436879, u'slot', 0.10182589, u'hand-held_computer', 0.055344615]
[u'slot', 0.99987066, u'vending_machine', 0.00010915545, u'school_bus', 2.4900555e-06, u'cab', 1.7726568e-06, u'cinema', 1.5667798e-06]
[u'slot', 0.9967159, u'vending_machine', 0.0017229221, u'toyshop', 0.00067377294, u'school_bus', 0.00041545989, u'cinema', 8.6363922e-05]
[u'slot', 0.93112361, u'vending_machine', 0.052207123, u'scoreboard', 0.0052997991, u'tobacco_shop', 0.0025220674, u'laptop', 0.00077546062]
[u'web_site', 0.32043365, u'envelope', 0.098725602, u'comic_book', 0.096357353, u'jigsaw_puzzle', 0.055119332, u'menu', 0.04562059]
[u'slot', 0.99487418, u'vending_machine', 0.0021360221, u'church', 0.00033311985, u'cassette', 0.00026717686, u'comic_book', 0.00016996681]
[u'slot', 0.76025534, u'vending_machine', 0.18710575, u'cinema', 0.0079310639, u'toyshop', 0.0040505128, u'confectionery', 0.0036543482]
[u'web_site', 0.84650636, u'slot', 0.030319877, u'scoreboard', 0.016624508, u'monitor', 0.0073807645, u'vending_machine', 0.0073363082]
[u'slot', 0.99280268, u'vending_machine', 0.0068360618, u'hand-held_computer', 7.5950113e-05, u'scoreboard', 3.8144979e-05, u'cash_machine', 3.1302428e-05]
[u'slot', 0.99999833, u'vending_machine', 1.712835e-06, u'television', 6.7290151e-09, u'scoreboard', 5.383515e-09, u'monitor', 4.0080281e-09]
[u'slot', 0.9683907, u'vending_machine', 0.030247798, u'refrigerator', 0.00039090321, u'menu', 0.00024539369, u'comic_book', 0.00015096035]
[u'slot', 0.76025534, u'vending_machine', 0.18710575, u'cinema', 0.0079310639, u'toyshop', 0.0040505128, u'confectionery', 0.0036543482]
[u'puck', 0.18381992, u'magnetic_compass', 0.15260863, u'digital_watch', 0.11323921, u'shield', 0.11000785, u'stopwatch', 0.072184004]
[u'slot', 0.99280268, u'vending_machine', 0.0068360618, u'hand-held_computer', 7.5950113e-05, u'scoreboard', 3.8144979e-05, u'cash_machine', 3.1302428e-05]
[u'web_site', 0.61205143, u'scoreboard', 0.36405191, u'hand-held_computer', 0.0070178262, u'gas_pump', 0.0060398062, u'screen', 0.0015681885]
[u'slot', 0.97919011, u'vending_machine', 0.01304221, u'tobacco_shop', 0.00076173298, u'confectionery', 0.00071608089, u'beer_bottle', 0.00064620381]
[u'web_site', 0.9957146, u'menu', 0.00062369823, u'hand-held_computer', 0.00046142339, u'screen', 0.00045573525, u'monitor', 0.00036439422]
[u'slot', 0.7512604, u'toyshop', 0.060446724, u'hard_disc', 0.045249365, u'oscilloscope', 0.029500932, u'vending_machine', 0.021466929]
[u'slot', 0.99897361, u'vending_machine', 0.00038645853, u'scoreboard', 0.0002653698, u'church', 9.7128839e-05, u'school_bus', 4.7437734e-05]
[u'slot', 0.83571851, u'vending_machine', 0.16377553, u'cash_machine', 0.00012956666, u'tobacco_shop', 0.00011530285, u'cassette', 9.2671682e-05]
[u'slot', 0.99620408, u'vending_machine', 0.0015864393, u'fire_engine', 0.00058531173, u'toyshop', 0.00057710189, u'confectionery', 0.00022456162]
[u'slot', 0.99992514, u'vending_machine', 2.9336687e-05, u'hand-held_computer', 8.7779545e-06, u'monitor', 6.0766538e-06, u'screen', 5.4601574e-06]
[u'slot', 0.99487418, u'vending_machine', 0.0021360221, u'church', 0.00033311985, u'cassette', 0.00026717686, u'comic_book', 0.00016996681]
[u'comic_book', 0.59784621, u'slot', 0.024044573, u'confectionery', 0.02243812, u'maillot', 0.02161146, u'stage', 0.020737169]
[u'slot', 0.92619771, u'vending_machine', 0.044212468, u'scoreboard', 0.023817629, u'laptop', 0.0016151918, u'monitor', 0.00069799245]
[u'slot', 0.99998808, u'cinema', 9.3967992e-06, u'carousel', 1.0082259e-06, u'church', 5.177331e-07, u'vending_machine', 1.6991665e-07]
[u'slot', 0.99999893, u'vending_machine', 8.841393e-07, u'scoreboard', 2.8851712e-08, u'monitor', 2.553031e-08, u'screen', 1.9301083e-08]
