[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.34999031, u'tray', 0.085279852, u'digital_clock', 0.055677604, u'carton', 0.046193719, u'screen', 0.034705643]
[u'envelope', 0.079069093, u'wall_clock', 0.06276197, u'digital_clock', 0.047394335, u'whistle', 0.043892119, u'pill_bottle', 0.037378404]
[u'swab', 0.14328375, u'stole', 0.14175382, u'poncho', 0.12729582, u'wool', 0.051804662, u'panpipe', 0.039433088]
[u'rule', 0.36805591, u'crate', 0.10359834, u'crossword_puzzle', 0.06719584, u'slide_rule', 0.056176364, u'prison', 0.054848772]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'red_wine', 0.61287057, u'wine_bottle', 0.19479725, u'corkscrew', 0.13514087, u'cocktail_shaker', 0.017461337, u'lotion', 0.016106723]
[u'shower_curtain', 0.38590825, u'bath_towel', 0.074413322, u'apron', 0.044918016, u'envelope', 0.028115988, u'carton', 0.027428977]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'shower_curtain', 0.83602184, u'shoji', 0.021163609, u'wardrobe', 0.018477438, u'binder', 0.014753059, u'crib', 0.011247832]
[u'panpipe', 0.20025931, u'stole', 0.083655834, u'poncho', 0.080376834, u'swab', 0.061257262, u'matchstick', 0.048507582]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'caldron', 0.3003715, u'stove', 0.12146711, u'fire_screen', 0.073771119, u'dining_table', 0.067354046, u'grand_piano', 0.06095827]
[u'red_wine', 0.5910967, u'wine_bottle', 0.34857115, u'corkscrew', 0.029864656, u'cocktail_shaker', 0.0093737105, u'lotion', 0.0081118681]
[u'corkscrew', 0.41254875, u'red_wine', 0.3527438, u'wine_bottle', 0.22201958, u'cocktail_shaker', 0.0037482653, u'hair_spray', 0.0027550631]
[u'wine_bottle', 0.64289933, u'red_wine', 0.313095, u'beer_bottle', 0.013647637, u'perfume', 0.0070139747, u'corkscrew', 0.0034930485]
[u'wine_bottle', 0.56239963, u'red_wine', 0.2676793, u'lotion', 0.03651274, u'cocktail_shaker', 0.01889291, u'perfume', 0.017853806]
[u'geyser', 0.2017772, u'church', 0.17456201, u'alp', 0.13271824, u'monastery', 0.083578944, u'castle', 0.064488426]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
[u'medicine_chest', 0.37574172, u'safe', 0.16132641, u'window_shade', 0.040304106, u'carton', 0.039690644, u'oscilloscope', 0.038822975]
[u'shower_curtain', 0.33006912, u'crib', 0.27740982, u'shoji', 0.081375681, u'window_shade', 0.024742072, u'binder', 0.02350452]
[u'envelope', 0.015995357, u'cleaver', 0.013719762, u'letter_opener', 0.011967285, u'syringe', 0.011300806, u'hatchet', 0.0099398019]
