[u'home_theater', 0.10672957, u'desktop_computer', 0.079110719, u'CD_player', 0.059993405, u'television', 0.059378102, u'tape_player', 0.053162262]
[u'cleaver', 0.019505175, u'envelope', 0.014030516, u'hatchet', 0.012793035, u'letter_opener', 0.011917172, u'corkscrew', 0.01188547]
[u'desktop_computer', 0.24570654, u'home_theater', 0.1158246, u'television', 0.080536917, u'monitor', 0.063506849, u'entertainment_center', 0.052401174]
[u'cleaver', 0.019505175, u'envelope', 0.014030516, u'hatchet', 0.012793035, u'letter_opener', 0.011917172, u'corkscrew', 0.01188547]
[u'desktop_computer', 0.19207062, u'home_theater', 0.18129434, u'television', 0.13803568, u'entertainment_center', 0.13795792, u'monitor', 0.040705755]
[u'home_theater', 0.16609858, u'desktop_computer', 0.14985949, u'television', 0.093714856, u'entertainment_center', 0.068846904, u'tape_player', 0.06678094]
[u'scale', 0.63538384, u'barrel', 0.34512094, u'forklift', 0.0027304748, u'projectile', 0.0018246217, u'lumbermill', 0.0014019054]
[u'home_theater', 0.27751285, u'television', 0.12783675, u'entertainment_center', 0.071160965, u'espresso_maker', 0.045907456, u'desktop_computer', 0.038723137]
[u'matchstick', 0.37823525, u'swab', 0.042861611, u'hook', 0.038461793, u'web_site', 0.027368635, u'microphone', 0.026429059]
[u'home_theater', 0.14913842, u'desktop_computer', 0.125579, u'tape_player', 0.11952507, u'entertainment_center', 0.092438653, u'hard_disc', 0.091999888]
[u'barrel', 0.99513429, u'barometer', 0.0016864244, u'scale', 0.00069920917, u'rain_barrel', 0.00063052005, u'slide_rule', 0.00033031072]
[u'home_theater', 0.27817976, u'entertainment_center', 0.15050128, u'tape_player', 0.10844336, u'desktop_computer', 0.10001948, u'CD_player', 0.077957824]
[u'corkscrew', 0.055719528, u'letter_opener', 0.044995144, u'tray', 0.043193813, u'buckle', 0.032354139, u'electric_guitar', 0.027840868]
[u'home_theater', 0.30499554, u'entertainment_center', 0.19206499, u'television', 0.11139884, u'desktop_computer', 0.074081972, u'tape_player', 0.041524723]
[u'home_theater', 0.23067918, u'desktop_computer', 0.13211012, u'television', 0.095564678, u'entertainment_center', 0.08856082, u'tape_player', 0.066633001]
[u'corkscrew', 0.055719528, u'letter_opener', 0.044995144, u'tray', 0.043193813, u'buckle', 0.032354139, u'electric_guitar', 0.027840868]
[u'joystick', 0.055083726, u'desktop_computer', 0.042477954, u'modem', 0.036783315, u'radio', 0.036619283, u'digital_watch', 0.033958357]
[u'home_theater', 0.14444967, u'desktop_computer', 0.12449501, u'television', 0.11976486, u'entertainment_center', 0.053059064, u'CD_player', 0.0482518]
[u'cleaver', 0.019505175, u'envelope', 0.014030516, u'hatchet', 0.012793035, u'letter_opener', 0.011917172, u'corkscrew', 0.01188547]
