[u'red_wine', 0.50228697, u'wine_bottle', 0.2932187, u'lotion', 0.10299484, u'whiskey_jug', 0.018832231, u'perfume', 0.013116885]
[u'red_wine', 0.52422297, u'wine_bottle', 0.25977042, u'lotion', 0.080100551, u'whiskey_jug', 0.056287464, u'chocolate_sauce', 0.018275676]
[u'red_wine', 0.5174216, u'wine_bottle', 0.29343507, u'lotion', 0.071873158, u'whiskey_jug', 0.037270773, u'chocolate_sauce', 0.023159256]
[u'lotion', 0.37898374, u'whiskey_jug', 0.21511605, u'eggnog', 0.14723347, u'sunscreen', 0.048707671, u'perfume', 0.047840349]
[u'red_wine', 0.87316209, u'wine_bottle', 0.12495684, u'corkscrew', 0.00038605818, u'pop_bottle', 0.00028786316, u'beaker', 0.00024903027]
[u'red_wine', 0.49449009, u'wine_bottle', 0.30528665, u'lotion', 0.076847523, u'whiskey_jug', 0.048663642, u'chocolate_sauce', 0.016210349]
[u'envelope', 0.11577898, u'binder', 0.033016618, u'washer', 0.03081922, u'carton', 0.025245044, u'switch', 0.019839738]
[u'lotion', 0.30563706, u'red_wine', 0.28054163, u'wine_bottle', 0.23083042, u'perfume', 0.091487512, u'whiskey_jug', 0.036215756]
[u'nail', 0.087358475, u'book_jacket', 0.083389401, u'web_site', 0.068421416, u'digital_clock', 0.042185765, u'matchstick', 0.035224993]
[u'whiskey_jug', 0.41481146, u'red_wine', 0.16839492, u'wine_bottle', 0.10334912, u'lotion', 0.079486497, u'chocolate_sauce', 0.077880286]
[u'red_wine', 0.30666482, u'whiskey_jug', 0.20150831, u'wine_bottle', 0.16714485, u'lotion', 0.11455523, u'chocolate_sauce', 0.091218673]
[u'red_wine', 0.81967932, u'wine_bottle', 0.16772509, u'beaker', 0.0046771532, u'pop_bottle', 0.0019783322, u'chocolate_sauce', 0.0014219974]
[u'red_wine', 0.50428766, u'wine_bottle', 0.2525844, u'whiskey_jug', 0.08243528, u'lotion', 0.064994305, u'chocolate_sauce', 0.024528254]
[u'red_wine', 0.52193314, u'wine_bottle', 0.32208127, u'lotion', 0.037674312, u'whiskey_jug', 0.034605738, u'chocolate_sauce', 0.023005983]
[u'lotion', 0.41851428, u'eggnog', 0.21305789, u'sunscreen', 0.10299516, u'whiskey_jug', 0.059565552, u'face_powder', 0.035716791]
