[u'red_wine', 0.45912948, u'wine_bottle', 0.35937271, u'corkscrew', 0.069794662, u'hamper', 0.036541913, u'beer_bottle', 0.015666515]
[u'wine_bottle', 0.75042641, u'red_wine', 0.11208165, u'beer_bottle', 0.030099753, u'corkscrew', 0.022891678, u'hamper', 0.01692727]
[u'lotion', 0.35301518, u'hair_spray', 0.15250823, u'sunscreen', 0.10532431, u'nipple', 0.052760173, u'wine_bottle', 0.038447496]
[u'wine_bottle', 0.64191461, u'red_wine', 0.18360266, u'beer_bottle', 0.048197985, u'corkscrew', 0.042999856, u'pop_bottle', 0.013581403]
[u'face_powder', 0.69776815, u'puck', 0.27978832, u'chocolate_sauce', 0.0047507654, u'lotion', 0.0023520193, u'sunscreen', 0.0019294632]
[u'wine_bottle', 0.65601778, u'red_wine', 0.094704747, u'pop_bottle', 0.049834549, u'beer_bottle', 0.029668875, u'lotion', 0.022344904]
[u'swab', 0.25034523, u'stole', 0.036088597, u'nail', 0.031098939, u'wool', 0.025695978, u'komondor', 0.018942509]
[u'wine_bottle', 0.70307875, u'red_wine', 0.13435677, u'corkscrew', 0.034457367, u'beer_bottle', 0.023593608, u'lotion', 0.012537511]
[u'red_wine', 0.75840873, u'wine_bottle', 0.21573603, u'corkscrew', 0.016298616, u'beer_bottle', 0.0027591821, u'hamper', 0.0015293072]
[u'red_wine', 0.70015901, u'wine_bottle', 0.240126, u'corkscrew', 0.046916008, u'hamper', 0.004666578, u'beer_bottle', 0.0015490013]
[u'wine_bottle', 0.42908561, u'red_wine', 0.13955063, u'beer_bottle', 0.1102351, u'pop_bottle', 0.038699664, u'lotion', 0.023574818]
[u'wine_bottle', 0.55649084, u'red_wine', 0.32785213, u'beer_bottle', 0.041459944, u'corkscrew', 0.027156979, u'hamper', 0.0094429459]
[u'wine_bottle', 0.61410809, u'red_wine', 0.19710007, u'corkscrew', 0.048115484, u'beer_bottle', 0.041801423, u'hamper', 0.013627109]
[u'wine_bottle', 0.69574261, u'red_wine', 0.15189134, u'beer_bottle', 0.039318886, u'corkscrew', 0.0266202, u'pop_bottle', 0.014970965]
