[u'web_site', 0.10146511, u'envelope', 0.069850996, u'digital_clock', 0.054301035, u'monitor', 0.033942565, u'screen', 0.027050678]
[u'web_site', 0.090938531, u'envelope', 0.083167717, u'digital_clock', 0.036554329, u'wall_clock', 0.0211883, u'screen', 0.017436169]
[u'envelope', 0.07907369, u'web_site', 0.072013102, u'digital_clock', 0.036585905, u'notebook', 0.021154758, u'wall_clock', 0.020959197]
[u'web_site', 0.11575064, u'envelope', 0.11102718, u'digital_clock', 0.059727885, u'monitor', 0.037226032, u'rule', 0.024162738]
[u'vault', 0.055356611, u'envelope', 0.037904005, u'book_jacket', 0.037116747, u'doormat', 0.030684827, u'brass', 0.029889548]
[u'vault', 0.39789024, u'altar', 0.049005177, u'monastery', 0.044692803, u'prayer_rug', 0.03879891, u'cliff_dwelling', 0.032488577]
[u'web_site', 0.15257086, u'book_jacket', 0.072272688, u'envelope', 0.048924606, u'rifle', 0.015519228, u'comic_book', 0.014565759]
[u'matchstick', 0.029610533, u'nematode', 0.021664346, u'lampshade', 0.015163972, u'candle', 0.014926969, u'lighter', 0.014854075]
[u'web_site', 0.10798735, u'envelope', 0.10212801, u'digital_clock', 0.067230761, u'binder', 0.044042874, u'book_jacket', 0.036524452]
[u'web_site', 0.091443248, u'envelope', 0.057676688, u'book_jacket', 0.054592166, u'digital_clock', 0.039850194, u'binder', 0.019418482]
[u'web_site', 0.15819189, u'envelope', 0.032597721, u'book_jacket', 0.027485028, u'sax', 0.0075226608, u'rule', 0.0067353286]
[u'web_site', 0.17776847, u'book_jacket', 0.067573175, u'envelope', 0.034046467, u'menu', 0.01245828, u'sax', 0.0074796742]
[u'book_jacket', 0.097658738, u'web_site', 0.091815896, u'envelope', 0.041709252, u'digital_clock', 0.028111571, u'scoreboard', 0.025317768]
[u'envelope', 0.084224209, u'web_site', 0.063944869, u'digital_clock', 0.028144892, u'wall_clock', 0.023853047, u'dishwasher', 0.021209674]
