[u'jigsaw_puzzle', 0.44778714, u'maze', 0.15192084, u'digital_clock', 0.089334875, u'pencil_sharpener', 0.076941662, u'wall_clock', 0.028639019]
[u'stupa', 0.34822482, u'pencil_sharpener', 0.18880059, u'panpipe', 0.1233755, u'matchstick', 0.098992907, u'bell_cote', 0.08808323]
[u'stupa', 0.34822482, u'pencil_sharpener', 0.18880059, u'panpipe', 0.1233755, u'matchstick', 0.098992907, u'bell_cote', 0.08808323]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'panpipe', 0.25817066, u'marimba', 0.073152184, u'matchstick', 0.071676023, u'coil', 0.065209128, u'stupa', 0.060209054]
[u'digital_clock', 0.53301799, u'digital_watch', 0.065131053, u'cellular_telephone', 0.033396855, u'television', 0.023061506, u'screen', 0.022173062]
[u'panpipe', 0.25817066, u'marimba', 0.073152184, u'matchstick', 0.071676023, u'coil', 0.065209128, u'stupa', 0.060209054]
[u'bell_cote', 0.18736473, u'pencil_sharpener', 0.15300198, u'stupa', 0.11272776, u'panpipe', 0.096102327, u'matchstick', 0.061645836]
[u'pencil_sharpener', 0.26120967, u'bell_cote', 0.1198531, u'jigsaw_puzzle', 0.1136322, u'castle', 0.083408125, u'traffic_light', 0.067753568]
[u'sundial', 0.12568589, u'envelope', 0.12415753, u'table_lamp', 0.1040372, u'lampshade', 0.076226085, u'jersey', 0.055196907]
[u'bell_cote', 0.18736473, u'pencil_sharpener', 0.15300198, u'stupa', 0.11272776, u'panpipe', 0.096102327, u'matchstick', 0.061645836]
[u'panpipe', 0.25817066, u'marimba', 0.073152184, u'matchstick', 0.071676023, u'coil', 0.065209128, u'stupa', 0.060209054]
[u'panpipe', 0.25817066, u'marimba', 0.073152184, u'matchstick', 0.071676023, u'coil', 0.065209128, u'stupa', 0.060209054]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'jigsaw_puzzle', 0.25304446, u'maze', 0.17680131, u'digital_clock', 0.16499336, u'digital_watch', 0.077307306, u'wall_clock', 0.05494827]
[u'stupa', 0.34822482, u'pencil_sharpener', 0.18880059, u'panpipe', 0.1233755, u'matchstick', 0.098992907, u'bell_cote', 0.08808323]
[u'jigsaw_puzzle', 0.44778714, u'maze', 0.15192084, u'digital_clock', 0.089334875, u'pencil_sharpener', 0.076941662, u'wall_clock', 0.028639019]
[u'pencil_sharpener', 0.26120967, u'bell_cote', 0.1198531, u'jigsaw_puzzle', 0.1136322, u'castle', 0.083408125, u'traffic_light', 0.067753568]
[u'bell_cote', 0.18736473, u'pencil_sharpener', 0.15300198, u'stupa', 0.11272776, u'panpipe', 0.096102327, u'matchstick', 0.061645836]
[u'jigsaw_puzzle', 0.25304446, u'maze', 0.17680131, u'digital_clock', 0.16499336, u'digital_watch', 0.077307306, u'wall_clock', 0.05494827]
[u'pencil_sharpener', 0.26120967, u'bell_cote', 0.1198531, u'jigsaw_puzzle', 0.1136322, u'castle', 0.083408125, u'traffic_light', 0.067753568]
[u'pencil_sharpener', 0.26120967, u'bell_cote', 0.1198531, u'jigsaw_puzzle', 0.1136322, u'castle', 0.083408125, u'traffic_light', 0.067753568]
[u'stupa', 0.34822482, u'pencil_sharpener', 0.18880059, u'panpipe', 0.1233755, u'matchstick', 0.098992907, u'bell_cote', 0.08808323]
[u'bell_cote', 0.18736473, u'pencil_sharpener', 0.15300198, u'stupa', 0.11272776, u'panpipe', 0.096102327, u'matchstick', 0.061645836]
[u'digital_clock', 0.072154857, u'nematode', 0.054089781, u'hammerhead', 0.041291874, u'wing', 0.029817149, u'assault_rifle', 0.023155829]
[u'chime', 0.90985602, u'nail', 0.018512076, u'panpipe', 0.013824857, u'drumstick', 0.0079607824, u'matchstick', 0.0068552978]
