[u'snowplow', 0.75370222, u'jeep', 0.14992353, u'golfcart', 0.034806628, u'forklift', 0.014095535, u'tractor', 0.012439241]
[u'golfcart', 0.8486973, u'forklift', 0.13748516, u'jeep', 0.0075838408, u'tow_truck', 0.0032174722, u'garbage_truck', 0.00089089351]
[u'Model_T', 0.25979382, u'golfcart', 0.18466221, u'tractor', 0.052739482, u'cannon', 0.033321112, u'park_bench', 0.026126942]
[u'jeep', 0.39198273, u'golfcart', 0.35287648, u'minibus', 0.08732482, u'amphibian', 0.01954701, u'forklift', 0.017608128]
[u'golfcart', 0.41576684, u'half_track', 0.40037212, u'jeep', 0.13801105, u'lawn_mower', 0.023001118, u'tractor', 0.0038622231]
[u'golfcart', 0.68729073, u'lawn_mower', 0.089841798, u'forklift', 0.035750099, u'barrow', 0.032552261, u'harvester', 0.023956589]
[u'harvester', 0.38187826, u'forklift', 0.24064302, u'tractor', 0.21817072, u'lawn_mower', 0.11241493, u'thresher', 0.016285293]
[u'jeep', 0.67969006, u'pickup', 0.094632693, u'golfcart', 0.076565318, u'snowplow', 0.067887865, u'lawn_mower', 0.019130727]
[u'tow_truck', 0.60253108, u'jeep', 0.096814603, u'forklift', 0.060851157, u'half_track', 0.034835871, u'pickup', 0.03385172]
[u'tow_truck', 0.23210847, u'harvester', 0.12658754, u'tractor', 0.11858424, u'snowplow', 0.10835972, u'jeep', 0.10039084]
[u'golfcart', 0.95527881, u'forklift', 0.016336387, u'half_track', 0.0081754522, u'lawn_mower', 0.0040887226, u'jeep', 0.0038828494]
[u'jeep', 0.32422489, u'golfcart', 0.152631, u'snowplow', 0.12834801, u'pickup', 0.092633225, u'lawn_mower', 0.068771191]
[u'harvester', 0.34178481, u'lawn_mower', 0.1187033, u'tractor', 0.11605632, u'forklift', 0.086971164, u'snowplow', 0.068030357]
[u'garbage_truck', 0.36739525, u'traffic_light', 0.18142343, u'Model_T', 0.054569647, u'recreational_vehicle', 0.043256704, u'moving_van', 0.032677166]
[u'snowplow', 0.45218185, u'golfcart', 0.38332793, u'forklift', 0.052049804, u'jeep', 0.030676223, u'pickup', 0.013884972]
[u'pickup', 0.44804382, u'jeep', 0.24970092, u'barrow', 0.091263361, u'mailbox', 0.028385455, u'plow', 0.024145603]
[u'jeep', 0.51106507, u'golfcart', 0.46849507, u'pickup', 0.004303053, u'ambulance', 0.0019828638, u'half_track', 0.001918982]
[u'forklift', 0.20101476, u'Model_T', 0.18200603, u'harvester', 0.14059025, u'golfcart', 0.048409592, u'tractor', 0.031552859]
[u'forklift', 0.51394641, u'golfcart', 0.21541706, u'jeep', 0.053794671, u'tow_truck', 0.044342548, u'tractor', 0.041061342]
[u'forklift', 0.44710141, u'snowplow', 0.09218473, u'harvester', 0.082294114, u'jeep', 0.082064413, u'tow_truck', 0.077479847]
[u'golfcart', 0.9703334, u'jeep', 0.008757608, u'half_track', 0.0082627879, u'forklift', 0.0030940187, u'ambulance', 0.002531046]
