[u'switch', 0.44607225, u'lighter', 0.082194313, u'holster', 0.057013776, u'loudspeaker', 0.046793979, u'hard_disc', 0.029954029]
[u'desktop_computer', 0.58334142, u'monitor', 0.09681794, u'web_site', 0.093868785, u'screen', 0.071311019, u'notebook', 0.054107957]
[u'iPod', 0.25156832, u'monitor', 0.22338235, u'desktop_computer', 0.13796473, u'web_site', 0.091597281, u'screen', 0.065494537]
[u'cellular_telephone', 0.70463473, u'hand-held_computer', 0.17405723, u'desktop_computer', 0.040000342, u'space_bar', 0.019028494, u'notebook', 0.0091367308]
[u'safe', 0.61104435, u'combination_lock', 0.080876574, u'scale', 0.069420405, u'radio', 0.028684679, u'switch', 0.026781159]
[u'cellular_telephone', 0.56214637, u'hand-held_computer', 0.25084004, u'desktop_computer', 0.065310478, u'space_bar', 0.019711159, u'screen', 0.0171698]
[u'solar_dish', 0.37164563, u'notebook', 0.19781217, u'modem', 0.085759789, u'hand-held_computer', 0.033010315, u'monitor', 0.031484399]
[u'desktop_computer', 0.30304438, u'cellular_telephone', 0.095871337, u'screen', 0.076394044, u'radio', 0.059583016, u'monitor', 0.055321641]
[u'desktop_computer', 0.4207145, u'cellular_telephone', 0.14472783, u'hand-held_computer', 0.11917288, u'radio', 0.071796492, u'hard_disc', 0.042426314]
[u'cellular_telephone', 0.57872671, u'hand-held_computer', 0.31655133, u'radio', 0.036465619, u'remote_control', 0.023166979, u'pay-phone', 0.0078761932]
[u'hand-held_computer', 0.92442739, u'cellular_telephone', 0.035066381, u'radio', 0.01421513, u'desktop_computer', 0.0071441359, u'space_bar', 0.0053447541]
[u'desktop_computer', 0.22602274, u'remote_control', 0.14844067, u'radio', 0.14539352, u'cellular_telephone', 0.11363229, u'hand-held_computer', 0.056998685]
[u'tape_player', 0.14540359, u'CD_player', 0.13561457, u'desktop_computer', 0.10852829, u'radio', 0.076736465, u'cassette_player', 0.072979487]
[u'cellular_telephone', 0.64807582, u'hand-held_computer', 0.21357602, u'iPod', 0.068528146, u'remote_control', 0.018500684, u'desktop_computer', 0.0089436667]
[u'cellular_telephone', 0.25604001, u'desktop_computer', 0.15315977, u'iPod', 0.079755306, u'hand-held_computer', 0.05884552, u'vending_machine', 0.055386584]
[u'cellular_telephone', 0.72470522, u'hand-held_computer', 0.24710597, u'desktop_computer', 0.0075950334, u'radio', 0.0042063687, u'space_bar', 0.0027763268]
[u'microphone', 0.11827271, u'vacuum', 0.092099808, u'whistle', 0.088146143, u'power_drill', 0.063529633, u'hook', 0.058644235]
[u'web_site', 0.93247765, u'stopwatch', 0.017312855, u'digital_clock', 0.0057161935, u'hand-held_computer', 0.0043345219, u'remote_control', 0.0039105755]
[u'hand-held_computer', 0.7252664, u'modem', 0.050249595, u'cellular_telephone', 0.049177915, u'radio', 0.047648598, u'hard_disc', 0.02361962]
[u'desktop_computer', 0.44794616, u'web_site', 0.082337946, u'vending_machine', 0.054309808, u'hand-held_computer', 0.05275315, u'radio', 0.03776633]
[u'cellular_telephone', 0.98587054, u'hand-held_computer', 0.003932165, u'remote_control', 0.0025755642, u'desktop_computer', 0.0024412014, u'iPod', 0.00083913986]
[u'cellular_telephone', 0.70384848, u'hand-held_computer', 0.24405865, u'remote_control', 0.023662431, u'iPod', 0.018513031, u'radio', 0.003684188]
[u'desktop_computer', 0.54923582, u'hand-held_computer', 0.13923071, u'cellular_telephone', 0.11318135, u'radio', 0.027243767, u'remote_control', 0.021160059]
[u'hand-held_computer', 0.32961556, u'notebook', 0.10396274, u'web_site', 0.098972604, u'cellular_telephone', 0.082738563, u'desktop_computer', 0.054099184]
