[u'cliff', 0.47928751, u'volcano', 0.15828846, u'alp', 0.10211015, u'fountain', 0.053073924, u'lakeside', 0.052680891]
[u'boathouse', 0.62188047, u'lakeside', 0.33245367, u'thatch', 0.0062440308, u'sandbar', 0.0058187447, u'canoe', 0.0051984042]
[u'lakeside', 0.17525859, u'geyser', 0.172755, u'canoe', 0.12001522, u'park_bench', 0.064655736, u'dam', 0.047272887]
[u'boathouse', 0.98252511, u'lakeside', 0.0099772168, u'mobile_home', 0.0055737593, u'dam', 0.00054621615, u'dock', 0.00044729875]
[u'megalith', 0.62328655, u'stone_wall', 0.1136624, u'lakeside', 0.062561236, u'maze', 0.025258228, u'patio', 0.0099164722]
[u'boathouse', 0.68424368, u'lakeside', 0.21741351, u'canoe', 0.017831706, u'American_egret', 0.014342643, u'paddle', 0.0071331309]
[u'bottlecap', 0.35806605, u'puck', 0.34530011, u'street_sign', 0.075963996, u'pop_bottle', 0.024847267, u'tobacco_shop', 0.016882513]
[u'boathouse', 0.89216053, u'lakeside', 0.068513513, u'mobile_home', 0.0061987797, u'barn', 0.0057286439, u'worm_fence', 0.0037229497]
[u'lakeside', 0.42542908, u'boathouse', 0.35309494, u'canoe', 0.049762201, u'American_egret', 0.018283905, u'paddle', 0.017383512]
[u'boathouse', 0.54804623, u'lakeside', 0.30599225, u'dock', 0.09021388, u'breakwater', 0.0081329038, u'mobile_home', 0.0055566784]
[u'boathouse', 0.8893348, u'lakeside', 0.059263911, u'sandbar', 0.016619889, u'mobile_home', 0.011017936, u'barn', 0.0053568138]
[u'boathouse', 0.86835831, u'lakeside', 0.10261659, u'castle', 0.01138752, u'church', 0.0072166636, u'picket_fence', 0.0014100579]
[u'boathouse', 0.73219144, u'lakeside', 0.21384326, u'sandbar', 0.016533423, u'canoe', 0.010048995, u'dock', 0.0040415167]
