[u'matchstick', 0.033660751, u'digital_clock', 0.02822941, u'lighter', 0.025282282, u'book_jacket', 0.024842035, u'perfume', 0.021425949]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.065561831, u'nematode', 0.04835907, u'spotlight', 0.020588469, u'digital_clock', 0.016957957, u'candle', 0.016938386]
[u'sliding_door', 0.34641185, u'library', 0.096657567, u'barbershop', 0.06867598, u'prison', 0.053454261, u'barber_chair', 0.039333537]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.079042077, u'rule', 0.026912557, u'wall_clock', 0.02683562, u'syringe', 0.024057576, u'candle', 0.021950092]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.069128364, u'nematode', 0.03701276, u'digital_clock', 0.028447993, u'spotlight', 0.027497375, u'lighter', 0.027443174]
[u'chime', 0.062226869, u'matchstick', 0.038650166, u'wall_clock', 0.033739448, u'syringe', 0.027411737, u'spotlight', 0.025172709]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'fountain', 0.61162323, u'picket_fence', 0.05180297, u'swab', 0.038737647, u'thatch', 0.024920918, u'worm_fence', 0.024338633]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'butcher_shop', 0.38570362, u'military_uniform', 0.11614414, u'barracouta', 0.023368409, u'coho', 0.023121534, u'kimono', 0.020987988]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.035282835, u'lighter', 0.023655897, u'web_site', 0.01972243, u'nematode', 0.018190155, u'refrigerator', 0.018155379]
[u'matchstick', 0.067902707, u'nematode', 0.057883024, u'spotlight', 0.017405817, u'digital_clock', 0.014447397, u'candle', 0.013852378]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'sliding_door', 0.051931895, u'wardrobe', 0.044029012, u'matchstick', 0.043486148, u'lampshade', 0.03742316, u'window_shade', 0.02736702]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
