[u'panpipe', 0.39064783, u'envelope', 0.13802958, u'book_jacket', 0.12355357, u'matchstick', 0.071165465, u'marimba', 0.054447908]
[u'web_site', 0.12005198, u'book_jacket', 0.1024024, u'envelope', 0.081782736, u'digital_clock', 0.053131137, u'rule', 0.047970213]
[u'web_site', 0.11645746, u'envelope', 0.08509694, u'digital_clock', 0.022414146, u'wall_clock', 0.014334983, u'matchstick', 0.014004947]
[u'corkscrew', 0.19328031, u'pencil_sharpener', 0.12429835, u'hook', 0.114548, u'pinwheel', 0.091086343, u'triceratops', 0.056156125]
[u'envelope', 0.2873401, u'web_site', 0.21308753, u'rule', 0.14228545, u'theater_curtain', 0.036570583, u'book_jacket', 0.028069364]
[u'wardrobe', 0.1707975, u'sliding_door', 0.15404184, u'medicine_chest', 0.077955209, u'safe', 0.063968517, u'refrigerator', 0.03398196]
[u'web_site', 0.16853277, u'envelope', 0.15234926, u'switch', 0.023180917, u'digital_clock', 0.019983608, u'lighter', 0.016319223]
[u'nematode', 0.093880162, u'web_site', 0.025834925, u'matchstick', 0.025757173, u'spotlight', 0.024084004, u'digital_clock', 0.013885031]
[u'rule', 0.55864966, u'web_site', 0.1035436, u'book_jacket', 0.080724709, u'envelope', 0.036886953, u'digital_clock', 0.016371982]
[u'envelope', 0.21914986, u'web_site', 0.14302944, u'book_jacket', 0.023734786, u'rule', 0.021517178, u'theater_curtain', 0.017436095]
[u'rule', 0.33397555, u'web_site', 0.085993484, u'oscilloscope', 0.062883943, u'book_jacket', 0.047933314, u'digital_clock', 0.032455131]
[u'nematode', 0.093880162, u'web_site', 0.025834925, u'matchstick', 0.025757173, u'spotlight', 0.024084004, u'digital_clock', 0.013885031]
[u'web_site', 0.28584728, u'rule', 0.19858478, u'book_jacket', 0.080163911, u'digital_clock', 0.061279204, u'oscilloscope', 0.05987218]
