[u'web_site', 0.6889801, u'scoreboard', 0.11365619, u'television', 0.019769358, u'cash_machine', 0.016313003, u'menu', 0.01338246]
[u'web_site', 0.98952019, u'television', 0.0017953806, u'screen', 0.0016704786, u'book_jacket', 0.0012932399, u'comic_book', 0.00071273616]
[u'book_jacket', 0.2538673, u'comic_book', 0.14992119, u'scoreboard', 0.083120458, u'coil', 0.035615262, u'jersey', 0.033186961]
[u'web_site', 0.2931124, u'screen', 0.21803816, u'cash_machine', 0.18544036, u'television', 0.13294727, u'Petri_dish', 0.045303483]
[u'web_site', 0.98034966, u'book_jacket', 0.0021980074, u'comic_book', 0.0018445229, u'menu', 0.0015480814, u'remote_control', 0.0014422765]
[u'web_site', 0.58786166, u'scoreboard', 0.23116164, u'television', 0.048669927, u'cash_machine', 0.034411907, u'screen', 0.023685426]
[u'web_site', 0.26919287, u'scoreboard', 0.18722354, u'book_jacket', 0.1143569, u'comic_book', 0.096185081, u'matchstick', 0.064571299]
[u'web_site', 0.37253842, u'book_jacket', 0.24211894, u'packet', 0.063526548, u'comic_book', 0.056908458, u'jersey', 0.049726222]
[u'scoreboard', 0.18775481, u'street_sign', 0.1162863, u'book_jacket', 0.11339793, u'packet', 0.046983823, u'cash_machine', 0.033008609]
[u'web_site', 0.97099453, u'book_jacket', 0.0095057245, u'comic_book', 0.0036377443, u'screen', 0.0020108595, u'brassiere', 0.0019692364]
[u'web_site', 0.71598005, u'scoreboard', 0.063265994, u'menu', 0.042189177, u'packet', 0.020595815, u'book_jacket', 0.016897323]
[u'web_site', 0.48683685, u'packet', 0.081371054, u'cash_machine', 0.060289111, u'screen', 0.042457115, u'rule', 0.030287499]
[u'web_site', 0.83001953, u'menu', 0.043981995, u'scoreboard', 0.039731808, u'packet', 0.016472295, u'vending_machine', 0.013289599]
[u'web_site', 0.97564459, u'cash_machine', 0.0037808509, u'book_jacket', 0.0034551471, u'menu', 0.0025522776, u'cassette', 0.0023910874]
[u'web_site', 0.68434668, u'can_opener', 0.11169906, u'dugong', 0.078171201, u'mouse', 0.014308417, u'hand-held_computer', 0.0086875688]
[u'radio', 0.13652618, u'CD_player', 0.12259926, u'cassette_player', 0.098708853, u'joystick', 0.084216811, u'hand-held_computer', 0.07477437]
[u'web_site', 0.93244666, u'nematode', 0.031047957, u'coil', 0.0052752313, u'swab', 0.0034187932, u'oxygen_mask', 0.0029878938]
[u'web_site', 0.91840553, u'screen', 0.02242494, u'television', 0.01343525, u'monitor', 0.007397267, u'jellyfish', 0.004097465]
[u'web_site', 0.29682738, u'moving_van', 0.074968733, u'cash_machine', 0.072355404, u'menu', 0.06005884, u'screen', 0.05892456]
[u'web_site', 0.91293609, u'book_jacket', 0.022753129, u'monitor', 0.012091094, u'screen', 0.008515982, u'isopod', 0.0033421018]
[u'web_site', 0.27724281, u'television', 0.23208684, u'scoreboard', 0.19889985, u'screen', 0.1167959, u'monitor', 0.032833423]
[u'web_site', 0.27335626, u'packet', 0.13728723, u'shower_cap', 0.10053952, u'envelope', 0.083848074, u'menu', 0.064862944]
