[u'envelope', 0.2511794, u'web_site', 0.074201979, u'Windsor_tie', 0.018009076, u'Band_Aid', 0.014745241, u'bulletproof_vest', 0.014459876]
[u'envelope', 0.27942252, u'web_site', 0.14601149, u'Band_Aid', 0.015433163, u'wardrobe', 0.010593073, u'Windsor_tie', 0.010380033]
[u'web_site', 0.12468946, u'envelope', 0.10602364, u'Windsor_tie', 0.022007162, u'Band_Aid', 0.01459333, u'vase', 0.014437422]
[u'buckle', 0.35927776, u'street_sign', 0.075455941, u'analog_clock', 0.054056793, u'digital_clock', 0.051447038, u'binder', 0.050745707]
[u'envelope', 0.1840772, u'web_site', 0.16669844, u'vase', 0.012549028, u'Windsor_tie', 0.012076954, u'nipple', 0.010995269]
[u'web_site', 0.14276823, u'envelope', 0.12785779, u'vase', 0.015436043, u'Windsor_tie', 0.014030744, u'nipple', 0.012699782]
[u'rotisserie', 0.16965391, u'pole', 0.10622478, u'window_screen', 0.086094655, u'fire_screen', 0.04999743, u'television', 0.04189207]
[u'envelope', 0.12910309, u'web_site', 0.080568485, u'Band_Aid', 0.02124726, u'Windsor_tie', 0.01247192, u'wall_clock', 0.011991244]
[u'envelope', 0.15537496, u'web_site', 0.068331055, u'Band_Aid', 0.016900256, u'wall_clock', 0.014415521, u'vase', 0.013249611]
[u'web_site', 0.13545275, u'envelope', 0.09978763, u'Windsor_tie', 0.017188011, u'vase', 0.015719902, u'Band_Aid', 0.015062945]
[u'web_site', 0.13309985, u'envelope', 0.11282457, u'Windsor_tie', 0.020570496, u'vase', 0.01545866, u'Band_Aid', 0.013970785]
[u'envelope', 0.15391994, u'web_site', 0.064408273, u'Band_Aid', 0.026636289, u'Windsor_tie', 0.015919056, u'vase', 0.015733546]
[u'web_site', 0.1479089, u'envelope', 0.11526877, u'Windsor_tie', 0.025668025, u'vase', 0.012848363, u'Band_Aid', 0.012592243]
[u'church', 0.44305241, u'castle', 0.24465297, u'monastery', 0.13564521, u'bell_cote', 0.11793359, u'birdhouse', 0.019134598]
[u'web_site', 0.13581805, u'envelope', 0.11832463, u'vase', 0.016117252, u'Windsor_tie', 0.015957519, u'washbasin', 0.011007469]
[u'envelope', 0.12886544, u'web_site', 0.090592965, u'Band_Aid', 0.015163752, u'wall_clock', 0.012876454, u'washbasin', 0.012801151]
