[u'bulletproof_vest', 0.50622368, u'sweatshirt', 0.24798422, u'trench_coat', 0.098640651, u'wool', 0.036156218, u'military_uniform', 0.035875328]
[u'velvet', 0.24933533, u'kimono', 0.17644106, u'abaya', 0.16680318, u'sarong', 0.095638946, u'pajama', 0.066490211]
[u'nail', 0.59050542, u'hook', 0.05508703, u'chime', 0.049166098, u'screwdriver', 0.020795207, u'pole', 0.018449537]
[u'wool', 0.16618013, u'velvet', 0.14309469, u'stole', 0.11107906, u'abaya', 0.11107028, u'suit', 0.094744667]
[u'wool', 0.61504364, u'suit', 0.14426878, u'sweatshirt', 0.090922043, u'velvet', 0.076867737, u'cardigan', 0.023003476]
[u'wool', 0.5512653, u'velvet', 0.2159315, u'sweatshirt', 0.083016001, u'trench_coat', 0.047649581, u'poncho', 0.023450559]
[u'wool', 0.59421104, u'suit', 0.17630111, u'velvet', 0.11248438, u'fur_coat', 0.027416203, u'sweatshirt', 0.026489552]
[u'trench_coat', 0.38088837, u'sweatshirt', 0.32092682, u'wool', 0.12480164, u'velvet', 0.052227087, u'fur_coat', 0.035196312]
[u'poncho', 0.28253528, u'wool', 0.23133206, u'velvet', 0.20609388, u'cloak', 0.074853472, u'fur_coat', 0.044789691]
[u'miniskirt', 0.43507054, u'velvet', 0.2006803, u'jean', 0.17164752, u'cardigan', 0.056267656, u'trench_coat', 0.022125131]
[u'stole', 0.21668865, u'suit', 0.17953227, u'velvet', 0.17548919, u'wool', 0.15641651, u'academic_gown', 0.09153457]
[u'pajama', 0.69344497, u'kimono', 0.16126639, u'velvet', 0.042724203, u'abaya', 0.038214181, u'apron', 0.021325393]
[u'pajama', 0.45814773, u'apron', 0.10335734, u'stole', 0.049425717, u'trench_coat', 0.047896642, u'sweatshirt', 0.036753934]
[u'trench_coat', 0.25205499, u'velvet', 0.24422973, u'wool', 0.18596184, u'suit', 0.10760491, u'fur_coat', 0.051247895]
[u'wool', 0.42763665, u'suit', 0.42582607, u'cardigan', 0.038469795, u'Windsor_tie', 0.035089802, u'bow_tie', 0.025646603]
[u'fur_coat', 0.8613435, u'wool', 0.089255638, u'sweatshirt', 0.022980288, u'velvet', 0.0077981562, u'poncho', 0.0068253316]
[u'bulletproof_vest', 0.22057512, u'jersey', 0.071194477, u'wool', 0.067182109, u'scale', 0.062058914, u'bib', 0.061296318]
[u'bulletproof_vest', 0.15969898, u'sweatshirt', 0.12404675, u'wool', 0.1121164, u'Windsor_tie', 0.055468623, u'binder', 0.050847959]
[u'velvet', 0.69824684, u'pajama', 0.1673692, u'stole', 0.03414711, u'gown', 0.031405576, u'apron', 0.028225433]
