[u'chime', 0.20376886, u'screwdriver', 0.066264853, u'matchstick', 0.04122455, u'ballpoint', 0.0340183, u'oscilloscope', 0.033409517]
[u'rubber_eraser', 0.16927662, u'oscilloscope', 0.16592638, u'ballpoint', 0.13193326, u'pencil_box', 0.086634666, u'candle', 0.073602006]
[u'oscilloscope', 0.09091606, u'organ', 0.081139587, u'chime', 0.062059499, u'prison', 0.053340472, u'turnstile', 0.039813191]
[u'ballpoint', 0.23697822, u'rubber_eraser', 0.18134712, u'oscilloscope', 0.15629491, u'pencil_box', 0.094669819, u'rule', 0.030878164]
[u'oscilloscope', 0.22119813, u'ballpoint', 0.077856243, u'screwdriver', 0.065970525, u'candle', 0.06056463, u'rubber_eraser', 0.050701801]
[u'oscilloscope', 0.16952999, u'rubber_eraser', 0.12793867, u'ballpoint', 0.071230732, u'screwdriver', 0.05630751, u'rule', 0.039772831]
[u'ballpoint', 0.13750586, u'rubber_eraser', 0.098028526, u'paintbrush', 0.077682145, u'screwdriver', 0.072283529, u'oscilloscope', 0.053391047]
[u'oscilloscope', 0.30347198, u'screwdriver', 0.045241456, u'swab', 0.036037877, u'monitor', 0.034870151, u'ballpoint', 0.034334268]
[u'fire_engine', 0.1401851, u'trolleybus', 0.12923402, u'forklift', 0.12135956, u'tow_truck', 0.072297223, u'snowplow', 0.067256995]
[u'ballpoint', 0.22288029, u'rubber_eraser', 0.16645193, u'pencil_box', 0.077310979, u'oscilloscope', 0.05464188, u'paintbrush', 0.039344836]
[u'ballpoint', 0.1353341, u'rubber_eraser', 0.11818186, u'oscilloscope', 0.093838632, u'pencil_box', 0.091081373, u'screwdriver', 0.053735271]
[u'rubber_eraser', 0.10132007, u'ballpoint', 0.08374989, u'matchstick', 0.08374238, u'chime', 0.083341829, u'pencil_box', 0.062765412]
[u'book_jacket', 0.25589561, u'scoreboard', 0.1685852, u'web_site', 0.096372873, u'comic_book', 0.050879344, u'digital_clock', 0.016976409]
[u'rubber_eraser', 0.1675384, u'ballpoint', 0.14934179, u'oscilloscope', 0.1043273, u'matchstick', 0.053568155, u'rule', 0.048299722]
[u'organ', 0.10303787, u'candle', 0.084792577, u'oscilloscope', 0.081110701, u'rubber_eraser', 0.065742515, u'pencil_box', 0.051045768]
[u'ballpoint', 0.24577919, u'rubber_eraser', 0.1595574, u'pencil_box', 0.11262651, u'paintbrush', 0.036092348, u'rule', 0.03506469]
[u'oscilloscope', 0.24164943, u'ballpoint', 0.056274917, u'pencil_box', 0.055771016, u'chime', 0.051529951, u'rule', 0.050993085]
[u'ballpoint', 0.14537366, u'rubber_eraser', 0.12030575, u'pencil_box', 0.10346968, u'screwdriver', 0.090771019, u'chime', 0.052554633]
[u'oscilloscope', 0.10863774, u'screwdriver', 0.079225875, u'chime', 0.045265768, u'prison', 0.038534068, u'sliding_door', 0.037062019]
