['menu-affiliate01.gif', u'matchstick']
['whatis-back03.gif', u'lipstick']
['logo-home.gif', u'paintbrush']
['otherlinks.gif', u'matchstick']
['menu-clubmailing01.gif', u'paintbrush']
['whatis-back04.gif', u'pill_bottle']
['whatisananagram01.gif', u'broom']
['whatis-back01.gif', u'pinwheel']
['whatis-back02.gif', u'red_wine']
['whatmakesagood01.gif', u'lipstick']
['anagramexample.gif', u'power_drill']
['new.gif', u'pill_bottle']
['menu-archive01.gif', u'wardrobe']
['menu-anagram01.gif', u'matchstick']
['back01.jpg', u'matchstick']
['free.gif', u'matchstick']
['menu-server01.gif', u'matchstick']
['menu-gemsmailing01.gif', u'matchstick']
['man.jpg', u'torch']
